,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
Swansea_5338,44,2,0,0,7,0,0,12,3,8
Tottenham_5338,54,1,1,0,5,1,0,6,1,6
Sunderland_5338,36,1,0,1,9,0,0,8,2,3
AstonVilla_5338,41,1,2,1,10,3,1,17,2,4
HullCity_5338,52,0,1,2,4,4,1,15,3,4
Everton_5338,62,3,4,4,7,4,0,7,1,4
CrystalPalace_5338,27,1,0,1,7,1,1,9,1,8
Southampton_5339,41,2,1,0,6,4,2,15,3,6
ManchesterCity_5339,58,3,0,2,4,2,0,13,0,3
Chelsea_5340,63,3,2,3,5,3,0,10,0,4
NewcastleUtd_5345,55,2,3,1,4,2,0,12,0,4
Burnley_5345,36,0,2,1,3,1,0,16,3,5
WestBrom_5345,38,0,1,1,7,3,1,10,1,8
WestHam_5345,58,6,2,4,9,5,2,13,1,6
Leicester_5345,45,1,0,2,7,3,1,13,0,7
Arsenal_5345,47,0,5,0,3,0,0,7,0,8
QPR_5346,29,0,2,0,6,1,2,10,1,2
StokeCity_5346,56,0,4,3,4,4,1,10,1,9
ManchesterUnited_5346,54,1,2,0,7,1,0,4,1,8
Liverpool_5347,47,1,1,3,9,4,0,8,1,5
ManchesterUnited_5352,58,1,0,0,5,1,1,14,2,10
Southampton_5352,63,2,3,1,4,4,1,12,1,5
WestBrom_5352,35,1,2,1,6,0,1,6,2,4
Sunderland_5352,52,1,4,1,3,2,0,12,2,4
CrystalPalace_5352,33,2,2,0,n,3,1,4,0,14
StokeCity_5352,26,1,2,0,8,1,1,8,1,4
Chelsea_5352,41,2,0,3,12,0,1,5,2,5
Liverpool_5353,48,3,5,0,9,1,0,12,1,5
HullCity_5353,44,0,0,2,6,3,0,8,1,4
Arsenal_5353,68,4,0,9,7,5,1,6,0,3
ManchesterCity_5366,52,3,1,0,4,1,1,15,2,9
Everton_5366,54,1,2,5,5,0,2,8,0,5
Tottenham_5366,71,5,2,2,6,4,1,13,0,7
Leicester_5366,35,0,1,3,4,0,0,10,2,7
NewcastleUtd_5366,55,2,0,0,8,2,0,17,1,4
Burnley_5366,57,0,1,2,5,3,1,19,3,2
Swansea_5366,51,0,4,3,4,1,0,7,2,9
AstonVilla_5366,28,1,4,0,6,6,0,12,0,4
QPR_5367,33,1,0,0,7,0,1,4,0,3
WestHam_5368,57,0,3,5,5,5,0,15,1,4
StokeCity_5373,42,2,0,0,2,1,0,9,1,10
Southampton_5373,37,1,0,0,8,1,0,9,1,9
HullCity_5373,36,1,3,0,5,0,5,9,3,5
Sunderland_5373,60,3,1,0,8,0,1,9,4,7
Arsenal_5373,65,3,4,2,6,3,1,11,2,5
Liverpool_5373,56,1,0,2,7,1,0,6,4,6
WestBrom_5374,36,1,2,2,6,5,2,5,0,2
ManchesterUnited_5374,57,4,3,1,11,4,2,7,0,4
Chelsea_5374,40,0,0,1,9,2,0,2,1,8
CrystalPalace_5374,24,1,0,4,2,0,0,11,2,5
Everton_5380,50,2,1,0,6,0,2,10,6,3
Swansea_5380,65,0,4,0,7,1,0,6,2,8
QPR_5380,44,0,3,0,8,0,1,14,3,6
WestHam_5380,37,2,3,2,4,3,2,10,0,5
ManchesterCity_5380,59,3,3,2,7,3,0,8,0,4
Leicester_5380,63,1,2,1,8,3,0,12,3,4
AstonVilla_5380,38,0,2,2,6,1,0,10,2,3
Tottenham_5380,37,2,1,0,4,4,1,5,3,5
Burnley_5381,34,0,1,2,2,1,1,7,2,2
NewcastleUtd_5382,57,1,5,5,12,7,0,17,0,4
NewcastleUtd_5387,42,1,2,0,8,1,0,7,1,7
StokeCity_5387,62,4,2,2,4,1,0,13,0,6
WestBrom_5387,44,2,3,0,8,4,0,9,2,5
Burnley_5387,52,2,1,1,5,2,0,17,2,7
CrystalPalace_5387,38,0,2,1,3,2,0,11,0,5
ManchesterCity_5387,69,0,3,10,3,6,1,14,0,4
Everton_5388,48,1,1,0,8,2,0,12,2,6
Southampton_5388,51,2,0,2,7,2,1,15,3,4
Arsenal_5388,51,0,1,0,10,0,0,8,1,7
QPR_5388,51,1,0,0,4,1,2,9,0,4
Tottenham_5401,40,4,2,4,7,2,1,7,5,5
Sunderland_5401,54,1,6,1,8,4,0,10,0,6
Leicester_5401,41,1,0,2,9,1,0,13,1,8
AstonVilla_5401,35,1,2,0,7,3,1,10,2,8
Chelsea_5401,72,2,5,1,7,1,0,12,2,4
WestHam_5401,52,0,5,2,1,1,0,12,1,5
HullCity_5401,31,2,0,0,3,0,0,7,4,8
Liverpool_5402,53,1,4,1,7,1,1,13,1,8
Swansea_5402,60,3,1,1,9,1,0,12,1,2
ManchesterUnited_5403,60,3,1,1,2,4,0,12,0,4
ManchesterCity_5408,67,1,5,2,11,4,2,9,1,7
CrystalPalace_5408,30,4,0,2,9,2,1,10,1,2
Arsenal_5408,63,2,5,0,3,2,0,8,0,5
StokeCity_5408,34,1,1,1,4,0,1,9,1,5
HullCity_5408,40,1,2,1,5,1,1,5,2,7
Leicester_5408,42,0,0,0,3,1,0,11,1,4
NewcastleUtd_5409,31,0,3,1,5,2,2,17,0,5
Everton_5409,62,2,2,1,6,0,0,7,0,3
Chelsea_5409,49,1,1,2,6,6,0,10,3,7
AstonVilla_5410,61,4,1,3,5,2,2,26,0,5
Liverpool_5415,65,0,1,0,5,1,3,12,1,6
WestHam_5415,41,0,2,2,4,0,2,7,1,3
WestBrom_5415,46,2,2,0,3,2,4,13,2,5
Southampton_5415,56,2,1,0,5,1,0,10,1,5
Swansea_5415,29,0,2,3,4,0,0,5,3,7
QPR_5415,37,0,0,1,5,1,0,6,2,1
Burnley_5415,29,0,2,1,6,1,2,11,4,4
ManchesterUnited_5416,53,0,2,0,9,0,2,11,4,8
Tottenham_5416,58,2,4,4,3,5,1,4,0,3
Sunderland_5417,53,4,0,1,6,1,0,16,0,9
Chelsea_5422,44,4,1,5,7,5,1,5,2,6
AstonVilla_5422,40,3,4,2,7,0,0,10,2,5
Leicester_5422,37,0,1,0,10,2,0,11,1,5
CrystalPalace_5422,27,0,1,0,5,2,0,12,2,6
HullCity_5422,40,0,3,2,7,1,1,15,1,6
ManchesterCity_5422,61,2,7,4,7,3,0,14,2,6
NewcastleUtd_5423,47,1,3,1,8,1,1,19,2,2
StokeCity_5423,42,2,2,3,9,3,2,14,2,7
Everton_5423,57,3,5,3,4,1,1,6,1,3
Arsenal_5423,49,1,3,2,5,4,0,7,2,7
Burnley_5436,32,3,1,2,7,0,0,16,2,6
QPR_5436,45,2,2,3,5,4,1,14,3,10
Swansea_5436,39,1,0,0,3,0,0,9,4,4
Sunderland_5436,60,2,1,1,9,4,2,6,1,3
WestHam_5436,37,1,5,2,8,0,0,14,1,5
WestBrom_5436,28,1,3,4,4,0,2,10,5,4
ManchesterUnited_5436,46,0,3,4,7,4,1,11,5,3
Liverpool_5437,63,1,3,2,12,0,1,8,2,5
Tottenham_5437,64,3,0,2,10,4,0,10,1,5
Southampton_5438,65,2,3,4,8,7,2,14,0,6
Arsenal_5443,50,4,2,2,5,0,1,9,0,2
NewcastleUtd_5443,52,0,3,0,2,0,1,14,1,7
CrystalPalace_5443,35,3,0,1,2,3,0,8,1,8
Leicester_5443,35,2,3,1,5,1,3,6,0,9
HullCity_5443,24,0,1,0,9,0,0,8,1,6
StokeCity_5443,53,0,1,2,8,1,0,12,0,5
AstonVilla_5443,51,4,1,8,4,5,1,11,2,5
Chelsea_5443,67,2,4,6,5,4,0,4,1,5
ManchesterCity_5444,55,2,3,0,8,3,0,11,2,6
Everton_5444,58,3,1,1,7,1,2,9,3,2
QPR_5446,48,1,2,0,8,0,0,9,3,6
StokeCity_5446,37,1,0,0,2,1,0,13,1,2
Liverpool_5446,54,1,1,3,4,2,4,11,1,4
NewcastleUtd_5446,50,2,1,0,8,2,1,20,1,6
WestHam_5446,54,6,1,3,2,3,0,8,1,6
AstonVilla_5446,68,2,1,1,9,1,0,9,5,8
ManchesterCity_5447,65,2,6,0,7,0,0,8,0,3
