,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
ManchesterUnited_5338,56,3,1,2,8,2,0,15,1,7
WestHam_5338,46,1,7,3,5,5,0,6,1,5
WestBrom_5338,64,3,4,0,2,4,0,12,0,9
StokeCity_5338,59,2,2,0,5,0,1,13,1,8
QPR_5338,48,3,3,3,5,3,0,14,0,4
Leicester_5338,38,2,2,0,5,2,0,5,1,8
Arsenal_5338,73,2,4,3,8,4,0,12,0,7
Liverpool_5339,59,4,3,1,8,2,1,11,2,5
NewcastleUtd_5339,42,0,4,0,4,0,0,10,2,5
Burnley_5340,37,1,3,1,4,2,2,11,0,3
AstonVilla_5345,45,0,4,3,2,3,0,10,2,6
Swansea_5345,64,4,1,1,5,1,1,11,0,2
Southampton_5345,62,1,1,1,9,0,1,12,0,6
CrystalPalace_5345,42,1,2,1,8,1,0,5,4,9
Chelsea_5345,55,0,5,4,8,4,1,12,1,6
Everton_5345,53,2,3,1,8,1,0,17,0,3
Tottenham_5346,71,4,3,4,4,4,0,6,0,5
HullCity_5346,44,2,1,3,10,1,0,6,0,4
Sunderland_5346,46,2,3,1,8,1,1,11,0,6
ManchesterCity_5347,53,2,2,0,5,2,0,7,1,9
Burnley_5352,42,2,2,2,10,2,1,16,1,5
WestHam_5352,37,2,0,1,6,2,1,15,1,4
Swansea_5352,65,4,4,0,5,0,2,9,1,4
QPR_5352,48,3,3,5,2,4,0,14,1,5
NewcastleUtd_5352,67,1,4,3,N,8,0,11,1,5
ManchesterCity_5352,74,1,2,1,5,3,1,8,1,6
Everton_5352,59,3,2,2,5,3,6,16,0,5
Tottenham_5353,52,1,3,0,5,4,2,14,2,7
AstonVilla_5353,56,3,3,1,4,2,0,16,0,6
Leicester_5353,32,1,2,0,4,4,1,10,3,6
Arsenal_5366,48,2,6,1,10,0,0,7,2,4
WestBrom_5366,46,0,2,0,5,6,1,16,0,6
Sunderland_5366,29,1,1,3,8,1,0,6,4,6
StokeCity_5366,65,2,8,1,9,5,0,19,0,4
Southampton_5366,45,3,1,1,4,3,2,13,2,6
CrystalPalace_5366,43,3,4,2,5,3,0,16,0,6
Chelsea_5366,49,3,5,0,7,4,0,13,-1,4
Liverpool_5366,72,0,3,2,4,2,1,10,0,5
ManchesterUnited_5367,67,3,2,2,4,2,0,11,1,7
HullCity_5368,43,2,2,0,5,0,1,12,0,4
QPR_5373,58,2,4,2,10,5,0,10,1,2
Swansea_5373,63,1,2,1,7,1,0,10,1,8
NewcastleUtd_5373,64,3,5,4,10,0,0,11,1,5
Burnley_5373,40,4,1,1,8,1,1,17,3,7
AstonVilla_5373,35,2,2,1,6,4,1,23,0,5
WestHam_5373,44,6,2,2,6,6,0,17,0,8
Tottenham_5374,64,0,2,1,4,3,0,12,1,6
Leicester_5374,43,1,2,0,7,1,3,14,2,8
ManchesterCity_5374,60,1,4,2,8,9,0,5,0,9
Everton_5374,76,3,2,3,5,3,0,10,0,3
Liverpool_5380,50,6,4,6,5,7,2,9,2,4
Sunderland_5380,35,2,3,3,8,7,2,10,0,5
Southampton_5380,56,3,2,1,6,0,3,13,0,7
ManchesterUnited_5380,63,2,3,2,7,3,1,16,1,3
HullCity_5380,41,2,0,0,3,1,0,5,1,7
CrystalPalace_5380,37,3,2,3,4,3,1,12,1,7
Chelsea_5380,62,3,5,1,3,5,1,12,0,5
Arsenal_5380,63,3,0,3,8,3,0,8,2,4
WestBrom_5381,66,4,3,4,4,9,0,10,0,3
StokeCity_5382,43,1,2,1,4,1,2,10,1,10
Swansea_5387,58,2,3,1,7,2,3,11,0,5
Sunderland_5387,38,2,0,2,6,4,2,9,3,2
Liverpool_5387,56,3,1,3,5,4,1,17,2,7
