,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AstonVilla_5401,42.0,16.0,10.0,2.0,4.0,4.0,2.0,28.0,13.0,3.0,4.0,15.0,5.0,17.0,393.0,82.0
AstonVilla_5410,51.0,15.0,12.5,4.0,4.0,4.0,2.0,38.0,20.5,2.5,4.5,15.5,6.0,27.5,482.0,81.5
AstonVilla_5422,47.666666666666664,13.333333333333334,12.333333333333334,4.0,4.666666666666667,3.3333333333333335,2.3333333333333335,35.0,16.333333333333332,3.3333333333333335,3.6666666666666665,17.0,5.666666666666667,23.0,430.3333333333333,76.66666666666667
AstonVilla_5443,48.25,12.0,13.75,4.75,4.0,3.75,2.75,35.0,17.0,3.25,5.0,17.75,5.5,23.25,444.25,77.5
AstonVilla_5446,48.0,12.6,12.0,4.4,3.4,3.4,2.6,37.8,18.4,3.6,4.2,24.2,5.2,22.0,441.0,76.4
AstonVilla_5457,48.333333333333336,12.5,11.166666666666666,4.0,3.3333333333333335,3.1666666666666665,2.5,36.0,18.5,3.6666666666666665,3.8333333333333335,26.166666666666668,5.166666666666667,22.5,439.3333333333333,77.16666666666667
AstonVilla_5470,49.42857142857143,12.428571428571429,11.142857142857142,3.857142857142857,3.857142857142857,2.7142857142857144,2.7142857142857144,34.285714285714285,17.857142857142858,3.2857142857142856,3.4285714285714284,26.142857142857142,6.142857142857143,21.142857142857142,461.2857142857143,78.85714285714286
AstonVilla_5485,50.625,11.625,11.125,3.5,4.0,3.125,2.75,36.625,19.625,3.125,3.625,26.125,6.375,21.375,468.25,78.75
AstonVilla_5507,50.888888888888886,11.444444444444445,10.88888888888889,3.3333333333333335,4.111111111111111,3.5555555555555554,2.6666666666666665,36.888888888888886,18.88888888888889,3.111111111111111,3.4444444444444446,27.11111111111111,6.777777777777778,21.22222222222222,477.22222222222223,79.33333333333333
AstonVilla_5516,51.9,11.4,10.9,3.4,4.2,3.9,2.6,37.2,18.3,3.0,3.3,26.3,6.9,21.6,478.5,79.2
AstonVilla_5534,51.54545454545455,11.818181818181818,11.090909090909092,3.3636363636363638,4.363636363636363,4.0,2.8181818181818183,39.18181818181818,20.09090909090909,3.090909090909091,3.3636363636363638,26.454545454545453,6.545454545454546,22.363636363636363,467.54545454545456,78.27272727272727
AstonVilla_5548,52.166666666666664,11.583333333333334,11.333333333333334,3.75,4.333333333333333,4.083333333333333,2.6666666666666665,38.166666666666664,19.666666666666668,3.0,3.25,26.75,7.083333333333333,22.833333333333332,474.6666666666667,78.66666666666667
AstonVilla_5569,49.92307692307692,11.615384615384615,10.76923076923077,3.6153846153846154,4.076923076923077,3.923076923076923,2.5384615384615383,37.30769230769231,19.076923076923077,3.076923076923077,3.076923076923077,26.615384615384617,7.0,22.153846153846153,455.9230769230769,78.07692307692308
AstonVilla_5576,49.5,11.642857142857142,10.714285714285714,3.5714285714285716,4.142857142857143,4.071428571428571,2.642857142857143,37.142857142857146,19.214285714285715,3.0714285714285716,3.0,28.285714285714285,7.0,22.0,448.5,77.28571428571429
AstonVilla_5590,49.86666666666667,11.6,10.866666666666667,3.6,4.266666666666667,4.2,2.6,36.733333333333334,19.133333333333333,2.933333333333333,3.0,28.0,7.533333333333333,21.933333333333334,452.6666666666667,77.73333333333333
AstonVilla_5611,50.8125,11.3125,10.75,3.625,4.25,4.125,2.5,36.75,19.1875,3.0625,2.875,27.125,7.75,21.75,458.375,78.25
