,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Southampton_5388,55.0,9.0,7.0,3.0,1.0,5.0,1.0,25.0,11.0,3.0,3.0,34.0,1.0,32.0,441.0,77.0
Southampton_5415,55.5,7.5,5.5,2.5,1.5,4.5,0.5,22.0,11.0,2.0,1.5,29.5,1.5,22.0,405.5,79.0
Southampton_5438,57.333333333333336,10.666666666666666,8.666666666666666,3.0,2.6666666666666665,5.666666666666667,1.0,24.666666666666668,12.666666666666666,1.3333333333333333,3.0,23.333333333333332,2.0,25.0,446.6666666666667,80.66666666666667
Southampton_5447,53.5,11.5,8.0,2.5,2.75,5.25,1.25,28.75,13.0,2.75,2.75,26.0,1.75,24.5,429.75,79.25
Southampton_5457,54.6,11.4,9.4,2.8,4.2,5.0,1.6,31.4,14.6,2.4,2.4,26.0,2.6,26.2,440.8,78.8
Southampton_5470,54.0,11.166666666666666,10.0,3.3333333333333335,4.333333333333333,4.833333333333333,1.3333333333333333,33.5,15.666666666666666,2.5,2.3333333333333335,26.0,3.6666666666666665,25.166666666666668,453.8333333333333,78.5
Southampton_5486,52.285714285714285,11.0,9.857142857142858,3.0,4.428571428571429,4.857142857142857,1.5714285714285714,33.285714285714285,15.571428571428571,2.5,2.4285714285714284,25.142857142857142,3.5714285714285716,24.571428571428573,442.42857142857144,77.71428571428571
Southampton_5492,50.875,10.625,9.25,3.0,4.0,4.25,1.625,35.375,17.5,2.4375,2.25,27.875,3.5,26.0,438.0,77.5
Southampton_5513,51.0,11.222222222222221,10.0,3.2222222222222223,4.444444444444445,4.222222222222222,1.6666666666666667,36.22222222222222,18.22222222222222,2.5,2.3333333333333335,28.0,3.888888888888889,26.0,439.3333333333333,77.11111111111111
Southampton_5534,52.0,11.8,10.2,3.1,5.0,4.1,1.6,36.6,18.1,2.45,2.1,27.8,4.3,25.5,449.2,77.3
Southampton_5549,50.90909090909091,11.727272727272727,10.363636363636363,3.272727272727273,4.818181818181818,3.909090909090909,1.7272727272727273,37.45454545454545,18.0,2.772727272727273,2.272727272727273,29.454545454545453,5.181818181818182,24.818181818181817,444.09090909090907,77.0909090909091
Southampton_5569,51.25,12.166666666666666,10.416666666666666,3.1666666666666665,5.0,4.416666666666667,1.6666666666666667,37.75,18.416666666666668,2.5416666666666665,2.25,29.75,5.583333333333333,25.25,444.9166666666667,77.33333333333333
Southampton_5583,51.07692307692308,12.538461538461538,10.538461538461538,3.3846153846153846,4.769230769230769,4.461538461538462,1.8461538461538463,37.46153846153846,18.384615384615383,2.3461538461538463,2.3076923076923075,29.923076923076923,5.461538461538462,24.384615384615383,444.61538461538464,77.07692307692308
Southampton_5597,51.42857142857143,12.357142857142858,10.285714285714286,3.2857142857142856,4.785714285714286,4.214285714285714,1.8571428571428572,36.642857142857146,18.0,2.4642857142857144,2.357142857142857,29.928571428571427,6.071428571428571,23.928571428571427,447.2857142857143,77.07142857142857
Southampton_5604,52.6,12.2,10.266666666666667,3.2666666666666666,4.666666666666667,4.466666666666667,1.7333333333333334,37.4,18.533333333333335,2.3666666666666667,2.466666666666667,29.733333333333334,6.8,24.6,455.8666666666667,77.2
Southampton_5619,52.1875,11.9375,10.4375,3.3125,4.75,4.4375,1.6875,36.75,18.0,2.46875,2.5,29.875,7.5625,24.1875,452.0625,77.25
