,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SwanseaCity_5402,54.0,7.0,13.0,5.0,4.0,5.0,1.0,33.0,16.0,1.0,4.0,34.0,10.0,25.0,484.0,81.0
SwanseaCity_5415,42.0,7.0,9.0,3.0,3.0,2.5,3.0,21.5,10.0,2.0,3.5,29.0,8.0,15.0,310.5,77.5
SwanseaCity_5436,42.0,7.666666666666667,8.666666666666666,3.0,3.0,2.6666666666666665,2.3333333333333335,19.666666666666668,9.666666666666666,4.0,3.0,32.333333333333336,9.333333333333334,16.333333333333332,357.3333333333333,80.0
SwanseaCity_5451,42.5,10.25,9.25,2.75,3.25,3.0,2.0,25.0,11.0,4.0,3.5,32.75,9.25,17.75,351.0,78.25
SwanseaCity_5464,42.4,11.4,10.0,2.8,3.8,3.4,2.0,30.6,11.4,3.8,3.6,31.0,8.8,19.4,353.8,77.0
SwanseaCity_5473,44.5,10.333333333333334,10.166666666666666,3.0,4.0,3.4,2.0,29.333333333333332,11.833333333333334,4.5,3.3333333333333335,28.833333333333332,9.0,19.0,396.0,78.66666666666667
SwanseaCity_5476,46.285714285714285,9.571428571428571,12.285714285714286,3.4285714285714284,5.0,4.2,1.7142857142857142,33.42857142857143,13.428571428571429,4.571428571428571,4.0,27.142857142857142,9.142857142857142,19.571428571428573,406.0,78.71428571428571
SwanseaCity_5507,45.375,9.5,11.5,3.125,4.75,3.675,1.625,33.125,13.0,4.75,3.75,26.5,8.75,19.5,405.125,78.5
SwanseaCity_5517,46.77777777777778,9.777777777777779,11.333333333333334,3.111111111111111,4.888888888888889,3.711111111111111,1.5555555555555556,33.22222222222222,13.222222222222221,4.444444444444445,3.4444444444444446,26.11111111111111,9.0,19.666666666666668,421.44444444444446,79.44444444444444
SwanseaCity_5534,47.2,9.6,11.0,3.0,5.0,3.7399999999999998,1.5555555555555556,34.5,13.8,4.6,3.1,26.1,8.7,21.1,421.2,78.5
SwanseaCity_5538,46.81818181818182,9.363636363636363,10.909090909090908,3.1818181818181817,4.7272727272727275,3.7636363636363637,1.4141414141414141,34.27272727272727,13.818181818181818,4.545454545454546,3.090909090909091,25.90909090909091,8.545454545454545,20.818181818181817,420.09090909090907,78.72727272727273
SwanseaCity_5555,47.666666666666664,9.333333333333334,10.75,3.4166666666666665,4.416666666666667,4.2,1.4141414141414141,34.583333333333336,14.0,4.416666666666667,3.0,25.666666666666668,9.166666666666666,20.833333333333332,425.5,79.0
SwanseaCity_5583,48.53846153846154,9.0,10.692307692307692,3.6153846153846154,4.230769230769231,4.107692307692307,1.459207459207459,34.23076923076923,13.76923076923077,4.384615384615385,2.923076923076923,25.76923076923077,9.461538461538462,19.923076923076923,433.6923076923077,79.23076923076923
SwanseaCity_5590,48.714285714285715,9.0,10.714285714285714,3.7857142857142856,4.142857142857143,4.242857142857143,1.4978354978354977,34.5,14.357142857142858,4.214285714285714,2.857142857142857,25.714285714285715,9.214285714285714,19.714285714285715,435.5,79.28571428571429
SwanseaCity_5606,47.46666666666667,9.066666666666666,10.533333333333333,3.7333333333333334,4.0,4.026666666666666,1.4646464646464645,33.266666666666666,13.8,4.533333333333333,2.8666666666666667,26.266666666666666,9.533333333333333,19.2,430.1333333333333,79.33333333333333
SwanseaCity_5619,47.6875,9.3125,10.1875,3.625,3.8125,3.9625,1.3731060606060606,33.1875,13.6875,4.625,2.8125,26.625,9.5625,19.75,427.0625,79.1875
