,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
LeicesterCity_5387,54.0,16.0,15.0,6.0,3.0,9.0,2.0,61.0,26.0,2.0,6.0,14.0,16.0,23.0,423.0,76.0
LeicesterCity_5415,55.5,9.0,10.5,4.0,2.5,8.5,1.0,45.0,23.0,2.5,4.0,14.0,11.0,21.0,332.5,75.0
LeicesterCity_5436,51.0,12.0,11.333333333333334,4.0,4.0,7.666666666666667,1.3333333333333333,45.0,23.0,3.3333333333333335,3.3333333333333335,17.333333333333332,9.666666666666666,19.666666666666668,308.3333333333333,72.66666666666667
LeicesterCity_5446,49.75,11.75,13.5,4.0,5.5,7.5,1.25,49.5,25.5,2.5,4.0,20.0,9.75,22.0,322.0,72.0
LeicesterCity_5457,49.4,12.4,12.2,3.4,5.0,7.6,1.0,47.8,23.4,2.6,3.8,21.0,10.2,25.0,329.0,71.2
LeicesterCity_5470,49.666666666666664,12.0,13.833333333333334,3.8333333333333335,5.833333333333333,8.166666666666666,1.0,46.833333333333336,23.333333333333332,2.3333333333333335,4.166666666666667,22.0,10.0,24.666666666666668,343.0,71.83333333333333
LeicesterCity_5485,48.42857142857143,12.857142857142858,13.428571428571429,3.7142857142857144,5.714285714285714,7.857142857142857,1.1428571428571428,47.714285714285715,23.0,2.142857142857143,4.0,22.857142857142858,9.571428571428571,24.571428571428573,338.0,70.71428571428571
LeicesterCity_5492,48.25,12.375,12.625,3.625,5.375,7.625,1.125,46.75,21.5,2.125,3.625,25.5,9.375,24.75,337.75,71.125
LeicesterCity_5513,49.55555555555556,12.666666666666666,13.333333333333334,3.7777777777777777,5.666666666666667,7.666666666666667,1.4444444444444444,50.888888888888886,22.77777777777778,2.0,3.888888888888889,25.555555555555557,10.0,25.333333333333332,354.3333333333333,71.77777777777777
LeicesterCity_5594,48.3,12.4,12.8,3.6,5.5,7.1,1.4,50.6,22.5,1.9,3.7,26.9,9.2,24.8,354.0,71.5
LeicesterCity_5548,48.63636363636363,12.181818181818182,13.0,3.5454545454545454,5.636363636363637,7.090909090909091,1.2727272727272727,51.72727272727273,23.0,2.1818181818181817,3.8181818181818183,26.818181818181817,9.272727272727273,25.09090909090909,357.6363636363636,71.45454545454545
LeicesterCity_5569,48.75,12.166666666666666,13.583333333333334,3.8333333333333335,5.916666666666667,7.083333333333333,1.1666666666666667,53.916666666666664,24.25,2.5,3.8333333333333335,26.416666666666668,9.083333333333334,24.5,357.4166666666667,71.16666666666667
LeicesterCity_5583,48.15384615384615,11.692307692307692,13.923076923076923,4.0,6.230769230769231,7.0,1.0769230769230769,52.07692307692308,23.846153846153847,2.769230769230769,3.6923076923076925,27.76923076923077,9.384615384615385,23.384615384615383,357.0769230769231,71.07692307692308
LeicesterCity_5597,48.5,11.5,13.785714285714286,4.214285714285714,6.357142857142857,7.214285714285714,1.0714285714285714,52.0,24.857142857142858,2.7857142857142856,3.7142857142857144,28.571428571428573,9.285714285714286,23.214285714285715,352.7142857142857,71.07142857142857
LeicesterCity_5604,47.333333333333336,11.533333333333333,13.533333333333333,4.133333333333334,6.333333333333333,7.0,1.0666666666666667,51.733333333333334,24.666666666666668,2.8,3.533333333333333,29.2,9.333333333333334,23.533333333333335,345.8,70.13333333333334
LeicesterCity_5619,47.25,11.25,14.0625,4.3125,6.75,6.875,1.0666666666666667,52.0625,25.1875,2.6875,3.4375,28.6875,9.6875,23.3125,345.8125,70.1875
