,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Southampton_5401,53.0,11.0,20.0,11.0,9.0,5.0,1.0,16.0,6.0,1.0,0.0,10.0,2.0,12.0,179.0,75.0
Southampton_5408,57.0,10.5,20.0,6.5,11.5,6.0,0.5,29.0,10.0,1.0,2.0,21.0,4.0,18.5,372.5,80.0
Southampton_5422,59.333333333333336,10.333333333333334,19.333333333333332,6.333333333333333,9.666666666666666,8.333333333333334,1.0,29.666666666666668,11.666666666666666,0.6666666666666666,3.3333333333333335,21.666666666666668,6.666666666666667,21.333333333333332,441.6666666666667,81.33333333333333
Southampton_5444,58.0,10.25,17.75,5.75,8.5,8.25,1.0,28.25,11.25,1.25,3.5,23.0,7.0,22.25,448.75,81.75
Southampton_5452,57.4,10.6,17.2,5.4,8.4,7.6,1.2,28.8,12.6,1.0,3.4,26.0,6.6,23.4,461.0,81.4
Southampton_5464,55.666666666666664,10.666666666666666,16.166666666666668,5.0,8.0,7.0,1.1666666666666667,27.5,12.666666666666666,1.5,3.1666666666666665,30.5,5.833333333333333,22.5,447.0,81.0
Southampton_5472,53.285714285714285,12.428571428571429,15.142857142857142,4.428571428571429,7.857142857142857,6.571428571428571,1.5714285714285714,27.571428571428573,12.428571428571429,1.5,2.857142857142857,32.57142857142857,5.857142857142857,21.142857142857142,437.14285714285717,80.57142857142857
Southampton_5476,51.625,12.625,14.875,4.625,7.5,6.0,1.625,27.75,13.125,2.0625,2.75,32.5,5.625,20.875,431.0,80.5
Southampton_5507,52.666666666666664,12.444444444444445,14.88888888888889,4.777777777777778,7.111111111111111,6.333333333333333,1.5555555555555556,28.11111111111111,14.0,1.8333333333333333,3.0,31.0,6.111111111111111,21.11111111111111,454.8888888888889,81.0
Southampton_5517,53.9,12.4,15.5,5.0,7.1,6.5,1.6,28.5,14.0,1.75,3.4,29.5,6.4,21.6,460.8,81.1
Southampton_5528,54.45454545454545,12.272727272727273,15.272727272727273,5.0,6.7272727272727275,6.454545454545454,1.5454545454545454,28.363636363636363,14.272727272727273,1.7727272727272727,3.5454545454545454,29.0,6.7272727272727275,21.90909090909091,467.54545454545456,81.0909090909091
Southampton_5537,54.75,12.166666666666666,15.916666666666666,4.833333333333333,7.166666666666667,6.75,1.4166666666666667,30.5,15.416666666666666,1.875,3.9166666666666665,29.583333333333332,7.416666666666667,23.166666666666668,469.5,80.83333333333333
Southampton_5555,55.23076923076923,12.0,16.23076923076923,4.6923076923076925,7.3076923076923075,7.0,1.4166666666666667,30.615384615384617,15.461538461538462,1.9615384615384615,4.230769230769231,28.307692307692307,7.6923076923076925,23.153846153846153,476.15384615384613,80.84615384615384
Southampton_5576,55.142857142857146,11.642857142857142,15.714285714285714,4.642857142857143,7.0,6.642857142857143,1.4583333333333335,31.0,15.571428571428571,2.107142857142857,4.071428571428571,27.928571428571427,7.428571428571429,22.428571428571427,481.2857142857143,80.78571428571429
Southampton_5590,53.86666666666667,11.466666666666667,15.533333333333333,4.6,7.0,6.733333333333333,1.4277777777777778,30.533333333333335,15.333333333333334,1.9666666666666666,3.933333333333333,27.466666666666665,7.266666666666667,22.666666666666668,470.6666666666667,80.4
Southampton_5611,52.6875,11.9375,15.6875,5.0,6.8125,6.6875,1.4010416666666667,30.9375,15.4375,2.03125,3.875,27.0625,7.25,22.25,459.125,80.125
