,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SwanseaCity_5387,64.0,11.0,11.0,5.0,5.0,3.0,1.0,28.0,15.0,2.0,1.0,14.0,8.0,22.0,625.0,86.0
SwanseaCity_5408,55.5,9.0,9.0,4.0,4.5,2.5,1.0,30.0,15.5,3.0,0.5,19.0,6.5,21.0,582.0,84.0
SwanseaCity_5423,52.333333333333336,9.333333333333334,9.666666666666666,4.333333333333333,4.333333333333333,3.6666666666666665,2.3333333333333335,30.0,15.666666666666666,3.0,1.0,22.0,7.666666666666667,18.666666666666668,531.0,83.66666666666667
SwanseaCity_5443,54.5,8.5,11.75,4.25,6.0,3.75,1.75,32.75,17.25,3.25,1.5,22.75,8.5,17.75,530.25,84.75
SwanseaCity_5446,55.0,8.4,13.0,4.8,5.8,4.8,1.8,33.2,17.6,2.8,2.4,21.8,10.4,20.4,524.6,85.2
SwanseaCity_5458,54.666666666666664,8.166666666666666,13.333333333333334,4.5,5.666666666666667,5.166666666666667,2.0,33.5,17.5,2.6666666666666665,3.1666666666666665,23.833333333333332,10.166666666666666,21.333333333333332,515.0,84.5
SwanseaCity_5470,53.142857142857146,9.428571428571429,12.428571428571429,4.142857142857143,5.285714285714286,5.0,1.8571428571428572,32.142857142857146,16.428571428571427,2.7142857142857144,3.0,23.285714285714285,9.714285714285714,19.857142857142858,506.2857142857143,84.57142857142857
SwanseaCity_5485,53.5,9.375,13.25,4.0,5.25,4.875,1.625,31.625,15.5,2.875,4.0,22.875,9.875,19.75,521.25,84.75
SwanseaCity_5492,53.0,9.333333333333334,13.0,3.5555555555555554,5.333333333333333,4.444444444444445,1.625,30.77777777777778,15.222222222222221,3.2222222222222223,4.111111111111111,24.666666666666668,9.555555555555555,18.88888888888889,518.2222222222222,85.0
SwanseaCity_5513,53.6,9.5,13.3,3.9,5.4,4.7,1.7625,30.2,15.2,2.9,4.0,24.6,9.3,18.6,519.0,84.9
SwanseaCity_5527,52.27272727272727,9.181818181818182,13.090909090909092,4.090909090909091,5.090909090909091,4.636363636363637,1.7840909090909092,31.09090909090909,15.181818181818182,2.8181818181818183,3.909090909090909,24.454545454545453,8.818181818181818,18.636363636363637,501.3636363636364,83.36363636363636
SwanseaCity_5550,52.0,9.5,12.833333333333334,4.0,4.916666666666667,4.583333333333333,1.6354166666666667,29.916666666666668,14.833333333333334,2.9166666666666665,3.9166666666666665,25.0,8.833333333333334,18.75,499.75,83.25
SwanseaCity_5569,52.61538461538461,9.615384615384615,12.538461538461538,4.0,4.846153846153846,4.538461538461538,1.5865384615384615,29.692307692307693,14.923076923076923,2.6923076923076925,3.6923076923076925,25.23076923076923,8.538461538461538,18.384615384615383,510.0769230769231,83.46153846153847
SwanseaCity_5576,52.5,10.214285714285714,12.428571428571429,3.9285714285714284,4.785714285714286,4.428571428571429,1.6875,30.0,15.357142857142858,3.0,3.7142857142857144,25.0,8.571428571428571,18.285714285714285,505.7857142857143,83.21428571428571
SwanseaCity_5597,52.2,10.133333333333333,12.2,3.8,4.866666666666666,4.533333333333333,1.6416666666666666,31.0,15.6,3.0,3.8666666666666667,24.533333333333335,8.733333333333333,18.6,499.6,82.86666666666666
SwanseaCity_5612,51.875,10.0,12.25,4.125,4.6875,4.9375,1.5390625,30.125,15.0625,3.25,3.75,25.4375,9.0625,18.125,497.1875,83.0
