,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AtleticoMadrid_5387,58.0,14.0,19.0,5.0,10.0,6.0,1.0,43.0,18.0,1.0,4.0,26.0,6.0,23.0,457.0,79.0
AtleticoMadrid_5409,58.0,12.5,15.5,6.0,6.5,7.0,2.0,34.5,15.5,2.5,3.0,30.0,7.0,29.5,478.5,80.5
AtleticoMadrid_5423,54.666666666666664,14.0,11.666666666666666,4.666666666666667,5.0,5.0,4.0,35.666666666666664,18.666666666666668,2.6666666666666665,2.0,31.0,6.333333333333333,32.666666666666664,431.0,77.0
AtleticoMadrid_5450,54.5,14.25,9.75,4.25,3.75,4.0,3.0,32.5,17.5,2.25,1.75,29.25,6.0,29.5,471.0,78.0
AtleticoMadrid_5465,52.2,14.2,8.8,4.2,3.2,3.4,3.2,36.6,19.2,2.0,1.75,30.6,6.0,28.0,450.6,74.6
AtleticoMadrid_5486,49.5,14.833333333333334,8.166666666666666,4.0,3.0,3.3333333333333335,3.6666666666666665,34.666666666666664,17.833333333333332,2.3333333333333335,1.4583333333333333,33.166666666666664,5.666666666666667,27.833333333333332,419.3333333333333,73.66666666666667
AtleticoMadrid_5506,49.857142857142854,15.0,8.142857142857142,4.142857142857143,2.7142857142857144,4.0,3.5714285714285716,38.42857142857143,19.428571428571427,2.2857142857142856,1.5357142857142858,32.142857142857146,5.714285714285714,29.857142857142858,406.0,70.85714285714286
AtleticoMadrid_5521,48.625,14.625,8.375,4.25,2.875,3.75,3.625,38.625,20.25,2.125,1.46875,34.75,6.75,28.875,398.875,70.625
AtleticoMadrid_5535,47.333333333333336,14.555555555555555,8.444444444444445,4.0,3.2222222222222223,3.4444444444444446,4.0,39.77777777777778,21.22222222222222,2.3333333333333335,1.4166666666666667,35.0,7.222222222222222,28.22222222222222,386.3333333333333,70.0
AtleticoMadrid_5548,47.7,14.9,9.0,4.2,3.5,3.8,3.9,42.2,22.6,2.2,1.475,34.7,7.0,27.4,384.1,70.3
AtleticoMadrid_5569,47.18181818181818,14.363636363636363,8.909090909090908,4.181818181818182,3.3636363636363638,3.909090909090909,3.6363636363636362,43.36363636363637,23.272727272727273,2.1818181818181817,1.5227272727272727,35.72727272727273,6.909090909090909,26.90909090909091,387.6363636363636,70.9090909090909
AtleticoMadrid_5576,47.416666666666664,14.0,9.083333333333334,4.25,3.4166666666666665,3.6666666666666665,3.5833333333333335,43.166666666666664,22.75,2.1666666666666665,1.5625,35.916666666666664,7.166666666666667,26.833333333333332,388.75,71.0
AtleticoMadrid_5583,47.23076923076923,14.076923076923077,9.538461538461538,4.6923076923076925,3.5384615384615383,3.8461538461538463,3.4615384615384617,44.15384615384615,23.46153846153846,2.076923076923077,1.4423076923076923,35.69230769230769,7.0,26.384615384615383,387.0,71.38461538461539
AtleticoMadrid_5594,46.92857142857143,13.785714285714286,9.357142857142858,4.571428571428571,3.7857142857142856,3.642857142857143,3.5,44.5,24.071428571428573,2.142857142857143,1.4107142857142858,34.714285714285715,6.785714285714286,26.928571428571427,397.5,71.92857142857143
AtleticoMadrid_5605,48.0,13.933333333333334,9.733333333333333,4.733333333333333,3.6,3.8,3.4,44.666666666666664,24.266666666666666,2.2,1.7833333333333334,34.13333333333333,7.133333333333334,27.266666666666666,402.6,72.8
AtleticoMadrid_5618,48.0625,13.75,9.3125,4.5,3.4375,3.5625,3.4,43.75,23.5625,2.0625,1.734375,33.3125,6.75,27.0,406.5625,73.4375
