,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RealSociedad_5388,59.0,12.0,13.0,4.0,7.0,4.0,2.0,35.0,20.0,2.0,2.0,22.0,12.0,23.0,460.0,81.0
RealSociedad_5408,52.5,12.0,10.0,2.5,6.0,4.0,2.0,45.5,21.5,2.0,1.5,27.0,8.5,29.5,405.5,70.5
RealSociedad_5436,51.666666666666664,11.666666666666666,12.333333333333334,3.3333333333333335,7.0,4.666666666666667,1.6666666666666667,41.666666666666664,20.666666666666668,2.6666666666666665,2.0,26.666666666666668,7.333333333333333,30.0,382.3333333333333,71.0
RealSociedad_5451,50.5,10.75,12.25,3.0,6.0,4.0,1.75,41.25,21.0,3.25,3.25,27.5,6.75,29.0,375.0,71.0
RealSociedad_5464,51.6,12.6,10.4,2.8,4.8,4.0,2.4,43.8,22.6,2.8,2.8,26.8,6.0,28.6,384.6,71.8
RealSociedad_5486,50.0,13.0,10.333333333333334,3.1666666666666665,4.666666666666667,4.0,2.3333333333333335,43.333333333333336,22.333333333333332,2.6666666666666665,2.5,28.333333333333332,6.166666666666667,26.833333333333332,371.5,70.66666666666667
RealSociedad_5506,49.0,12.714285714285714,10.0,3.0,4.571428571428571,3.857142857142857,2.142857142857143,40.42857142857143,21.0,3.2857142857142856,2.4285714285714284,28.428571428571427,5.857142857142857,24.428571428571427,380.14285714285717,72.57142857142857
RealSociedad_5519,50.125,13.0,9.625,3.0,4.125,4.125,2.375,40.125,20.75,3.125,2.5,27.625,5.75,24.375,387.375,73.125
RealSociedad_5535,50.44444444444444,13.11111111111111,9.444444444444445,2.6666666666666665,4.555555555555555,4.222222222222222,2.4444444444444446,39.77777777777778,20.22222222222222,2.888888888888889,2.2222222222222223,27.0,5.777777777777778,24.0,395.77777777777777,73.44444444444444
RealSociedad_5550,50.7,13.0,9.5,2.8,4.6,4.3,2.3,40.2,20.6,3.1,2.1,28.3,6.0,23.6,397.2,73.1
RealSociedad_5569,50.36363636363637,12.727272727272727,9.454545454545455,2.8181818181818183,4.545454545454546,4.181818181818182,2.5454545454545454,39.63636363636363,20.818181818181817,3.272727272727273,2.090909090909091,29.727272727272727,6.181818181818182,22.636363636363637,393.0,73.18181818181819
RealSociedad_5572,49.75,13.083333333333334,9.416666666666666,2.75,4.583333333333333,4.666666666666667,2.3333333333333335,39.666666666666664,21.0,3.1666666666666665,2.0833333333333335,29.666666666666668,6.416666666666667,23.5,392.5,73.16666666666667
RealSociedad_5585,49.69230769230769,12.923076923076923,9.0,2.6923076923076925,4.3076923076923075,4.615384615384615,2.4615384615384617,39.76923076923077,21.46153846153846,3.0,2.0,29.53846153846154,6.461538461538462,23.53846153846154,391.7692307692308,73.15384615384616
RealSociedad_5593,49.07142857142857,12.928571428571429,9.285714285714286,3.0714285714285716,4.357142857142857,4.5,2.4285714285714284,40.285714285714285,21.571428571428573,2.9285714285714284,1.8571428571428572,29.0,6.214285714285714,23.071428571428573,388.0,72.71428571428571
RealSociedad_5604,48.13333333333333,12.933333333333334,9.0,2.933333333333333,4.2,4.4,2.6,38.86666666666667,20.933333333333334,3.1333333333333333,1.8666666666666667,29.066666666666666,6.066666666666666,23.0,381.53333333333336,72.86666666666666
RealSociedad_5618,47.125,12.9375,9.125,3.25,4.0,4.25,2.5,37.75,20.125,3.0,1.875,28.9375,6.125,23.5625,374.1875,72.3125
