,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Villarreal_5388,33.0,22.0,11.0,4.0,7.0,4.0,4.0,35.0,16.0,5.0,0.0,21.0,5.0,15.0,253.0,66.0
Villarreal_5409,38.5,18.5,11.0,4.0,6.5,3.0,4.0,29.5,13.5,3.5,0.5,21.0,5.5,17.5,302.5,70.0
Villarreal_5423,39.666666666666664,20.666666666666668,10.333333333333334,4.333333333333333,5.333333333333333,4.333333333333333,4.0,35.0,16.333333333333332,3.3333333333333335,0.6666666666666666,24.666666666666668,5.333333333333333,18.666666666666668,309.6666666666667,67.33333333333333
Villarreal_5444,42.0,18.75,10.25,5.0,4.75,5.25,3.5,37.25,18.0,3.0,0.5,25.0,5.0,19.75,340.25,70.0
Villarreal_5458,41.8,18.2,9.6,4.8,4.2,4.6,3.4,37.6,18.8,2.8,0.6,28.0,5.8,22.0,345.2,70.4
Villarreal_5478,43.333333333333336,17.333333333333332,11.0,4.833333333333333,4.5,5.166666666666667,3.1666666666666665,37.0,18.666666666666668,3.3333333333333335,1.6666666666666667,27.666666666666668,5.833333333333333,22.333333333333332,357.6666666666667,71.33333333333333
Villarreal_5485,44.142857142857146,17.0,10.714285714285714,4.714285714285714,4.428571428571429,4.857142857142857,3.2857142857142856,36.0,18.142857142857142,3.5714285714285716,1.5714285714285714,27.142857142857142,6.571428571428571,23.714285714285715,370.85714285714283,72.14285714285714
Villarreal_5507,42.875,17.375,10.5,4.5,4.625,4.5,3.125,33.625,17.25,3.625,1.375,28.375,6.25,22.25,362.0,72.0
Villarreal_5521,43.44444444444444,17.0,10.333333333333334,4.222222222222222,4.777777777777778,4.555555555555555,3.0,35.333333333333336,18.0,3.7777777777777777,1.3333333333333333,29.11111111111111,6.888888888888889,23.555555555555557,361.22222222222223,70.66666666666667
Villarreal_5535,42.8,17.3,10.2,4.2,4.5,4.5,3.2,35.0,17.3,4.0,1.5,28.9,6.7,23.0,356.5,70.6
Villarreal_5549,44.45454545454545,17.09090909090909,10.909090909090908,4.454545454545454,4.545454545454546,4.363636363636363,3.4545454545454546,33.90909090909091,16.90909090909091,3.8181818181818183,1.9090909090909092,28.09090909090909,6.454545454545454,22.454545454545453,363.0,71.27272727272727
Villarreal_5570,44.5,17.166666666666668,10.416666666666666,4.25,4.25,4.5,3.5833333333333335,33.166666666666664,16.166666666666668,3.75,1.9166666666666667,28.333333333333332,6.5,23.083333333333332,357.8333333333333,70.83333333333333
Villarreal_5577,44.46153846153846,17.076923076923077,10.307692307692308,4.230769230769231,4.3076923076923075,4.538461538461538,3.769230769230769,32.53846153846154,16.153846153846153,3.5384615384615383,1.7692307692307692,28.23076923076923,6.538461538461538,22.923076923076923,356.3076923076923,70.76923076923077
Villarreal_5590,44.07142857142857,16.785714285714285,10.928571428571429,4.214285714285714,4.428571428571429,4.857142857142857,3.7142857142857144,33.42857142857143,16.571428571428573,3.4285714285714284,2.2857142857142856,27.571428571428573,6.428571428571429,22.928571428571427,353.2142857142857,70.85714285714286
Villarreal_5597,44.06666666666667,16.2,10.266666666666667,4.066666666666666,4.266666666666667,4.666666666666667,3.8,34.53333333333333,16.666666666666668,3.3333333333333335,2.3333333333333335,27.0,6.2,23.733333333333334,354.2,70.26666666666667
Villarreal_5618,44.375,15.5625,10.3125,3.9375,4.375,4.6875,3.625,33.9375,16.1875,3.375,2.5,26.4375,5.9375,23.5625,357.5625,70.875
