,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
CeltaVigo_5388,67.0,15.0,15.0,6.0,4.0,11.0,4.0,35.0,19.0,1.0,5.0,18.0,11.0,24.0,518.0,80.0
CeltaVigo_5407,67.0,14.5,14.0,5.0,5.5,9.0,2.0,37.0,21.5,1.0,3.5,16.0,8.5,18.0,601.5,83.5
CeltaVigo_5422,66.33333333333333,14.333333333333334,15.0,5.0,6.333333333333333,8.0,1.6666666666666667,34.333333333333336,20.0,1.0,3.6666666666666665,20.666666666666668,7.333333333333333,20.0,586.3333333333334,83.33333333333333
CeltaVigo_5443,67.0,13.25,18.5,6.0,7.5,9.75,2.25,34.75,19.25,1.0,5.0,18.5,8.0,21.25,598.75,83.75
CeltaVigo_5463,67.6,12.6,18.6,5.6,8.0,11.2,2.6,36.8,19.6,1.0,5.0,21.2,7.2,22.8,595.4,83.6
CeltaVigo_5485,66.33333333333333,13.833333333333334,17.833333333333332,5.333333333333333,7.833333333333333,11.166666666666666,2.6666666666666665,39.833333333333336,21.333333333333332,1.0,4.666666666666667,23.666666666666668,7.5,24.5,577.8333333333334,83.0
CeltaVigo_5506,65.42857142857143,13.285714285714286,18.0,5.857142857142857,7.714285714285714,10.714285714285714,2.5714285714285716,42.857142857142854,24.0,1.2857142857142858,4.428571428571429,24.0,8.857142857142858,24.714285714285715,576.8571428571429,82.71428571428571
CeltaVigo_5521,64.75,12.125,17.5,5.5,7.625,10.5,2.25,42.5,22.75,1.75,4.375,24.875,10.75,23.75,593.5,83.0
CeltaVigo_5536,62.888888888888886,12.555555555555555,16.77777777777778,5.444444444444445,7.333333333333333,10.0,2.5555555555555554,41.44444444444444,22.0,1.5555555555555556,4.0,25.555555555555557,10.666666666666666,23.555555555555557,578.1111111111111,82.55555555555556
CeltaVigo_5548,63.0,12.7,16.7,5.4,7.3,9.8,2.6,39.9,20.7,1.6,4.0,25.9,10.7,22.5,574.0,82.6
CeltaVigo_5570,60.72727272727273,13.909090909090908,15.818181818181818,5.0,7.181818181818182,9.272727272727273,2.5454545454545454,38.54545454545455,19.454545454545453,1.6363636363636365,3.6363636363636362,26.545454545454547,10.454545454545455,22.0,552.7272727272727,81.72727272727273
CeltaVigo_5576,59.833333333333336,14.083333333333334,15.916666666666666,5.416666666666667,7.0,8.75,2.4166666666666665,38.583333333333336,19.166666666666668,1.75,3.5,26.25,11.25,22.666666666666668,543.0,81.5
CeltaVigo_5591,59.38461538461539,14.307692307692308,16.153846153846153,5.3076923076923075,7.153846153846154,8.461538461538462,2.4615384615384617,38.07692307692308,18.923076923076923,1.8461538461538463,3.6923076923076925,26.53846153846154,11.384615384615385,22.153846153846153,540.9230769230769,81.84615384615384
CeltaVigo_5594,59.785714285714285,13.714285714285714,16.0,5.071428571428571,7.357142857142857,8.071428571428571,2.4285714285714284,37.642857142857146,19.285714285714285,1.8571428571428572,3.5714285714285716,27.071428571428573,12.071428571428571,22.142857142857142,543.9285714285714,81.78571428571429
CeltaVigo_5605,60.06666666666667,13.933333333333334,15.8,4.866666666666666,7.466666666666667,7.8,2.466666666666667,36.2,18.8,1.9333333333333333,3.466666666666667,26.733333333333334,11.866666666666667,21.866666666666667,543.6666666666666,82.13333333333334
CeltaVigo_5618,59.4375,13.75,15.4375,5.0,7.125,7.4375,2.4375,35.0,18.0,1.875,3.3125,26.3125,11.6875,22.125,537.625,82.0
