,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RCDEspanyol_5388,41.0,20.0,10.0,4.0,3.0,4.0,6.0,35.0,15.0,4.0,3.0,28.0,10.0,17.0,323.0,71.0
RCDEspanyol_5409,50.0,16.0,13.0,4.5,5.5,7.5,4.0,37.0,19.0,2.5,3.0,26.5,9.0,25.0,395.5,74.0
RCDEspanyol_5423,52.666666666666664,16.0,12.333333333333334,4.333333333333333,6.0,7.0,3.6666666666666665,40.0,20.666666666666668,3.0,2.0,25.666666666666668,9.0,28.666666666666668,399.6666666666667,71.33333333333333
RCDEspanyol_5443,52.5,17.25,11.75,4.25,5.25,6.5,3.25,44.5,21.75,2.75,2.25,25.5,8.25,31.5,381.0,69.25
RCDEspanyol_5458,52.0,16.4,11.8,4.2,5.8,5.6,3.0,45.6,21.4,3.2,2.25,24.6,8.2,30.8,370.4,68.6
RCDEspanyol_5479,53.166666666666664,15.166666666666666,12.333333333333334,4.5,6.0,5.666666666666667,2.6666666666666665,45.666666666666664,22.166666666666668,3.3333333333333335,2.2083333333333335,27.0,7.166666666666667,30.833333333333332,380.6666666666667,69.0
RCDEspanyol_5492,53.857142857142854,14.285714285714286,12.714285714285714,4.285714285714286,6.285714285714286,6.142857142857143,2.7142857142857144,45.0,21.571428571428573,3.142857142857143,2.4642857142857144,26.857142857142858,7.142857142857143,29.571428571428573,384.7142857142857,69.0
RCDEspanyol_5500,54.125,14.5,13.375,4.875,6.375,6.5,2.625,43.0,20.625,2.875,2.40625,27.375,6.875,30.0,384.0,70.125
RCDEspanyol_5514,53.55555555555556,15.333333333333334,12.88888888888889,4.666666666666667,5.888888888888889,6.555555555555555,2.888888888888889,43.666666666666664,21.0,2.888888888888889,2.5833333333333335,26.0,6.777777777777778,30.444444444444443,375.55555555555554,69.88888888888889
RCDEspanyol_5533,52.6,16.0,12.8,4.6,5.9,6.1,3.0,42.7,20.6,3.0,2.525,25.6,6.6,29.7,375.3,69.8
RCDEspanyol_5548,52.27272727272727,17.545454545454547,12.272727272727273,4.2727272727272725,5.909090909090909,6.090909090909091,3.0,44.63636363636363,21.363636363636363,3.272727272727273,2.2954545454545454,24.454545454545453,6.7272727272727275,28.636363636363637,372.90909090909093,70.45454545454545
RCDEspanyol_5571,51.333333333333336,17.583333333333332,11.666666666666666,4.166666666666667,5.5,5.916666666666667,3.0,44.333333333333336,21.333333333333332,3.0833333333333335,2.1875,24.583333333333332,6.5,28.333333333333332,370.8333333333333,70.5
RCDEspanyol_5577,50.76923076923077,17.307692307692307,11.153846153846153,3.923076923076923,5.230769230769231,6.0,2.923076923076923,44.38461538461539,21.615384615384617,3.0,2.173076923076923,25.307692307692307,6.538461538461538,28.153846153846153,371.84615384615387,70.23076923076923
RCDEspanyol_5590,49.714285714285715,17.571428571428573,10.857142857142858,3.7857142857142856,5.071428571428571,5.928571428571429,3.2142857142857144,42.92857142857143,20.571428571428573,3.0,2.0892857142857144,26.0,6.357142857142857,27.0,365.07142857142856,70.78571428571429
RCDEspanyol_5598,49.666666666666664,16.866666666666667,10.466666666666667,3.6666666666666665,4.933333333333334,5.733333333333333,3.3333333333333335,42.93333333333333,20.733333333333334,3.0,2.216666666666667,25.333333333333332,6.4,27.733333333333334,362.4,70.33333333333333
RCDEspanyol_5612,49.375,16.875,10.75,3.625,5.1875,5.5,3.25,41.625,20.1875,3.0,2.265625,26.3125,6.625,27.1875,364.75,70.9375
