,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Bordeaux_5378,44.0,18.0,3.0,2.0,1.0,1.0,3.0,37.0,13.0,,0.0,26.0,5.0,19.0,367.0,78.0
Bordeaux_5386,55.0,14.0,7.5,2.5,3.0,2.5,2.5,37.0,17.0,0.0,2.0,22.5,5.5,23.0,460.5,81.0
Bordeaux_5408,49.666666666666664,13.0,7.666666666666667,2.0,3.3333333333333335,3.0,1.6666666666666667,30.666666666666668,13.666666666666666,1.0,2.3333333333333335,26.0,7.0,18.666666666666668,430.3333333333333,81.0
Bordeaux_5422,49.25,12.25,8.5,2.25,4.5,2.75,2.0,32.75,14.5,1.0,1.75,25.25,7.5,18.25,405.0,79.75
Bordeaux_5437,47.8,12.8,9.2,2.6,4.6,3.6,1.8,34.2,14.6,3.0,2.0,28.6,9.0,18.0,380.2,78.4
Bordeaux_5447,49.333333333333336,13.166666666666666,9.833333333333334,2.3333333333333335,5.166666666666667,3.5,1.8333333333333333,34.166666666666664,14.833333333333334,3.2,2.3333333333333335,26.833333333333332,8.0,18.5,398.6666666666667,78.5
Bordeaux_5457,49.57142857142857,13.428571428571429,10.0,2.7142857142857144,5.285714285714286,3.5714285714285716,1.7142857142857142,33.42857142857143,14.571428571428571,2.6666666666666665,2.0,25.857142857142858,7.571428571428571,18.714285714285715,403.14285714285717,78.42857142857143
Bordeaux_5486,48.625,13.625,9.875,3.0,5.0,3.375,1.625,32.75,14.625,2.857142857142857,1.875,25.75,7.5,18.75,398.625,78.25
Bordeaux_5499,49.22222222222222,13.666666666666666,10.222222222222221,3.111111111111111,5.444444444444445,3.5555555555555554,1.6666666666666667,34.333333333333336,15.555555555555555,3.0,1.6666666666666667,24.666666666666668,7.444444444444445,18.77777777777778,399.8888888888889,78.55555555555556
Bordeaux_5513,48.8,14.2,9.6,2.9,5.2,3.3,1.8,35.8,16.3,3.111111111111111,1.5,25.4,7.5,19.2,399.8,78.5
Bordeaux_5527,49.90909090909091,13.909090909090908,10.545454545454545,3.1818181818181817,5.545454545454546,3.8181818181818183,1.9090909090909092,34.45454545454545,15.727272727272727,3.0,1.8181818181818181,24.636363636363637,7.181818181818182,19.272727272727273,409.90909090909093,79.27272727272727
Bordeaux_5541,51.25,14.0,10.916666666666666,3.3333333333333335,5.666666666666667,3.8333333333333335,2.0,34.166666666666664,15.5,2.727272727272727,1.9166666666666667,24.333333333333332,7.666666666666667,19.333333333333332,427.6666666666667,80.0
Bordeaux_5555,51.92307692307692,13.615384615384615,11.153846153846153,3.6153846153846154,5.538461538461538,4.153846153846154,2.1538461538461537,33.53846153846154,15.384615384615385,2.75,2.0,25.307692307692307,7.3076923076923075,19.692307692307693,430.53846153846155,80.23076923076923
Bordeaux_5584,52.357142857142854,14.214285714285714,10.928571428571429,3.642857142857143,5.357142857142857,4.571428571428571,2.2142857142857144,33.0,15.714285714285714,2.6923076923076925,1.9285714285714286,26.428571428571427,7.214285714285714,20.857142857142858,429.42857142857144,80.07142857142857
Bordeaux_5597,51.8,13.933333333333334,10.8,3.533333333333333,5.466666666666667,5.0,2.1333333333333333,32.46666666666667,15.133333333333333,2.642857142857143,2.066666666666667,25.466666666666665,6.866666666666666,21.2,432.1333333333333,79.86666666666666
Bordeaux_5611,51.25,14.1875,11.0,3.6875,5.4375,5.0,2.25,31.8125,14.75,2.6,2.1875,25.375,6.875,21.4375,425.125,79.5
