,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Caen_5381,53.0,8.0,13.0,2.0,8.0,0.0,0.0,47.0,25.0,2.0,3.0,20.0,8.0,31.0,471.0,77.0
Caen_5402,49.5,14.0,12.0,3.0,6.5,3.0,1.5,39.5,19.0,1.5,2.5,20.5,7.0,25.0,405.5,76.5
Caen_5415,53.333333333333336,11.333333333333334,12.0,3.0,6.666666666666667,3.6666666666666665,1.0,40.666666666666664,19.0,1.3333333333333333,2.3333333333333335,24.333333333333332,8.333333333333334,28.666666666666668,400.3333333333333,74.66666666666667
Caen_5436,50.5,12.75,12.25,3.0,6.75,3.75,1.25,43.5,20.5,3.0,2.5,31.75,8.25,25.75,382.5,73.5
Caen_5447,51.0,12.8,10.8,2.8,5.8,3.8,1.2,44.2,21.0,3.2,2.2,29.8,8.8,24.2,384.2,74.0
Caen_5456,48.333333333333336,13.5,10.5,2.6666666666666665,5.666666666666667,3.5,1.3333333333333333,40.166666666666664,19.166666666666668,4.166666666666667,2.1666666666666665,32.5,8.833333333333334,23.166666666666668,369.6666666666667,73.66666666666667
Caen_5485,47.42857142857143,13.428571428571429,9.714285714285714,2.5714285714285716,5.142857142857143,3.857142857142857,1.2857142857142858,40.42857142857143,18.571428571428573,4.0,2.0,32.0,9.142857142857142,23.857142857142858,366.85714285714283,73.71428571428571
Caen_5500,47.125,13.5,9.875,2.875,5.0,3.75,1.2857142857142858,38.5,18.125,4.0,2.0,29.25,8.625,24.25,362.625,73.375
Caen_5520,46.22222222222222,13.88888888888889,10.333333333333334,3.3333333333333335,4.888888888888889,3.888888888888889,1.3650793650793651,37.22222222222222,17.11111111111111,4.0,2.111111111111111,30.333333333333332,8.666666666666666,23.77777777777778,361.1111111111111,74.0
Caen_5533,45.8,13.2,10.8,4.0,4.7,4.1,1.3285714285714287,36.1,16.3,4.3,2.1,32.9,9.3,23.6,352.7,73.6
Caen_5548,44.72727272727273,12.818181818181818,10.636363636363637,3.909090909090909,4.636363636363637,4.0,1.2987012987012987,35.72727272727273,16.545454545454547,4.454545454545454,2.090909090909091,32.36363636363637,9.090909090909092,23.181818181818183,348.72727272727275,72.54545454545455
Caen_5570,45.5,12.416666666666666,10.666666666666666,3.8333333333333335,4.75,4.666666666666667,1.357142857142857,36.75,17.166666666666668,4.333333333333333,2.0833333333333335,32.333333333333336,9.333333333333334,23.25,356.75,73.08333333333333
Caen_5584,46.92307692307692,12.76923076923077,10.307692307692308,3.6923076923076925,4.615384615384615,4.538461538461538,1.3296703296703296,38.30769230769231,18.153846153846153,4.384615384615385,2.0,34.0,9.461538461538462,21.615384615384617,355.15384615384613,71.53846153846153
Caen_5597,46.857142857142854,12.5,10.5,3.7857142857142856,4.714285714285714,4.928571428571429,1.3061224489795917,39.285714285714285,19.357142857142858,4.071428571428571,2.2142857142857144,34.285714285714285,9.642857142857142,22.142857142857142,354.57142857142856,71.21428571428571
Caen_5611,46.2,12.066666666666666,10.4,3.8,4.666666666666667,4.866666666666666,1.2857142857142856,39.8,19.933333333333334,3.933333333333333,2.1333333333333333,33.666666666666664,9.533333333333333,22.133333333333333,351.3333333333333,71.13333333333334
