,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Guingamp_5380,51.0,21.0,11.0,6.0,3.0,4.0,4.0,32.0,17.0,,2.0,17.0,7.0,24.0,361.0,68.0
Guingamp_5401,39.5,19.0,8.5,5.0,2.0,2.5,3.0,28.5,13.5,9.0,1.5,18.5,4.0,18.5,290.0,68.0
Guingamp_5423,39.333333333333336,15.666666666666666,9.333333333333334,5.0,3.0,2.6666666666666665,2.3333333333333335,25.666666666666668,12.333333333333334,6.0,1.3333333333333333,25.0,3.6666666666666665,19.333333333333332,283.0,71.0
Guingamp_5444,41.5,13.75,10.0,5.0,3.5,3.25,2.0,24.75,11.75,4.333333333333333,1.5,30.0,4.5,20.25,304.25,70.75
Guingamp_5451,40.6,15.2,9.4,5.0,3.2,3.2,2.2,23.0,11.0,4.0,1.2,28.8,5.6,20.8,294.2,70.0
Guingamp_5464,41.166666666666664,14.666666666666666,9.5,4.666666666666667,3.8333333333333335,3.5,1.8333333333333333,24.166666666666668,11.833333333333334,4.0,1.0,28.666666666666668,5.666666666666667,22.166666666666668,295.5,69.66666666666667
Guingamp_5493,41.42857142857143,14.428571428571429,9.714285714285714,4.571428571428571,4.142857142857143,3.5714285714285716,1.7142857142857142,24.428571428571427,12.0,4.166666666666667,1.0,30.571428571428573,5.857142857142857,21.714285714285715,287.7142857142857,69.14285714285714
Guingamp_5507,41.25,14.0,9.625,4.625,4.0,3.625,2.0,24.5,11.5,3.857142857142857,1.0,29.625,5.875,21.25,288.875,69.25
Guingamp_5521,41.77777777777778,13.444444444444445,10.0,4.666666666666667,4.111111111111111,3.5555555555555554,1.8888888888888888,24.555555555555557,11.333333333333334,3.625,1.2222222222222223,29.555555555555557,5.777777777777778,22.444444444444443,290.8888888888889,68.22222222222223
Guingamp_5535,41.9,13.2,9.3,4.4,3.8,3.4,2.1,27.0,12.7,3.4444444444444446,1.2,29.0,5.7,22.4,292.3,67.3
Guingamp_5547,41.72727272727273,13.454545454545455,9.363636363636363,4.454545454545454,3.8181818181818183,3.4545454545454546,2.090909090909091,27.454545454545453,12.727272727272727,3.2,1.1818181818181819,29.545454545454547,6.0,22.818181818181817,289.45454545454544,66.81818181818181
Guingamp_5555,42.583333333333336,14.0,9.583333333333334,4.416666666666667,3.8333333333333335,3.75,2.0,28.083333333333332,13.083333333333334,3.3636363636363638,1.4166666666666667,29.333333333333332,6.0,22.75,298.25,67.41666666666667
Guingamp_5577,41.92307692307692,13.923076923076923,9.307692307692308,4.153846153846154,3.769230769230769,3.769230769230769,2.076923076923077,28.0,13.23076923076923,3.4166666666666665,1.4615384615384615,28.076923076923077,5.6923076923076925,23.153846153846153,296.46153846153845,67.46153846153847
Guingamp_5590,41.857142857142854,13.5,9.142857142857142,4.071428571428571,3.642857142857143,3.642857142857143,2.0714285714285716,30.214285714285715,14.5,3.1538461538461537,1.5,28.928571428571427,5.571428571428571,23.142857142857142,297.14285714285717,67.28571428571429
Guingamp_5603,40.86666666666667,13.466666666666667,8.933333333333334,3.933333333333333,3.6666666666666665,3.533333333333333,2.066666666666667,29.666666666666668,14.2,3.2142857142857144,1.5,29.4,5.733333333333333,22.6,297.3333333333333,67.93333333333334
Guingamp_5618,41.125,13.1875,9.0625,3.875,3.875,3.5625,2.0,29.875,14.1875,3.2666666666666666,1.46875,28.9375,6.0625,22.4375,303.875,68.5625
