,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lille_5377,45.0,16.0,6.0,3.0,3.0,2.0,1.0,42.0,26.0,2.0,0.0,15.0,4.0,30.0,355.0,73.0
Lille_5388,48.5,18.0,9.0,2.5,4.5,1.5,2.5,31.5,21.0,2.5,2.0,19.5,6.5,24.5,407.0,79.0
Lille_5409,48.0,14.0,8.333333333333334,2.6666666666666665,4.0,2.3333333333333335,2.3333333333333335,31.666666666666668,19.0,3.0,1.6666666666666667,20.333333333333332,8.0,26.666666666666668,396.3333333333333,79.0
Lille_5423,47.0,14.5,8.5,2.5,4.75,2.5,2.5,28.25,16.5,4.5,1.25,20.5,6.5,26.25,397.25,79.25
Lille_5444,47.0,13.8,8.2,2.2,4.8,2.4,2.2,29.0,16.2,3.8,1.2,20.8,6.4,26.2,397.0,79.0
Lille_5451,46.166666666666664,12.5,7.666666666666667,2.1666666666666665,4.333333333333333,2.3333333333333335,2.0,36.166666666666664,19.5,3.5,1.1666666666666667,23.5,6.833333333333333,26.5,384.3333333333333,75.83333333333333
Lille_5465,46.285714285714285,12.0,8.0,2.142857142857143,4.714285714285714,2.142857142857143,1.8571428571428572,34.714285714285715,18.714285714285715,3.142857142857143,1.1428571428571428,26.428571428571427,6.571428571428571,26.571428571428573,366.7142857142857,75.28571428571429
Lille_5492,46.5,12.125,8.625,2.375,5.125,2.75,1.75,35.875,19.875,3.375,1.125,25.25,7.0,26.5,369.0,74.875
Lille_5506,45.44444444444444,11.555555555555555,9.222222222222221,2.4444444444444446,5.444444444444445,2.5555555555555554,1.6666666666666667,35.22222222222222,19.444444444444443,3.6666666666666665,1.3333333333333333,24.333333333333332,6.666666666666667,26.555555555555557,364.55555555555554,74.0
Lille_5513,45.6,12.4,9.2,2.7,5.2,2.4,1.6,37.0,20.0,4.0,1.3,24.5,7.1,26.9,369.0,73.5
Lille_5527,46.27272727272727,12.545454545454545,9.272727272727273,2.727272727272727,5.090909090909091,2.909090909090909,1.5454545454545454,36.54545454545455,19.818181818181817,3.909090909090909,1.4545454545454546,24.272727272727273,8.636363636363637,28.0,375.8181818181818,73.45454545454545
Lille_5542,47.0,12.666666666666666,9.75,2.8333333333333335,5.166666666666667,3.3333333333333335,1.6666666666666667,36.416666666666664,19.5,3.75,1.75,23.083333333333332,8.583333333333334,26.833333333333332,385.1666666666667,74.0
Lille_5556,47.0,12.307692307692308,9.461538461538462,2.6923076923076925,5.076923076923077,3.3076923076923075,1.6153846153846154,35.53846153846154,19.076923076923077,3.769230769230769,1.6923076923076923,23.692307692307693,8.538461538461538,26.0,392.38461538461536,75.0
Lille_5577,48.57142857142857,12.285714285714286,9.428571428571429,2.5714285714285716,5.0,3.142857142857143,1.6428571428571428,34.857142857142854,18.571428571428573,3.7142857142857144,1.8571428571428572,22.857142857142858,8.642857142857142,26.214285714285715,401.85714285714283,75.78571428571429
Lille_5590,48.4,12.066666666666666,9.4,2.466666666666667,5.0,3.4,1.8,33.2,17.666666666666668,3.533333333333333,1.9333333333333333,23.2,9.6,25.4,406.6,76.66666666666667
Lille_5604,49.375,11.8125,9.875,2.75,5.125,3.6875,1.75,31.75,17.0,3.375,2.0,23.125,9.625,25.5,417.625,77.1875
Lille_5618,49.470588235294116,11.352941176470589,10.470588235294118,3.176470588235294,5.176470588235294,3.8823529411764706,1.75,30.764705882352942,16.41176470588235,3.3529411764705883,2.1176470588235294,23.235294117647058,9.882352941176471,24.764705882352942,421.70588235294116,77.76470588235294
