,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lorient_5377,47.0,12.0,13.0,2.0,6.0,7.0,1.0,15.0,8.0,5.0,5.0,15.0,10.0,20.0,534.0,90.0
Lorient_5387,43.0,13.5,13.5,4.0,6.0,5.0,1.5,26.0,10.5,4.0,3.5,16.5,10.5,21.0,423.5,82.0
Lorient_5408,45.666666666666664,14.0,11.666666666666666,3.3333333333333335,5.666666666666667,4.666666666666667,2.0,28.0,12.666666666666666,3.6666666666666665,2.6666666666666665,21.666666666666668,10.333333333333334,27.0,444.0,81.66666666666667
Lorient_5421,46.25,13.5,10.25,3.0,5.0,4.25,2.25,29.25,13.5,3.25,2.25,22.25,9.25,27.75,444.0,80.25
Lorient_5443,47.0,12.2,11.2,4.2,5.2,4.2,1.8,30.0,13.8,3.0,1.8,21.4,9.2,29.2,436.6,78.0
Lorient_5450,45.5,11.166666666666666,11.833333333333334,4.166666666666667,5.333333333333333,4.2,1.8,30.166666666666668,13.666666666666666,3.8333333333333335,2.3333333333333335,22.833333333333332,9.333333333333334,27.0,420.5,77.0
Lorient_5485,45.714285714285715,11.142857142857142,10.857142857142858,3.7142857142857144,5.0,3.742857142857143,1.542857142857143,29.285714285714285,12.714285714285714,4.142857142857143,2.142857142857143,23.857142857142858,9.285714285714286,26.142857142857142,427.14285714285717,76.85714285714286
Lorient_5499,47.125,10.75,11.625,3.875,5.375,3.525,1.475,30.5,13.25,4.0,2.375,23.625,9.625,27.0,439.75,77.0
Lorient_5513,47.111111111111114,11.11111111111111,11.666666666666666,3.888888888888889,5.333333333333333,3.8000000000000003,1.4222222222222223,30.444444444444443,13.333333333333334,3.888888888888889,2.4444444444444446,24.0,9.666666666666666,26.77777777777778,437.1111111111111,76.22222222222223
Lorient_5538,48.5,10.8,12.2,4.2,5.2,3.9200000000000004,1.58,29.2,13.1,3.6,2.8,24.0,10.3,27.5,443.2,76.4
Lorient_5542,48.27272727272727,11.272727272727273,11.545454545454545,4.0,4.818181818181818,3.9272727272727277,1.6181818181818182,30.90909090909091,13.454545454545455,3.4545454545454546,2.727272727272727,24.545454545454547,10.090909090909092,28.363636363636363,437.09090909090907,75.81818181818181
Lorient_5554,47.333333333333336,11.333333333333334,11.416666666666666,4.0,4.583333333333333,4.016666666666667,1.7333333333333334,29.5,12.75,3.75,2.8333333333333335,24.583333333333332,11.0,27.0,433.6666666666667,76.41666666666667
Lorient_5577,47.69230769230769,11.384615384615385,11.076923076923077,3.923076923076923,4.384615384615385,4.092307692307693,1.676923076923077,30.53846153846154,13.23076923076923,3.6153846153846154,2.769230769230769,24.307692307692307,11.076923076923077,28.0,430.15384615384613,76.0
Lorient_5589,46.785714285714285,11.714285714285714,11.071428571428571,4.071428571428571,4.357142857142857,3.8714285714285714,1.842857142857143,30.214285714285715,12.857142857142858,3.5,2.642857142857143,24.714285714285715,11.285714285714286,27.857142857142858,419.2142857142857,75.42857142857143
Lorient_5604,46.733333333333334,11.4,11.533333333333333,4.533333333333333,4.333333333333333,4.346666666666667,1.7866666666666666,29.333333333333332,12.533333333333333,3.7333333333333334,2.6666666666666665,25.333333333333332,11.133333333333333,27.666666666666668,418.6666666666667,75.86666666666666
Lorient_5611,46.75,11.125,11.0,4.3125,4.1875,4.2625,1.7375,29.0,12.5,3.8125,2.5,24.75,10.9375,27.5,418.875,76.25
