,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lyon_5381,58.0,9.0,10.0,5.0,3.0,3.0,1.0,25.0,11.0,3.0,2.0,14.0,14.0,18.0,561.0,86.0
Lyon_5415,57.5,14.0,13.0,6.5,4.0,4.0,1.5,24.5,10.5,2.5,2.5,18.0,13.5,20.5,559.0,86.5
Lyon_5436,58.0,15.0,11.0,4.666666666666667,4.333333333333333,4.666666666666667,1.3333333333333333,30.333333333333332,14.666666666666666,2.3333333333333335,2.0,21.666666666666668,12.666666666666666,20.666666666666668,520.0,83.0
Lyon_5444,58.0,14.5,11.25,4.25,4.75,5.0,1.0,31.0,14.0,2.25,2.25,22.75,13.0,22.5,510.25,82.0
Lyon_5451,59.0,16.0,13.0,5.0,5.0,5.2,1.4,29.8,14.2,1.8,3.0,21.8,13.4,22.6,512.4,82.6
Lyon_5465,57.833333333333336,15.333333333333334,13.833333333333334,5.666666666666667,5.333333333333333,4.666666666666667,1.3333333333333333,28.166666666666668,12.833333333333334,2.1666666666666665,2.8333333333333335,21.833333333333332,12.333333333333334,21.666666666666668,502.3333333333333,82.66666666666667
Lyon_5492,57.42857142857143,14.857142857142858,13.0,5.428571428571429,5.0,4.142857142857143,1.3333333333333335,28.714285714285715,13.428571428571429,2.4285714285714284,2.5714285714285716,23.428571428571427,12.714285714285714,22.428571428571427,496.42857142857144,81.28571428571429
Lyon_5507,56.75,14.75,12.125,5.125,4.625,3.875,1.2916666666666667,28.25,13.125,2.25,2.375,25.0,12.875,22.875,498.625,81.125
Lyon_5521,56.666666666666664,14.777777777777779,11.777777777777779,5.222222222222222,4.333333333333333,4.0,1.4814814814814816,28.333333333333332,13.444444444444445,2.2222222222222223,2.2222222222222223,26.666666666666668,13.0,22.444444444444443,503.77777777777777,81.66666666666667
Lyon_5534,57.3,15.6,11.6,5.1,4.4,4.1,1.5333333333333334,28.3,13.7,2.1,2.1,27.0,12.5,22.3,507.7,81.7
Lyon_5542,57.54545454545455,16.181818181818183,11.909090909090908,5.363636363636363,4.636363636363637,3.8181818181818183,1.8484848484848486,28.545454545454547,14.0,2.1818181818181817,1.9090909090909092,29.727272727272727,12.272727272727273,22.181818181818183,512.3636363636364,81.72727272727273
Lyon_5549,56.833333333333336,16.416666666666668,11.833333333333334,5.333333333333333,4.583333333333333,4.083333333333333,1.9444444444444446,29.916666666666668,14.166666666666666,2.5833333333333335,1.9166666666666667,30.25,11.583333333333334,22.583333333333332,492.5,80.66666666666667
Lyon_5569,58.23076923076923,16.76923076923077,11.692307692307692,5.384615384615385,4.461538461538462,4.0,1.948717948717949,28.615384615384617,13.76923076923077,2.3846153846153846,1.8461538461538463,29.23076923076923,11.076923076923077,21.923076923076923,510.7692307692308,81.3076923076923
Lyon_5591,57.714285714285715,16.571428571428573,11.857142857142858,5.714285714285714,4.428571428571429,4.0,2.023809523809524,27.714285714285715,13.428571428571429,2.5,1.7142857142857142,28.642857142857142,10.785714285714286,21.928571428571427,504.85714285714283,81.28571428571429
Lyon_5604,58.4,16.333333333333332,11.933333333333334,5.866666666666666,4.333333333333333,4.133333333333334,1.9555555555555557,27.333333333333332,13.133333333333333,2.7333333333333334,1.7333333333333334,28.666666666666668,10.6,21.933333333333334,508.6666666666667,81.53333333333333
Lyon_5618,58.3125,15.75,11.75,5.625,4.4375,3.9375,1.9555555555555557,26.8125,12.8125,2.6875,1.6875,28.125,10.75,21.4375,514.75,81.9375
