,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Nantes_5377,57.0,17.0,14.0,2.0,8.0,6.0,2.0,41.0,21.0,0.0,4.0,24.0,9.0,21.0,394.0,79.0
Nantes_5388,48.5,16.5,13.0,2.5,7.0,5.5,2.5,44.0,21.5,2.0,3.5,19.5,12.5,19.5,359.5,75.0
Nantes_5408,47.0,16.333333333333332,13.333333333333334,4.0,7.0,5.0,2.3333333333333335,49.333333333333336,24.666666666666668,1.3333333333333333,2.3333333333333335,19.666666666666668,11.333333333333334,24.0,361.6666666666667,74.0
Nantes_5422,46.0,15.25,11.75,3.75,5.75,4.0,2.5,51.25,24.0,2.0,2.25,22.0,11.75,25.25,361.25,72.25
Nantes_5442,45.4,14.4,12.0,3.8,5.8,4.6,2.4,48.2,22.4,2.0,2.4,24.8,12.6,26.0,347.6,72.2
Nantes_5450,43.333333333333336,14.666666666666666,10.5,3.5,5.0,4.166666666666667,2.3333333333333335,45.333333333333336,20.333333333333332,2.0,2.0,29.333333333333332,11.5,25.166666666666668,334.1666666666667,72.0
Nantes_5464,43.57142857142857,14.142857142857142,11.0,4.0,4.857142857142857,4.142857142857143,2.333333333333333,44.42857142857143,20.142857142857142,3.0,2.142857142857143,29.142857142857142,12.428571428571429,25.142857142857142,341.0,72.71428571428571
Nantes_5492,43.75,14.625,11.25,3.75,5.125,4.25,2.1666666666666665,43.625,19.875,3.0,2.375,30.75,12.375,26.25,342.75,72.125
Nantes_5499,45.333333333333336,14.88888888888889,11.555555555555555,4.0,5.111111111111111,4.0,2.148148148148148,43.888888888888886,21.0,2.888888888888889,2.4444444444444446,32.333333333333336,12.555555555555555,25.88888888888889,363.8888888888889,73.33333333333333
Nantes_5514,45.6,15.1,11.2,3.8,5.1,3.7,2.1333333333333333,44.0,21.0,3.3,2.3,32.1,13.0,27.0,364.2,72.9
Nantes_5528,44.72727272727273,15.727272727272727,10.636363636363637,3.4545454545454546,4.909090909090909,3.727272727272727,2.393939393939394,43.36363636363637,20.727272727272727,3.1818181818181817,2.272727272727273,31.90909090909091,12.181818181818182,26.363636363636363,351.8181818181818,71.81818181818181
Nantes_5541,44.833333333333336,15.666666666666666,10.333333333333334,3.5,4.75,3.75,2.361111111111111,42.75,20.25,3.4166666666666665,2.0833333333333335,31.416666666666668,11.833333333333334,25.916666666666668,352.25,72.08333333333333
Nantes_5555,44.53846153846154,15.384615384615385,10.23076923076923,3.230769230769231,4.846153846153846,3.6153846153846154,2.333333333333333,43.15384615384615,20.46153846153846,3.3076923076923075,2.1538461538461537,31.153846153846153,11.538461538461538,25.846153846153847,352.38461538461536,71.76923076923077
Nantes_5577,45.57142857142857,15.428571428571429,10.142857142857142,3.142857142857143,4.785714285714286,3.857142857142857,2.3095238095238093,43.142857142857146,20.285714285714285,3.142857142857143,2.2142857142857144,30.714285714285715,11.428571428571429,25.785714285714285,359.85714285714283,72.35714285714286
Nantes_5590,46.13333333333333,15.466666666666667,10.266666666666667,3.1333333333333333,5.0,4.0,2.2888888888888888,43.06666666666667,20.266666666666666,3.066666666666667,2.1333333333333333,30.466666666666665,11.4,27.266666666666666,363.6666666666667,72.6
Nantes_5604,46.0,15.375,10.0625,3.1875,4.875,3.8125,2.270833333333333,42.875,20.4375,3.1875,2.1333333333333333,30.25,11.5,27.75,361.625,72.375
Nantes_5618,47.294117647058826,15.352941176470589,10.411764705882353,3.2941176470588234,5.117647058823529,3.764705882352941,2.2549019607843133,42.411764705882355,20.41176470588235,3.176470588235294,2.1254901960784314,29.88235294117647,11.941176470588236,27.647058823529413,375.8235294117647,73.23529411764706
