,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Bordeaux_5381,46.0,8.0,14.0,4.0,5.0,3.0,1.0,15.0,5.0,5.0,5.0,20.0,8.0,24.0,406.0,83.0
Bordeaux_5402,50.0,10.0,13.0,2.5,6.0,4.0,1.5,23.5,12.0,4.0,4.5,19.0,6.5,24.5,403.5,79.5
Bordeaux_5416,48.666666666666664,10.333333333333334,13.0,2.6666666666666665,6.333333333333333,4.0,1.0,31.666666666666668,16.333333333333332,3.0,4.0,19.0,5.666666666666667,22.0,397.3333333333333,77.33333333333333
Bordeaux_5444,49.75,9.75,13.0,2.5,6.75,4.25,0.75,31.75,16.5,2.5,3.75,22.0,5.25,21.75,406.0,78.5
Bordeaux_5450,52.2,9.4,15.0,4.2,7.0,4.25,0.75,31.6,16.8,2.4,3.8,24.4,6.8,21.8,432.2,79.6
Bordeaux_5465,51.5,9.666666666666666,14.333333333333334,4.166666666666667,6.5,4.041666666666667,0.7916666666666666,29.666666666666668,16.333333333333332,2.6666666666666665,3.6666666666666665,26.333333333333332,7.0,21.666666666666668,425.0,79.33333333333333
Bordeaux_5491,51.42857142857143,11.0,13.428571428571429,4.0,5.857142857142857,3.607142857142857,0.9642857142857143,29.285714285714285,15.857142857142858,2.2857142857142856,3.5714285714285716,25.0,6.285714285714286,22.857142857142858,418.0,78.57142857142857
Bordeaux_5507,52.5,10.625,13.5,3.875,6.25,4.03125,1.09375,28.75,16.0,2.5,3.375,24.625,6.5,22.125,434.125,79.5
Bordeaux_5521,52.111111111111114,10.88888888888889,13.444444444444445,3.888888888888889,6.222222222222222,4.138888888888889,0.9722222222222222,28.444444444444443,15.222222222222221,2.6666666666666665,3.3333333333333335,24.88888888888889,6.444444444444445,22.555555555555557,427.77777777777777,79.55555555555556
Bordeaux_5534,53.1,10.7,13.5,4.1,5.9,4.325,0.975,27.6,14.6,2.6,3.5,26.0,7.3,23.8,450.3,80.4
Bordeaux_5549,53.0,11.363636363636363,14.272727272727273,4.2727272727272725,6.454545454545454,4.4772727272727275,1.0681818181818181,29.181818181818183,15.0,2.6363636363636362,3.5454545454545454,26.363636363636363,7.2727272727272725,23.636363636363637,442.09090909090907,80.36363636363636
Bordeaux_5570,53.166666666666664,11.25,14.5,4.583333333333333,6.416666666666667,4.354166666666667,1.0625,30.583333333333332,15.916666666666666,2.5,3.5,26.083333333333332,7.083333333333333,24.083333333333332,441.3333333333333,80.08333333333333
Bordeaux_5577,52.30769230769231,11.692307692307692,14.23076923076923,4.3076923076923075,6.153846153846154,4.403846153846154,1.1346153846153846,30.0,15.538461538461538,2.5,3.769230769230769,26.53846153846154,6.846153846153846,23.615384615384617,427.7692307692308,79.23076923076923
Bordeaux_5590,53.285714285714285,11.5,14.5,4.285714285714286,6.428571428571429,5.017857142857143,1.125,31.214285714285715,16.285714285714285,2.4642857142857144,3.7857142857142856,26.714285714285715,6.714285714285714,24.214285714285715,430.7142857142857,79.35714285714286
Bordeaux_5604,53.46666666666667,11.2,14.466666666666667,4.466666666666667,6.466666666666667,5.083333333333333,1.25,31.8,16.333333333333332,2.5,3.7857142857142856,27.0,6.6,25.6,430.0,79.13333333333334
Bordeaux_5618,53.5625,11.3125,14.9375,4.75,6.6875,5.203125,1.171875,31.6875,16.3125,2.34375,3.736607142857143,27.375,6.375,24.875,439.1875,79.625
