,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Lyon_5377,53.0,7.0,14.0,9.0,2.0,5.0,0.0,15.0,7.0,2.0,3.0,23.0,9.0,19.0,619.0,89.0
Lyon_5388,50.5,14.0,14.0,7.5,3.0,4.0,0.5,18.0,6.0,2.0,3.5,22.5,10.5,21.5,523.0,84.5
Lyon_5402,51.666666666666664,15.333333333333334,16.0,8.666666666666666,4.0,5.0,2.3333333333333335,21.333333333333332,9.333333333333334,1.6666666666666667,3.3333333333333335,23.666666666666668,10.333333333333334,20.0,492.6666666666667,83.66666666666667
Lyon_5409,50.75,17.75,14.5,7.75,4.0,4.5,2.0,25.25,11.0,2.25,2.75,27.0,9.75,19.5,448.5,81.25
Lyon_5423,52.8,18.4,14.2,7.4,4.2,5.2,1.8,24.2,10.8,2.8,2.6,26.8,9.4,19.2,476.8,82.6
Lyon_5448,53.333333333333336,18.666666666666668,14.666666666666666,7.0,4.333333333333333,5.166666666666667,1.6666666666666667,23.333333333333332,11.166666666666666,3.0,3.3333333333333335,24.666666666666668,9.666666666666666,19.166666666666668,476.3333333333333,82.33333333333333
Lyon_5456,55.0,17.285714285714285,15.857142857142858,7.714285714285714,4.857142857142857,5.428571428571429,1.5714285714285714,22.857142857142858,11.0,2.857142857142857,3.2857142857142856,25.142857142857142,11.0,19.142857142857142,503.57142857142856,83.57142857142857
Lyon_5486,56.125,16.875,14.875,7.375,4.5,5.0,1.5,23.0,10.625,2.75,3.0,25.625,11.0,20.875,522.5,83.5
Lyon_5500,57.55555555555556,16.0,15.555555555555555,7.222222222222222,5.111111111111111,5.111111111111111,1.5555555555555556,23.0,10.444444444444445,2.6666666666666665,3.2222222222222223,25.22222222222222,11.333333333333334,21.666666666666668,531.2222222222222,84.11111111111111
Lyon_5514,55.7,15.9,14.7,6.7,4.8,4.9,1.7,23.0,10.3,2.9,3.2,25.2,11.1,21.7,512.7,83.3
Lyon_5528,56.45454545454545,15.727272727272727,14.727272727272727,6.363636363636363,5.090909090909091,4.909090909090909,1.7272727272727273,24.272727272727273,11.090909090909092,2.6363636363636362,3.272727272727273,24.545454545454547,10.909090909090908,22.545454545454547,521.0,83.54545454545455
Lyon_5555,56.916666666666664,15.583333333333334,15.25,6.5,5.25,4.833333333333333,1.9166666666666667,24.416666666666668,11.833333333333334,2.5833333333333335,3.5,24.25,11.25,22.666666666666668,523.0,83.75
Lyon_5580,57.38461538461539,15.461538461538462,15.23076923076923,6.538461538461538,5.3076923076923075,5.153846153846154,1.9230769230769231,24.076923076923077,12.0,2.6153846153846154,3.3846153846153846,24.307692307692307,11.692307692307692,22.76923076923077,522.0769230769231,83.92307692307692
Lyon_5584,57.07142857142857,15.142857142857142,15.642857142857142,6.5,5.642857142857143,5.285714285714286,1.9285714285714286,25.571428571428573,12.785714285714286,2.7142857142857144,3.5,23.785714285714285,11.785714285714286,23.142857142857142,512.6428571428571,83.78571428571429
Lyon_5597,56.666666666666664,14.8,15.4,6.333333333333333,5.733333333333333,5.266666666666667,1.8666666666666667,25.266666666666666,12.666666666666666,2.7333333333333334,3.466666666666667,24.266666666666666,11.866666666666667,23.4,505.73333333333335,83.66666666666667
Lyon_5611,56.6875,14.8125,15.0625,6.125,5.625,5.25,1.875,25.0625,12.6875,2.875,3.375,24.0625,11.5625,23.75,503.8125,83.625
