,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Marseille_5381,59.0,8.0,14.0,8.0,3.0,6.0,1.0,28.0,21.0,4.0,3.0,21.0,13.0,14.0,514.0,88.0
Marseille_5402,56.0,12.5,14.5,6.5,6.0,7.5,1.5,31.5,21.0,2.5,2.0,31.0,14.5,22.0,444.5,85.5
Marseille_5416,56.0,12.333333333333334,14.333333333333334,6.0,6.333333333333333,8.0,2.3333333333333335,31.333333333333332,19.0,2.6666666666666665,2.0,32.333333333333336,14.333333333333334,22.0,420.3333333333333,85.0
Marseille_5437,56.5,12.0,17.25,7.5,7.75,7.0,1.75,33.25,20.0,2.75,2.0,33.0,16.25,21.0,417.0,85.25
Marseille_5442,56.6,11.6,16.8,6.8,7.8,6.6,1.6,34.0,20.0,3.0,2.2,36.2,16.6,22.4,436.8,85.6
Marseille_5451,56.666666666666664,11.166666666666666,16.666666666666668,6.833333333333333,7.5,6.166666666666667,1.3333333333333333,34.5,19.333333333333332,3.1666666666666665,2.3333333333333335,33.5,17.833333333333332,24.166666666666668,445.3333333333333,85.33333333333333
Marseille_5465,56.142857142857146,11.857142857142858,16.142857142857142,6.142857142857143,7.714285714285714,6.714285714285714,1.2857142857142858,33.285714285714285,18.285714285714285,2.857142857142857,2.2857142857142856,32.285714285714285,17.428571428571427,23.714285714285715,440.7142857142857,85.28571428571429
Marseille_5493,56.25,12.375,16.125,6.25,7.375,6.5,1.375,32.375,17.625,2.875,2.5,31.125,17.625,24.0,438.375,85.625
Marseille_5506,56.77777777777778,12.222222222222221,16.333333333333332,5.666666666666667,7.666666666666667,6.111111111111111,1.2222222222222223,31.22222222222222,16.88888888888889,2.6666666666666665,3.0,29.0,17.22222222222222,24.22222222222222,450.0,85.77777777777777
Marseille_5519,57.4,11.7,16.8,5.6,8.3,6.9,1.2,31.2,17.1,2.7,2.9,28.1,16.7,24.5,450.3,86.0
Marseille_5533,57.45454545454545,11.727272727272727,17.181818181818183,5.909090909090909,8.272727272727273,6.636363636363637,1.1818181818181819,30.727272727272727,17.09090909090909,3.090909090909091,3.0,29.272727272727273,16.90909090909091,25.727272727272727,455.27272727272725,85.9090909090909
Marseille_5549,56.916666666666664,12.0,17.166666666666668,5.916666666666667,8.25,6.5,1.4166666666666667,31.916666666666668,18.083333333333332,3.4166666666666665,3.0,29.333333333333332,16.416666666666668,25.333333333333332,446.25,85.16666666666667
Marseille_5570,56.30769230769231,12.23076923076923,17.153846153846153,5.769230769230769,8.384615384615385,6.230769230769231,1.6153846153846154,31.153846153846153,17.46153846153846,3.4615384615384617,3.0,29.923076923076923,16.076923076923077,24.692307692307693,440.15384615384613,84.92307692307692
Marseille_5589,56.92857142857143,12.214285714285714,16.785714285714285,5.714285714285714,8.285714285714286,6.142857142857143,1.5714285714285714,30.785714285714285,17.5,3.2857142857142856,2.7857142857142856,30.357142857142858,15.357142857142858,24.928571428571427,448.2857142857143,85.0
Marseille_5605,56.733333333333334,12.466666666666667,16.6,5.733333333333333,8.133333333333333,5.866666666666666,1.6666666666666667,31.2,17.333333333333332,3.2666666666666666,2.7333333333333334,30.8,15.666666666666666,24.733333333333334,445.4,84.66666666666667
Marseille_5618,56.9375,12.0625,16.5625,5.625,8.125,5.8125,1.625,30.375,17.0,3.125,2.75,30.3125,15.8125,24.5625,452.0625,85.0625
