,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BorussiaDortmund_5401,63.0,14.0,16.0,3.0,5.0,6.0,3.0,41.0,21.0,0.0,8.0,27.0,16.0,33.0,605.0,81.0
BorussiaDortmund_5415,50.0,9.5,13.0,3.5,5.5,4.0,2.5,43.0,21.5,6.0,4.0,38.0,13.5,25.5,486.0,75.0
BorussiaDortmund_5436,54.0,9.0,13.0,4.0,5.666666666666667,4.666666666666667,2.0,39.333333333333336,21.0,4.666666666666667,3.3333333333333335,36.0,11.0,24.333333333333332,534.3333333333334,76.33333333333333
BorussiaDortmund_5444,54.0,12.25,14.0,4.5,6.25,5.5,2.0,50.75,26.25,3.75,3.25,34.5,11.0,23.75,525.25,75.25
BorussiaDortmund_5457,56.8,11.6,14.8,4.6,6.4,6.2,1.8,48.8,25.2,3.4,3.8,35.2,11.6,24.8,557.8,77.0
BorussiaDortmund_5464,58.333333333333336,11.166666666666666,14.666666666666666,4.666666666666667,6.0,6.0,1.8,46.5,23.833333333333332,3.0,4.0,35.0,11.5,26.833333333333332,571.5,78.0
BorussiaDortmund_5506,56.57142857142857,12.0,14.0,4.285714285714286,6.142857142857143,5.571428571428571,1.8285714285714287,54.57142857142857,29.142857142857142,3.0,3.5714285714285716,38.0,11.285714285714286,28.428571428571427,535.1428571428571,73.14285714285714
BorussiaDortmund_5513,55.125,12.0,15.0,5.25,6.5,5.5,1.85,54.875,29.625,2.75,3.25,40.25,10.75,27.5,517.0,72.25
BorussiaDortmund_5526,55.0,12.0,14.777777777777779,5.666666666666667,6.111111111111111,5.444444444444445,1.8666666666666667,55.22222222222222,30.11111111111111,2.4444444444444446,3.0,39.55555555555556,10.666666666666666,27.444444444444443,521.7777777777778,72.88888888888889
BorussiaDortmund_5541,56.2,12.0,14.5,5.3,6.3,5.6,1.8800000000000001,56.1,30.6,2.4,2.9,38.6,10.6,28.5,524.0,73.0
BorussiaDortmund_5555,55.36363636363637,12.818181818181818,14.363636363636363,5.363636363636363,6.0,5.090909090909091,1.8,55.54545454545455,29.636363636363637,2.4545454545454546,3.0,37.09090909090909,10.181818181818182,27.818181818181817,516.1818181818181,73.18181818181819
BorussiaDortmund_5576,54.916666666666664,12.25,14.583333333333334,5.166666666666667,6.0,5.0,1.6500000000000001,54.166666666666664,28.833333333333332,2.5833333333333335,3.4166666666666665,36.333333333333336,10.416666666666666,27.0,525.5833333333334,74.16666666666667
BorussiaDortmund_5597,54.92307692307692,12.76923076923077,13.846153846153847,4.923076923076923,5.769230769230769,5.0,1.7538461538461538,53.23076923076923,28.23076923076923,2.6153846153846154,3.3076923076923075,35.61538461538461,10.153846153846153,27.076923076923077,513.0,73.76923076923077
BorussiaDortmund_5611,54.714285714285715,12.642857142857142,14.071428571428571,4.785714285714286,5.785714285714286,5.0,1.7714285714285716,52.07142857142857,27.0,2.857142857142857,3.642857142857143,34.785714285714285,10.142857142857142,26.285714285714285,512.5,74.14285714285714
