,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Hannover96_5387,31.0,11.0,6.0,3.0,3.0,1.0,,31.0,15.0,5.0,0.0,20.0,6.0,21.0,323.0,72.0
Hannover96_5408,38.0,14.5,6.5,3.0,3.5,1.0,6.0,53.5,27.0,4.5,0.0,27.5,5.5,22.5,351.0,69.5
Hannover96_5421,44.0,17.0,8.0,3.6666666666666665,4.0,3.0,4.0,62.666666666666664,36.0,3.3333333333333335,0.3333333333333333,28.0,6.666666666666667,22.333333333333332,362.3333333333333,68.0
Hannover96_5443,47.75,19.75,9.25,4.0,4.75,3.0,4.0,67.75,37.75,3.25,0.5,31.5,8.25,24.0,399.5,70.0
Hannover96_5457,48.8,20.8,9.8,4.6,4.6,4.4,3.75,68.0,37.8,3.4,0.6,29.6,9.6,25.2,406.4,70.6
Hannover96_5465,50.166666666666664,19.666666666666668,11.0,5.166666666666667,5.0,4.5,3.6,65.16666666666667,37.666666666666664,3.5,0.8333333333333334,29.333333333333332,10.333333333333334,25.5,425.1666666666667,71.33333333333333
Hannover96_5506,51.57142857142857,19.0,11.285714285714286,4.571428571428571,5.285714285714286,4.857142857142857,3.5,62.285714285714285,35.0,3.5714285714285716,1.4285714285714286,28.714285714285715,11.714285714285714,25.857142857142858,444.57142857142856,73.28571428571429
Hannover96_5513,53.375,18.0,12.5,4.875,5.5,5.5,3.0,61.5,34.875,3.375,2.125,27.25,12.375,26.0,469.875,74.375
Hannover96_5527,54.0,18.22222222222222,11.88888888888889,4.888888888888889,5.111111111111111,5.444444444444445,3.25,63.111111111111114,35.111111111111114,3.6666666666666665,1.8888888888888888,26.555555555555557,13.0,25.0,476.22222222222223,74.88888888888889
Hannover96_5549,52.4,17.9,11.4,4.5,5.1,5.4,2.888888888888889,60.6,33.7,3.9,1.8,27.5,12.3,23.8,470.9,75.4
Hannover96_5569,53.36363636363637,18.454545454545453,11.727272727272727,4.636363636363637,4.909090909090909,5.7272727272727275,2.9,61.63636363636363,34.90909090909091,4.0,2.1818181818181817,26.0,11.818181818181818,24.363636363636363,473.8181818181818,75.72727272727273
Hannover96_5583,52.916666666666664,18.833333333333332,11.166666666666666,4.333333333333333,4.666666666666667,5.25,2.909090909090909,62.583333333333336,34.666666666666664,4.166666666666667,2.0833333333333335,26.333333333333332,11.166666666666666,24.333333333333332,462.5,74.83333333333333
Hannover96_5597,53.46153846153846,18.46153846153846,10.76923076923077,4.384615384615385,4.384615384615385,5.230769230769231,2.75,62.61538461538461,34.0,4.0,2.3076923076923075,26.76923076923077,11.384615384615385,24.307692307692307,452.2307692307692,74.38461538461539
Hannover96_5611,52.42857142857143,18.428571428571427,10.571428571428571,4.285714285714286,4.285714285714286,5.142857142857143,3.0,62.57142857142857,34.142857142857146,3.7857142857142856,2.2857142857142856,26.214285714285715,11.142857142857142,23.214285714285715,438.85714285714283,73.42857142857143
