,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Schalke_5387,60.0,16.0,13.0,3.0,8.0,3.0,4.0,39.0,22.0,6.0,2.0,15.0,22.0,27.0,565.0,82.0
Schalke_5408,53.0,16.5,8.5,2.0,4.5,3.0,4.0,50.5,25.5,6.0,2.0,25.0,17.0,25.0,471.0,72.5
Schalke_5422,55.0,15.333333333333334,9.333333333333334,2.6666666666666665,5.0,2.3333333333333335,3.6666666666666665,44.666666666666664,23.0,6.333333333333333,1.6666666666666667,24.666666666666668,13.666666666666666,23.333333333333332,541.3333333333334,76.66666666666667
Schalke_5450,54.0,14.75,10.25,3.5,4.75,3.25,3.6666666666666665,43.5,23.25,5.5,2.0,26.25,12.5,21.0,527.0,77.75
Schalke_5461,53.2,16.2,11.4,4.4,4.4,4.0,3.5333333333333328,50.6,25.8,5.2,2.6,27.0,12.8,21.4,501.4,76.4
Schalke_5509,51.166666666666664,16.666666666666668,10.833333333333334,4.5,4.0,3.5,3.2777777777777772,48.0,24.333333333333332,4.5,2.3333333333333335,29.166666666666668,11.666666666666666,20.0,485.5,77.0
Schalke_5520,50.42857142857143,16.0,10.428571428571429,4.714285714285714,3.5714285714285716,4.0,2.952380952380952,47.857142857142854,24.714285714285715,4.0,2.142857142857143,30.285714285714285,11.142857142857142,20.0,471.57142857142856,76.57142857142857
Schalke_5534,48.875,15.625,9.5,4.125,3.375,4.125,2.833333333333333,48.75,24.875,4.75,2.0,29.375,10.375,20.625,451.375,75.5
Schalke_5548,50.888888888888886,15.666666666666666,9.777777777777779,4.333333333333333,3.4444444444444446,4.222222222222222,2.7407407407407405,48.77777777777778,25.77777777777778,4.666666666666667,2.0,28.666666666666668,11.11111111111111,21.11111111111111,473.3333333333333,76.33333333333333
Schalke_5570,51.4,16.4,10.6,4.2,4.2,4.2,2.7666666666666666,49.7,26.7,4.5,2.2,28.7,11.9,21.0,465.2,75.9
Schalke_5584,51.0,16.636363636363637,10.272727272727273,4.0,4.090909090909091,3.909090909090909,2.696969696969697,50.0,27.181818181818183,4.818181818181818,2.1818181818181817,28.727272727272727,11.454545454545455,20.181818181818183,459.27272727272725,75.81818181818181
Schalke_5589,51.583333333333336,16.0,10.916666666666666,3.8333333333333335,4.75,4.083333333333333,2.638888888888889,50.916666666666664,28.083333333333332,4.5,2.3333333333333335,29.416666666666668,12.75,20.333333333333332,470.75,76.41666666666667
Schalke_5605,52.30769230769231,16.0,10.461538461538462,3.6153846153846154,4.538461538461538,4.230769230769231,2.5897435897435894,51.23076923076923,28.23076923076923,4.461538461538462,2.3076923076923075,29.46153846153846,12.384615384615385,20.23076923076923,479.15384615384613,76.84615384615384
Schalke_5618,51.92857142857143,16.142857142857142,10.5,3.642857142857143,4.5,4.357142857142857,2.5476190476190474,52.0,27.928571428571427,4.285714285714286,2.357142857142857,29.5,12.5,20.428571428571427,471.07142857142856,76.35714285714286
