,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BorussiaDortmund_5387,64.0,10.0,17.0,3.0,7.0,8.0,2.0,73.0,34.0,4.0,7.0,18.0,9.0,41.0,486.0,71.0
BorussiaDortmund_5408,59.5,11.5,17.0,3.5,9.0,10.5,2.5,74.5,35.5,3.0,4.5,21.5,9.5,35.5,452.5,70.5
BorussiaDortmund_5423,56.333333333333336,10.0,18.666666666666668,4.333333333333333,8.333333333333334,9.333333333333334,2.6666666666666665,63.666666666666664,30.666666666666668,2.0,6.0,24.333333333333332,12.333333333333334,33.333333333333336,492.0,74.0
BorussiaDortmund_5449,55.5,12.5,18.75,4.75,7.75,9.0,2.5,67.75,35.75,1.75,6.25,27.75,13.75,31.5,496.75,73.25
BorussiaDortmund_5461,52.0,12.4,18.4,5.0,7.8,8.0,2.2,64.2,34.0,1.8,5.6,29.8,13.4,29.6,468.2,72.8
BorussiaDortmund_5510,52.166666666666664,12.333333333333334,17.833333333333332,5.166666666666667,7.666666666666667,7.333333333333333,1.8333333333333333,63.833333333333336,32.166666666666664,1.8333333333333333,5.0,30.833333333333332,14.0,31.166666666666668,472.5,72.66666666666667
BorussiaDortmund_5519,52.42857142857143,12.714285714285714,18.285714285714285,5.857142857142857,8.0,7.285714285714286,1.5714285714285714,63.285714285714285,32.0,1.7142857142857142,4.428571428571429,31.142857142857142,13.142857142857142,29.714285714285715,478.85714285714283,73.42857142857143
BorussiaDortmund_5534,53.625,12.75,19.875,6.75,8.375,7.5,1.625,62.25,31.625,1.5,4.75,30.625,12.375,28.375,489.625,74.5
BorussiaDortmund_5548,55.22222222222222,12.88888888888889,18.77777777777778,6.555555555555555,7.888888888888889,7.222222222222222,1.6666666666666667,63.111111111111114,31.88888888888889,1.5555555555555556,4.333333333333333,29.88888888888889,11.777777777777779,28.22222222222222,515.1111111111111,75.22222222222223
BorussiaDortmund_5569,54.7,13.2,18.4,6.1,7.8,6.7,1.7,65.6,32.9,1.5,4.5,31.9,12.3,28.8,517.9,75.0
BorussiaDortmund_5583,54.27272727272727,13.272727272727273,18.636363636363637,6.2727272727272725,7.818181818181818,6.545454545454546,1.6363636363636365,64.63636363636364,32.27272727272727,1.3636363636363635,4.545454545454546,33.18181818181818,12.363636363636363,29.0,516.7272727272727,75.27272727272727
BorussiaDortmund_5590,53.25,13.833333333333334,18.083333333333332,6.083333333333333,7.666666666666667,6.166666666666667,1.75,62.333333333333336,31.0,1.25,4.333333333333333,32.416666666666664,12.166666666666666,28.166666666666668,506.4166666666667,74.83333333333333
BorussiaDortmund_5604,52.76923076923077,14.0,17.76923076923077,5.923076923076923,7.538461538461538,6.230769230769231,1.7692307692307692,60.46153846153846,30.23076923076923,1.1538461538461537,4.3076923076923075,32.92307692307692,12.153846153846153,27.53846153846154,502.38461538461536,75.07692307692308
BorussiaDortmund_5618,53.42857142857143,13.785714285714286,18.071428571428573,6.071428571428571,7.571428571428571,6.428571428571429,1.7692307692307694,59.214285714285715,30.071428571428573,1.2142857142857142,4.428571428571429,33.214285714285715,12.357142857142858,27.571428571428573,513.5714285714286,75.42857142857143
