,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SCPaderborn07_5402,50.0,10.0,14.0,5.0,7.0,3.0,0.0,46.0,29.0,2.0,2.0,34.0,15.0,27.0,445.0,74.0
SCPaderborn07_5416,51.0,10.5,15.0,5.0,7.5,4.5,0.0,47.0,28.5,2.5,2.5,30.5,10.5,23.0,386.0,70.5
SCPaderborn07_5436,46.666666666666664,12.0,12.333333333333334,4.666666666666667,6.0,3.3333333333333335,1.0,42.0,23.0,2.6666666666666665,1.6666666666666667,28.333333333333332,10.333333333333334,22.0,374.3333333333333,70.33333333333333
SCPaderborn07_5450,51.0,12.75,15.25,5.5,8.0,4.0,1.25,46.0,26.25,2.25,1.75,28.5,12.5,22.0,417.75,73.0
SCPaderborn07_5461,50.8,12.0,16.4,5.2,8.8,4.2,1.0,52.6,29.6,3.0,2.4,30.8,12.8,21.6,411.6,72.6
SCPaderborn07_5510,52.666666666666664,11.833333333333334,15.833333333333334,4.833333333333333,8.166666666666666,4.333333333333333,1.0,54.666666666666664,29.833333333333332,2.6666666666666665,2.8333333333333335,31.0,14.166666666666666,23.333333333333332,427.3333333333333,73.66666666666667
SCPaderborn07_5527,49.0,11.571428571428571,15.428571428571429,4.571428571428571,8.142857142857142,4.285714285714286,1.0,51.57142857142857,27.714285714285715,2.7142857142857144,2.7142857142857144,33.285714285714285,13.857142857142858,21.571428571428573,401.85714285714283,73.28571428571429
SCPaderborn07_5542,48.5,12.0,14.625,4.25,7.5,4.875,1.0,55.875,29.875,2.75,2.875,34.0,14.5,22.5,392.75,71.125
SCPaderborn07_5555,48.44444444444444,12.777777777777779,14.666666666666666,4.555555555555555,7.333333333333333,5.333333333333333,0.8888888888888888,55.77777777777778,30.333333333333332,2.6666666666666665,2.7777777777777777,34.333333333333336,14.11111111111111,22.11111111111111,394.0,71.77777777777777
SCPaderborn07_5576,47.3,12.9,14.6,4.5,7.2,5.4,0.9,56.6,30.5,2.8,2.9,34.6,14.4,21.1,384.4,71.7
SCPaderborn07_5591,46.90909090909091,13.727272727272727,15.090909090909092,4.818181818181818,7.363636363636363,6.181818181818182,1.0909090909090908,58.63636363636363,31.727272727272727,2.909090909090909,2.909090909090909,33.36363636363637,14.272727272727273,21.09090909090909,372.3636363636364,71.27272727272727
SCPaderborn07_5605,47.25,13.333333333333334,15.166666666666666,4.75,7.333333333333333,6.583333333333333,1.0,58.166666666666664,30.833333333333332,2.8333333333333335,3.0833333333333335,32.583333333333336,14.666666666666666,21.75,378.6666666666667,71.75
SCPaderborn07_5618,47.61538461538461,13.23076923076923,15.153846153846153,4.769230769230769,7.230769230769231,6.230769230769231,1.0769230769230769,58.69230769230769,31.307692307692307,2.6923076923076925,3.1538461538461537,33.69230769230769,15.384615384615385,21.846153846153847,381.0,71.61538461538461
