,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Genoa_5409,58.0,22.0,13.0,4.0,1.0,7.0,3.0,21.0,13.0,4.0,8.0,18.0,6.0,16.0,483.0,83.0
Genoa_5416,52.0,18.0,13.0,5.0,3.5,6.0,3.0,28.5,13.5,2.0,4.5,22.5,7.0,17.5,445.5,81.0
Genoa_5423,51.333333333333336,20.0,11.666666666666666,5.0,3.0,4.666666666666667,3.6666666666666665,26.0,12.0,2.6666666666666665,3.6666666666666665,26.333333333333332,8.0,18.0,427.3333333333333,80.33333333333333
Genoa_5444,52.25,19.5,12.5,5.0,3.75,6.0,3.25,25.25,11.5,2.75,3.75,24.25,9.5,18.75,429.0,80.5
Genoa_5465,52.4,19.4,12.4,4.8,4.2,5.6,3.4,24.6,11.0,2.6,3.4,24.4,8.4,19.2,434.0,80.2
Genoa_5486,51.0,18.333333333333332,12.5,5.0,4.0,5.5,3.1666666666666665,23.0,10.0,2.8333333333333335,3.5,26.0,8.666666666666666,19.333333333333332,430.6666666666667,80.33333333333333
Genoa_5501,50.857142857142854,18.142857142857142,12.428571428571429,5.0,3.857142857142857,5.714285714285714,3.2857142857142856,23.857142857142858,10.571428571428571,2.857142857142857,3.5714285714285716,24.571428571428573,9.714285714285714,19.285714285714285,429.57142857142856,81.0
Genoa_5515,50.875,17.375,12.0,5.0,3.75,5.125,3.5,26.5,12.0,2.625,3.25,25.625,10.0,20.375,433.0,79.875
Genoa_5530,51.44444444444444,17.555555555555557,12.555555555555555,4.888888888888889,4.0,5.444444444444445,3.2222222222222223,25.444444444444443,11.88888888888889,2.5555555555555554,3.6666666666666665,25.77777777777778,9.555555555555555,20.555555555555557,428.3333333333333,79.88888888888889
Genoa_5542,51.0,17.3,12.8,4.6,4.5,5.5,3.1,25.9,11.8,2.4,3.7,25.9,9.9,22.2,427.9,79.5
Genoa_5556,50.45454545454545,17.454545454545453,12.454545454545455,4.2727272727272725,4.545454545454546,5.363636363636363,3.1818181818181817,25.545454545454547,11.545454545454545,2.4545454545454546,3.6363636363636362,26.90909090909091,10.0,22.09090909090909,427.27272727272725,79.63636363636364
Genoa_5584,51.333333333333336,17.5,12.25,4.0,4.75,5.333333333333333,3.1666666666666665,26.166666666666668,12.083333333333334,2.6666666666666665,3.5,27.75,11.333333333333334,22.416666666666668,428.9166666666667,79.5
Genoa_5594,50.69230769230769,17.53846153846154,12.384615384615385,4.384615384615385,4.6923076923076925,5.615384615384615,3.230769230769231,25.53846153846154,12.0,2.769230769230769,3.5384615384615383,27.0,11.0,22.307692307692307,423.7692307692308,79.6923076923077
Genoa_5598,51.07142857142857,17.785714285714285,12.214285714285714,4.285714285714286,4.571428571428571,5.785714285714286,3.2142857142857144,24.714285714285715,11.785714285714286,2.857142857142857,3.5714285714285716,27.142857142857142,10.5,22.428571428571427,424.57142857142856,79.85714285714286
Genoa_5612,51.266666666666666,18.066666666666666,12.266666666666667,4.466666666666667,4.533333333333333,5.866666666666666,3.066666666666667,25.6,12.333333333333334,3.0,3.466666666666667,26.4,10.333333333333334,22.333333333333332,423.2,79.86666666666666
Genoa_5626,51.9375,18.3125,12.5625,4.625,4.75,5.9375,3.125,24.5625,11.9375,3.0,3.375,25.875,10.3125,22.5625,426.1875,80.125
