,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Napoli_5402,44.0,12.0,12.0,4.0,6.0,4.0,3.0,38.0,17.0,3.0,2.0,30.0,4.0,22.0,403.0,76.0
Napoli_5412,57.0,12.0,15.0,5.0,8.0,4.5,2.5,39.5,22.0,2.0,2.0,23.5,7.0,25.0,578.5,81.5
Napoli_5423,52.0,12.333333333333334,16.333333333333332,5.0,8.333333333333334,4.666666666666667,2.6666666666666665,35.666666666666664,20.0,2.0,3.0,23.666666666666668,7.0,25.0,510.6666666666667,80.33333333333333
Napoli_5445,52.0,14.25,16.0,4.5,9.0,5.0,3.0,36.5,20.25,2.0,2.5,23.75,5.25,25.25,486.75,80.25
Napoli_5458,52.0,14.8,15.6,5.0,8.4,5.0,2.8,34.4,17.8,1.8,2.2,23.4,4.8,24.4,485.2,80.6
Napoli_5481,52.333333333333336,14.666666666666666,15.666666666666666,5.166666666666667,7.666666666666667,5.166666666666667,2.6666666666666665,32.666666666666664,16.333333333333332,1.8333333333333333,2.8333333333333335,25.0,5.666666666666667,23.0,502.3333333333333,81.16666666666667
Napoli_5493,50.285714285714285,14.714285714285714,14.714285714285714,5.142857142857143,6.714285714285714,4.714285714285714,2.7142857142857144,32.57142857142857,15.714285714285714,2.0,2.857142857142857,26.428571428571427,6.0,21.857142857142858,475.85714285714283,79.85714285714286
Napoli_5507,50.375,14.625,14.375,5.0,6.375,4.875,2.375,32.75,16.125,2.125,3.0,26.75,7.0,21.75,476.5,79.875
Napoli_5520,51.55555555555556,15.0,13.666666666666666,4.777777777777778,5.888888888888889,5.111111111111111,2.3333333333333335,33.55555555555556,16.555555555555557,2.0,3.0,26.11111111111111,7.111111111111111,22.88888888888889,491.22222222222223,80.0
Napoli_5535,51.8,14.5,13.8,4.6,6.3,5.2,2.4,32.4,15.8,2.1,2.9,26.2,7.2,22.2,497.3,80.3
Napoli_5549,53.45454545454545,14.090909090909092,14.0,4.818181818181818,6.090909090909091,5.2727272727272725,2.6363636363636362,32.54545454545455,15.909090909090908,2.1818181818181817,3.090909090909091,26.636363636363637,7.181818181818182,21.818181818181817,506.8181818181818,80.54545454545455
Napoli_5569,53.416666666666664,13.75,13.916666666666666,4.833333333333333,6.083333333333333,5.25,2.5,32.25,16.0,2.0833333333333335,3.0,27.5,7.833333333333333,21.916666666666668,501.6666666666667,80.25
Napoli_5584,53.61538461538461,13.76923076923077,13.923076923076923,4.846153846153846,6.076923076923077,5.230769230769231,2.5384615384615383,30.923076923076923,15.23076923076923,2.1538461538461537,3.0,28.076923076923077,7.846153846153846,21.692307692307693,510.9230769230769,80.6923076923077
Napoli_5595,53.42857142857143,13.142857142857142,13.357142857142858,4.857142857142857,6.071428571428571,5.142857142857143,2.5,30.071428571428573,14.714285714285714,2.142857142857143,3.0,28.142857142857142,7.928571428571429,21.928571428571427,510.85714285714283,80.5
Napoli_5605,54.0,13.0,14.0,5.333333333333333,5.866666666666666,5.466666666666667,2.4,29.733333333333334,14.666666666666666,2.2,3.3333333333333335,28.733333333333334,7.8,21.933333333333334,515.0666666666667,80.8
Napoli_5618,53.375,12.9375,14.3125,5.4375,5.875,5.625,2.3125,28.8125,14.375,2.1875,3.5,30.0,7.75,21.1875,509.9375,80.9375
