,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Cesena_5409,35.0,20.0,8.0,2.0,6.0,2.0,5.0,52.0,21.0,5.0,0.0,32.0,4.0,32.0,295.0,67.0
Cesena_5417,40.0,17.0,7.5,2.5,5.0,3.0,3.0,42.5,15.0,3.0,0.0,27.5,5.0,28.5,342.5,71.5
Cesena_5437,42.666666666666664,18.333333333333332,7.666666666666667,2.6666666666666665,4.333333333333333,3.3333333333333335,3.0,35.666666666666664,14.333333333333334,4.0,0.6666666666666666,26.333333333333332,4.333333333333333,24.666666666666668,346.3333333333333,74.0
Cesena_5444,43.25,17.25,8.5,2.75,4.5,3.5,3.0,32.5,14.0,3.75,1.25,28.25,4.25,25.75,349.0,74.25
Cesena_5458,42.0,17.2,7.8,2.2,4.4,3.4,3.2,32.4,14.0,3.4,1.2,26.6,5.4,24.2,341.2,74.0
Cesena_5481,42.666666666666664,15.5,8.166666666666666,2.3333333333333335,4.333333333333333,3.1666666666666665,3.0,31.0,14.166666666666666,3.1666666666666665,1.5,26.833333333333332,7.0,23.833333333333332,347.5,74.16666666666667
Cesena_5493,43.857142857142854,16.428571428571427,8.857142857142858,2.5714285714285716,4.714285714285714,2.857142857142857,3.2857142857142856,31.714285714285715,15.142857142857142,2.857142857142857,1.5714285714285714,27.142857142857142,7.857142857142857,23.428571428571427,357.42857142857144,74.85714285714286
Cesena_5507,43.875,16.25,9.375,2.75,4.625,2.75,3.0,33.875,16.875,3.125,2.0,27.375,7.5,23.375,354.125,73.375
Cesena_5521,43.44444444444444,15.666666666666666,9.666666666666666,3.111111111111111,4.666666666666667,2.888888888888889,2.888888888888889,34.888888888888886,17.22222222222222,3.0,1.8888888888888888,27.444444444444443,7.555555555555555,22.88888888888889,351.44444444444446,73.22222222222223
Cesena_5535,44.5,15.5,10.4,3.1,5.1,3.1,3.0,35.5,17.6,3.0,2.2,26.6,7.2,23.1,355.0,73.5
Cesena_5542,44.09090909090909,15.636363636363637,9.727272727272727,3.0,4.7272727272727275,3.272727272727273,2.8181818181818183,35.36363636363637,17.727272727272727,2.8181818181818183,2.090909090909091,26.90909090909091,7.090909090909091,23.363636363636363,351.1818181818182,73.0909090909091
Cesena_5556,44.5,15.75,9.5,2.8333333333333335,4.666666666666667,3.5833333333333335,2.8333333333333335,36.0,18.25,2.8333333333333335,2.0833333333333335,27.333333333333332,6.833333333333333,24.25,351.1666666666667,72.91666666666667
Cesena_5577,45.0,16.0,10.0,2.6923076923076925,5.153846153846154,3.5384615384615383,2.769230769230769,37.30769230769231,18.53846153846154,2.923076923076923,2.230769230769231,27.692307692307693,6.615384615384615,23.923076923076923,352.61538461538464,72.61538461538461
Cesena_5594,45.5,16.357142857142858,10.0,2.857142857142857,5.142857142857143,3.4285714285714284,2.7857142857142856,38.357142857142854,19.071428571428573,3.0,2.0714285714285716,28.142857142857142,6.857142857142857,24.5,354.7857142857143,72.5
Cesena_5605,46.06666666666667,16.266666666666666,10.133333333333333,3.066666666666667,5.066666666666666,3.4,2.7333333333333334,37.93333333333333,19.133333333333333,3.066666666666667,2.066666666666667,27.533333333333335,7.2,24.533333333333335,359.8666666666667,72.8
Cesena_5619,45.875,16.5625,10.1875,3.0,5.0625,3.4375,2.75,37.9375,19.5,3.0625,2.1875,27.9375,7.0,24.375,361.625,73.0
