,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Chievo_5409,42.0,23.0,13.0,5.0,6.0,4.0,4.0,21.0,8.0,2.0,2.0,21.0,4.0,31.0,275.0,71.0
Chievo_5416,45.0,21.5,12.5,3.0,6.0,4.5,2.5,30.0,13.5,2.5,3.5,26.0,7.5,30.5,302.5,70.5
Chievo_5423,46.333333333333336,19.666666666666668,14.666666666666666,4.0,7.666666666666667,4.666666666666667,3.0,34.666666666666664,16.0,2.3333333333333335,3.0,22.333333333333332,7.666666666666667,29.666666666666668,324.6666666666667,73.33333333333333
Chievo_5443,44.25,17.0,13.0,3.5,6.75,3.75,2.5,34.0,16.0,2.75,2.75,23.25,7.0,28.75,312.25,70.25
Chievo_5459,43.0,16.6,12.0,3.4,5.8,4.4,3.0,31.2,14.0,3.4,2.8,21.6,6.2,26.0,294.4,68.8
Chievo_5481,44.666666666666664,16.833333333333332,13.0,3.8333333333333335,6.0,5.166666666666667,2.8333333333333335,32.0,15.333333333333334,3.3333333333333335,3.1666666666666665,22.0,6.5,24.166666666666668,315.5,70.5
Chievo_5493,44.42857142857143,16.857142857142858,13.714285714285714,4.285714285714286,5.857142857142857,5.0,2.7142857142857144,31.285714285714285,14.714285714285714,3.4285714285714284,3.5714285714285716,22.428571428571427,7.142857142857143,24.0,315.0,70.71428571428571
Chievo_5507,45.0,16.25,14.0,4.125,6.625,4.625,2.5,31.625,14.75,3.375,3.25,23.875,7.25,23.25,325.375,71.5
Chievo_5521,43.77777777777778,16.333333333333332,13.333333333333334,4.111111111111111,6.333333333333333,4.333333333333333,2.5555555555555554,29.666666666666668,14.11111111111111,3.2222222222222223,2.888888888888889,24.444444444444443,7.0,22.88888888888889,320.22222222222223,71.11111111111111
Chievo_5534,43.9,16.3,13.1,4.0,5.9,4.5,2.4,28.5,13.8,3.1,3.2,25.0,7.1,22.3,320.3,71.7
Chievo_5542,43.81818181818182,16.545454545454547,12.909090909090908,3.8181818181818183,5.818181818181818,4.454545454545454,2.5454545454545454,27.545454545454547,13.454545454545455,3.090909090909091,3.272727272727273,25.636363636363637,7.090909090909091,22.09090909090909,317.27272727272725,71.45454545454545
Chievo_5555,43.083333333333336,16.5,13.0,3.9166666666666665,5.666666666666667,4.5,2.4166666666666665,29.083333333333332,14.5,3.1666666666666665,3.4166666666666665,25.583333333333332,6.916666666666667,22.5,311.75,70.83333333333333
Chievo_5584,43.38461538461539,16.53846153846154,13.076923076923077,4.153846153846154,5.384615384615385,4.461538461538462,2.4615384615384617,28.615384615384617,14.384615384615385,3.0,3.5384615384615383,25.923076923076923,6.538461538461538,22.615384615384617,317.0,71.38461538461539
Chievo_5594,43.357142857142854,17.0,12.857142857142858,4.071428571428571,5.357142857142857,4.357142857142857,2.4285714285714284,29.428571428571427,14.928571428571429,2.857142857142857,3.4285714285714284,26.428571428571427,6.5,21.928571428571427,319.0,71.28571428571429
Chievo_5605,44.13333333333333,16.866666666666667,13.2,4.0,5.6,4.8,2.466666666666667,28.8,14.6,2.7333333333333334,3.6,26.0,6.533333333333333,21.466666666666665,320.8666666666667,72.06666666666666
Chievo_5619,44.0625,16.875,13.25,4.25,5.5625,4.875,2.375,28.1875,14.4375,2.6875,3.4375,25.875,6.4375,21.3125,327.125,72.5625
