,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Genoa_5403,48.0,16.0,13.0,3.0,9.0,10.0,3.0,27.0,11.0,3.0,1.0,23.0,6.0,32.0,384.0,72.0
Genoa_5412,44.0,19.0,8.5,3.0,5.0,5.5,2.5,35.5,13.0,3.5,0.5,26.5,4.5,29.0,354.5,69.0
Genoa_5438,48.666666666666664,16.0,10.666666666666666,2.6666666666666665,4.666666666666667,4.666666666666667,2.3333333333333335,35.333333333333336,15.333333333333334,3.6666666666666665,3.3333333333333335,24.666666666666668,9.0,30.333333333333332,420.0,74.33333333333333
Genoa_5451,48.0,16.0,11.25,3.0,4.75,6.5,2.5,31.75,13.75,4.25,3.5,22.75,8.25,26.25,399.0,75.25
Genoa_5458,46.4,14.2,10.4,2.6,4.6,6.2,2.4,31.0,13.8,4.4,3.2,23.8,8.2,24.8,378.2,74.6
Genoa_5481,48.5,14.0,11.5,3.3333333333333335,4.833333333333333,7.166666666666667,2.6666666666666665,32.0,14.666666666666666,4.333333333333333,3.3333333333333335,21.833333333333332,8.833333333333334,24.5,395.1666666666667,75.0
Genoa_5493,49.714285714285715,14.285714285714286,11.714285714285714,3.857142857142857,4.428571428571429,6.714285714285714,2.4285714285714284,30.142857142857142,13.0,4.571428571428571,3.4285714285714284,22.0,9.714285714285714,24.285714285714285,405.57142857142856,75.57142857142857
Genoa_5506,49.75,14.875,12.0,3.875,4.625,6.875,2.5,29.125,12.375,4.5,3.5,23.5,11.625,23.125,406.375,76.0
Genoa_5521,50.333333333333336,16.11111111111111,11.88888888888889,4.111111111111111,4.666666666666667,6.555555555555555,2.4444444444444446,28.555555555555557,12.11111111111111,4.444444444444445,3.111111111111111,23.666666666666668,12.0,22.444444444444443,403.22222222222223,76.33333333333333
Genoa_5580,51.2,16.0,12.2,4.1,5.0,6.6,2.5,28.4,12.2,4.3,3.1,24.1,12.3,22.3,418.0,76.9
Genoa_5549,52.18181818181818,16.09090909090909,12.818181818181818,4.0,5.636363636363637,6.2727272727272725,2.727272727272727,28.545454545454547,11.909090909090908,4.2727272727272725,3.1818181818181817,23.90909090909091,11.545454545454545,22.09090909090909,423.1818181818182,77.18181818181819
Genoa_5569,52.583333333333336,16.166666666666668,12.916666666666666,4.083333333333333,5.5,6.5,2.6666666666666665,27.916666666666668,11.583333333333334,4.333333333333333,3.3333333333333335,23.916666666666668,11.416666666666666,21.916666666666668,424.4166666666667,77.33333333333333
Genoa_5576,52.84615384615385,16.153846153846153,13.384615384615385,4.230769230769231,5.615384615384615,6.538461538461538,2.6153846153846154,27.846153846153847,11.076923076923077,4.461538461538462,3.5384615384615383,25.23076923076923,12.153846153846153,22.076923076923077,429.84615384615387,77.6923076923077
Genoa_5591,53.07142857142857,15.928571428571429,13.714285714285714,4.285714285714286,6.071428571428571,6.857142857142857,2.5714285714285716,28.642857142857142,12.071428571428571,4.357142857142857,3.357142857142857,24.857142857142858,11.928571428571429,22.142857142857142,426.7142857142857,77.5
Genoa_5606,53.13333333333333,15.733333333333333,13.666666666666666,4.533333333333333,5.866666666666666,6.733333333333333,2.533333333333333,28.4,12.066666666666666,4.266666666666667,3.2666666666666666,24.6,11.933333333333334,21.333333333333332,428.73333333333335,77.8
Genoa_5618,52.9375,15.625,13.875,4.75,5.875,7.125,2.5625,28.25,12.125,4.3125,3.3125,24.5,11.5625,21.5,421.9375,77.4375
