,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
LeicesterCity_5702,37.0,12.0,11.0,6.0,3.0,4.0,3.0,52.0,23.0,2.0,2.0,39.0,10.0,15.0,242.0,65.70247933884298
LeicesterCity_5716,40.0,15.5,7.5,4.0,2.5,4.0,3.5,49.5,21.5,1.5,1.0,38.5,11.5,22.5,285.0,66.38782503527514
LeicesterCity_5737,42.0,14.333333333333334,9.0,4.333333333333333,3.6666666666666665,4.0,3.6666666666666665,53.0,23.666666666666668,1.6666666666666667,1.0,35.666666666666664,11.333333333333334,22.333333333333332,313.0,68.01645426922589
LeicesterCity_5751,40.5,11.75,10.75,4.5,5.0,5.0,3.0,52.25,23.5,1.5,1.25,38.0,11.0,21.75,298.5,66.30645834897824
LeicesterCity_5765,42.4,11.4,13.8,5.0,6.2,5.4,2.4,51.4,23.0,2.0,2.6,36.8,11.4,22.4,307.0,67.41466814545825
LeicesterCity_5779,44.166666666666664,11.333333333333334,13.666666666666666,5.0,5.666666666666667,5.166666666666667,2.3333333333333335,52.0,24.0,2.0,3.0,37.833333333333336,10.0,22.166666666666668,317.5,67.80051174283683
LeicesterCity_5800,44.42857142857143,11.428571428571429,14.285714285714286,5.285714285714286,5.571428571428571,5.714285714285714,2.142857142857143,49.857142857142854,23.285714285714285,1.8571428571428572,3.4285714285714284,37.42857142857143,10.714285714285714,23.142857142857142,325.7142857142857,68.8194862557649
LeicesterCity_5814,44.25,12.375,14.5,5.25,5.5,6.0,2.25,46.875,21.375,1.875,3.625,36.875,9.875,22.875,330.875,69.14075619586514
LeicesterCity_5828,43.0,12.555555555555555,14.0,5.222222222222222,5.444444444444445,5.555555555555555,2.111111111111111,46.44444444444444,21.11111111111111,1.8888888888888888,3.2222222222222223,38.22222222222222,9.444444444444445,23.0,324.55555555555554,68.2362277296579
LeicesterCity_5835,42.2,12.1,13.3,5.0,5.2,5.6,2.0,46.5,21.0,2.0,3.0,37.3,9.3,24.1,319.4,66.98037052445768
LeicesterCity_5853,41.90909090909091,11.909090909090908,13.0,4.7272727272727275,5.0,5.818181818181818,1.8181818181818181,46.27272727272727,20.636363636363637,2.272727272727273,3.1818181818181817,36.90909090909091,9.181818181818182,23.545454545454547,317.0,66.4367004767797
LeicesterCity_5856,42.083333333333336,12.166666666666666,12.916666666666666,4.75,5.0,5.666666666666667,1.8333333333333333,47.333333333333336,20.166666666666668,2.4166666666666665,3.0833333333333335,36.166666666666664,9.0,23.5,324.1666666666667,66.81697543704807
LeicesterCity_5877,41.46153846153846,12.384615384615385,13.0,4.923076923076923,4.923076923076923,5.538461538461538,1.8461538461538463,46.61538461538461,19.615384615384617,2.4615384615384617,3.0,36.38461538461539,9.384615384615385,22.846153846153847,322.0,66.6002850188136
LeicesterCity_5885,40.5,12.214285714285714,12.5,4.785714285714286,4.857142857142857,5.214285714285714,2.0714285714285716,46.714285714285715,19.428571428571427,2.5714285714285716,2.7857142857142856,37.642857142857146,9.285714285714286,22.285714285714285,317.92857142857144,66.05740751746977
LeicesterCity_5905,41.13333333333333,12.133333333333333,12.6,4.933333333333334,5.0,5.4,2.066666666666667,46.86666666666667,19.6,2.6666666666666665,2.6,37.733333333333334,9.533333333333333,22.4,324.53333333333336,66.58691368297178
LeicesterCity_5919,41.1875,12.1875,12.3125,4.8125,4.875,5.5,2.0,47.4375,20.0,2.75,2.5625,38.3125,9.875,22.1875,325.875,66.61273157778605
LeicesterCity_5941,42.0,12.0,12.647058823529411,5.117647058823529,5.0588235294117645,5.588235294117647,1.9411764705882353,47.588235294117645,20.058823529411764,2.6470588235294117,2.588235294117647,38.294117647058826,10.588235294117647,22.58823529411765,330.7647058823529,66.8119826614457
LeicesterCity_5962,41.5,11.88888888888889,12.722222222222221,5.0,5.166666666666667,5.555555555555555,1.9444444444444444,47.333333333333336,19.61111111111111,2.7777777777777777,2.6666666666666665,38.888888888888886,10.88888888888889,22.27777777777778,326.22222222222223,66.54465029136537
LeicesterCity_5976,41.68421052631579,11.894736842105264,13.0,5.0,5.2105263157894735,5.578947368421052,1.9444444444444444,45.89473684210526,19.210526315789473,2.789473684210526,2.8947368421052633,39.21052631578947,11.157894736842104,22.473684210526315,332.5263157894737,67.20019501287247
