,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ManchesterUnited_5701,55.0,10.0,9.0,2.0,4.0,5.0,2.0,24.0,12.0,1.0,3.0,35.0,7.0,18.0,532.0,85.71428571428571
ManchesterUnited_5717,55.0,10.0,9.0,2.0,4.0,5.0,2.0,24.0,12.0,1.0,3.0,35.0,7.0,18.0,532.0,85.71428571428571
ManchesterUnited_5738,56.333333333333336,11.0,9.333333333333334,2.3333333333333335,4.333333333333333,5.0,1.3333333333333333,26.333333333333332,12.666666666666666,2.6666666666666665,2.6666666666666665,31.333333333333332,6.333333333333333,18.666666666666668,545.3333333333334,85.87246087246086
ManchesterUnited_5752,57.75,12.5,9.25,3.0,4.0,5.25,1.75,25.25,12.0,2.5,2.25,33.0,8.0,18.5,566.75,86.07629494119192
ManchesterUnited_5765,56.8,12.8,9.4,3.8,3.6,4.8,1.8,25.2,11.8,2.6,2.0,33.8,8.8,18.8,558.4,85.92770261962019
ManchesterUnited_5779,56.666666666666664,13.166666666666666,8.666666666666666,3.3333333333333335,3.3333333333333335,4.5,2.0,26.5,12.666666666666666,3.0,2.0,33.666666666666664,8.0,18.0,541.5,85.3190373763064
ManchesterUnited_5800,56.142857142857146,13.0,9.285714285714286,3.7142857142857144,3.5714285714285716,5.285714285714286,2.0,26.0,12.571428571428571,3.142857142857143,2.0,32.57142857142857,7.571428571428571,19.714285714285715,534.7142857142857,84.03285910450323
ManchesterUnited_5807,57.75,12.25,9.25,3.5,3.625,5.625,1.875,26.875,13.0,3.0,2.25,32.375,7.625,21.125,541.5,83.94895545158464
ManchesterUnited_5821,57.666666666666664,12.222222222222221,9.444444444444445,3.6666666666666665,3.5555555555555554,5.777777777777778,1.7777777777777777,27.0,12.444444444444445,3.0,2.3333333333333335,33.0,8.88888888888889,21.88888888888889,534.0,83.71646485522948
ManchesterUnited_5835,57.7,12.6,9.6,3.9,3.5,6.4,1.8,27.3,12.4,2.8,2.3,32.6,8.8,22.4,525.8,83.08818120156494
ManchesterUnited_5852,56.63636363636363,12.545454545454545,9.818181818181818,3.909090909090909,3.5454545454545454,6.090909090909091,1.9090909090909092,26.363636363636363,12.0,2.8181818181818183,2.4545454545454546,32.27272727272727,8.909090909090908,22.454545454545453,517.1818181818181,82.8983465468772
ManchesterUnited_5857,55.833333333333336,13.0,9.583333333333334,3.6666666666666665,3.6666666666666665,5.916666666666667,1.9166666666666667,26.833333333333332,12.333333333333334,2.9166666666666665,2.3333333333333335,32.666666666666664,9.25,22.833333333333332,510.0833333333333,82.07348433463744
ManchesterUnited_5878,55.46153846153846,12.692307692307692,10.153846153846153,3.923076923076923,4.230769230769231,6.3076923076923075,2.0,27.153846153846153,12.538461538461538,3.0,2.4615384615384617,32.61538461538461,9.384615384615385,23.307692307692307,504.15384615384613,81.91398553966533
ManchesterUnited_5884,56.214285714285715,12.857142857142858,10.285714285714286,4.071428571428571,4.0,6.428571428571429,2.0714285714285716,26.5,12.214285714285714,2.9285714285714284,2.642857142857143,32.0,8.928571428571429,23.071428571428573,503.5,81.92012942968924
ManchesterUnited_5906,56.0,12.466666666666667,10.066666666666666,3.8666666666666667,4.133333333333334,6.333333333333333,2.066666666666667,27.0,12.333333333333334,2.8,2.7333333333333334,32.2,9.2,22.8,503.4,81.25878746770995
ManchesterUnited_5920,55.25,12.4375,9.75,3.875,3.9375,6.25,2.0,27.3125,12.125,2.8125,2.625,33.1875,9.5,23.0625,496.9375,80.86761325097808
ManchesterUnited_5941,55.05882352941177,12.294117647058824,9.529411764705882,3.7058823529411766,4.0,6.294117647058823,2.0588235294117645,26.88235294117647,12.0,2.9411764705882355,2.6470588235294117,33.294117647058826,9.411764705882353,23.352941176470587,493.3529411764706,80.40481247150878
ManchesterUnited_5971,55.0,12.61111111111111,9.166666666666666,3.611111111111111,3.8333333333333335,6.055555555555555,2.111111111111111,27.333333333333332,12.11111111111111,2.9444444444444446,2.5,33.27777777777778,9.5,23.0,492.27777777777777,80.16010066753607
ManchesterUnited_5968,55.36842105263158,12.473684210526315,9.473684210526315,3.526315789473684,3.9473684210526314,6.052631578947368,2.0,27.526315789473685,12.31578947368421,2.8947368421052633,2.736842105263158,33.0,9.578947368421053,23.42105263157895,496.63157894736844,80.2043058955605
