,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SunderlandA.F.C_5780,32.0,5.0,17.0,9.0,3.0,1.0,2.0,21.0,11.0,2.0,5.0,22.0,11.0,17.0,319.0,78.0
SunderlandA.F.C_5828,32.0,8.5,14.0,6.0,4.5,1.5,2.5,25.5,14.5,3.0,3.5,33.0,11.0,19.5,297.5,73.78260869565217
SunderlandA.F.C_5835,32.666666666666664,9.333333333333334,13.0,5.0,5.666666666666667,1.3333333333333333,2.0,26.666666666666668,15.333333333333334,3.6666666666666665,2.3333333333333335,34.666666666666664,9.666666666666666,16.0,300.6666666666667,75.13846008591794
SunderlandA.F.C_5853,36.75,10.0,11.5,5.0,4.75,2.5,2.0,23.75,13.0,3.5,1.75,34.5,9.0,15.25,332.75,77.10384506443846
SunderlandA.F.C_5856,35.8,10.6,10.2,4.4,4.2,2.6,2.0,23.2,12.0,4.2,1.6,33.2,8.2,16.6,325.6,75.48307605155077
SunderlandA.F.C_5877,34.5,10.833333333333334,9.666666666666666,4.0,4.166666666666667,2.5,1.8333333333333333,19.833333333333332,10.166666666666666,4.0,1.5,28.833333333333332,7.0,14.833333333333334,315.1666666666667,73.73589670962564
SunderlandA.F.C_5898,36.285714285714285,10.571428571428571,10.428571428571429,4.142857142857143,5.0,3.0,1.5714285714285714,21.428571428571427,11.142857142857142,3.7142857142857144,1.7142857142857142,30.428571428571427,7.428571428571429,18.285714285714285,323.85714285714283,72.48791146539341
SunderlandA.F.C_5905,36.125,10.375,10.25,4.0,4.875,2.875,1.5,23.5,11.75,3.75,2.0,29.625,7.625,18.375,316.5,70.30192253221924
SunderlandA.F.C_5920,37.77777777777778,10.0,10.666666666666666,4.0,5.111111111111111,3.111111111111111,1.4444444444444444,24.555555555555557,12.11111111111111,4.0,2.111111111111111,30.88888888888889,7.777777777777778,18.22222222222222,313.8888888888889,69.82393113975043
SunderlandA.F.C_5947,37.6,10.1,10.4,3.9,5.1,2.8,1.5,26.1,13.3,4.2,1.9,30.2,7.7,17.8,306.3,68.34153802577539
SunderlandA.F.C_5961,38.36363636363637,10.363636363636363,10.272727272727273,3.8181818181818183,5.181818181818182,3.272727272727273,1.5454545454545454,28.09090909090909,13.545454545454545,4.0,2.090909090909091,30.0,7.454545454545454,18.818181818181817,306.45454545454544,67.85594365979581
SunderlandA.F.C_5976,39.25,10.333333333333334,9.916666666666666,3.8333333333333335,4.833333333333333,3.3333333333333335,1.4166666666666667,27.916666666666668,13.5,4.0,2.0,29.666666666666668,7.583333333333333,19.583333333333332,308.0833333333333,67.86794835481282
