,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BournemouthAFC_5695,59.0,13.0,11.0,2.0,7.0,6.0,3.0,34.0,17.0,2.0,2.0,27.0,3.0,30.0,542.0,84.13284132841328
BournemouthAFC_5716,58.0,11.0,8.0,2.0,3.5,5.0,2.5,40.5,22.0,1.5,2.5,28.5,4.5,33.0,488.5,78.84802985960894
BournemouthAFC_5737,56.333333333333336,12.0,10.333333333333334,3.0,3.6666666666666665,5.666666666666667,2.3333333333333335,39.666666666666664,20.333333333333332,1.6666666666666667,3.6666666666666665,31.0,8.666666666666666,28.0,478.3333333333333,78.83900680596928
BournemouthAFC_5751,55.75,11.0,10.75,3.75,3.75,5.5,2.0,41.25,22.0,1.5,3.25,29.0,10.5,30.5,481.75,78.53982421016802
BournemouthAFC_5773,53.6,10.4,10.6,3.4,4.2,5.2,1.6,39.0,20.0,2.0,3.0,30.0,10.2,29.2,465.0,77.83185936813442
BournemouthAFC_5786,56.0,10.166666666666666,12.166666666666666,3.6666666666666665,4.833333333333333,7.0,1.6666666666666667,36.5,18.833333333333332,1.6666666666666667,3.6666666666666665,30.0,9.833333333333334,28.333333333333332,484.3333333333333,79.20296943902194
BournemouthAFC_5807,56.142857142857146,9.571428571428571,13.142857142857142,4.428571428571429,4.857142857142857,7.428571428571429,1.7142857142857142,34.714285714285715,18.0,1.8571428571428572,3.7142857142857144,31.0,9.857142857142858,29.142857142857142,492.7142857142857,79.700940392616
BournemouthAFC_5821,54.5,9.875,12.875,4.5,5.0,7.125,1.75,33.875,18.25,2.125,3.25,32.875,10.25,27.625,476.625,79.90315800837418
BournemouthAFC_5835,54.55555555555556,9.88888888888889,12.555555555555555,4.444444444444445,4.888888888888889,7.222222222222222,1.6666666666666667,34.22222222222222,18.22222222222222,2.2222222222222223,3.111111111111111,33.333333333333336,11.0,27.22222222222222,474.6666666666667,79.8364551456669
BournemouthAFC_5852,53.9,9.7,12.4,4.4,4.7,6.9,1.6,33.8,17.4,2.2,3.2,33.8,11.7,27.6,467.9,79.45280963110022
BournemouthAFC_5856,53.18181818181818,9.545454545454545,12.636363636363637,4.636363636363637,4.818181818181818,6.7272727272727275,1.5454545454545454,33.72727272727273,17.454545454545453,2.272727272727273,3.0,33.27272727272727,11.909090909090908,27.636363636363637,456.90909090909093,78.95709966463656
BournemouthAFC_5878,53.083333333333336,9.25,13.0,4.583333333333333,5.416666666666667,6.75,1.4166666666666667,32.5,16.666666666666668,2.3333333333333335,3.25,32.916666666666664,11.916666666666666,28.166666666666668,459.3333333333333,79.12734135925018
BournemouthAFC_5884,54.0,9.076923076923077,12.846153846153847,4.384615384615385,5.3076923076923075,6.923076923076923,1.6153846153846154,31.692307692307693,16.0,2.3846153846153846,3.3846153846153846,32.30769230769231,11.538461538461538,27.692307692307693,465.9230769230769,79.65600740853863
BournemouthAFC_5901,53.357142857142854,9.214285714285714,12.642857142857142,4.357142857142857,5.357142857142857,7.142857142857143,1.6153846153846154,32.714285714285715,16.214285714285715,2.2857142857142856,3.357142857142857,31.285714285714285,11.142857142857142,27.428571428571427,455.85714285714283,79.18057830792873
BournemouthAFC_5912,52.733333333333334,9.4,12.6,4.333333333333333,5.4,7.0,1.5743589743589745,32.53333333333333,16.333333333333332,2.2666666666666666,3.2666666666666666,31.2,11.0,27.6,449.3333333333333,78.83520642073348
BournemouthAFC_5933,52.5,9.375,12.5,4.1875,5.375,6.8125,1.4759615384615385,32.53333333333333,16.333333333333332,2.3125,3.3125,31.2,11.0,27.6,449.3333333333333,78.83520642073348
BournemouthAFC_5948,52.588235294117645,9.352941176470589,12.823529411764707,4.235294117647059,5.352941176470588,6.705882352941177,1.4759615384615383,31.97254901960784,16.313725490196077,2.411764705882353,3.588235294117647,31.541176470588237,10.647058823529411,27.68235294117647,452.37254901960785,78.96254721951387
BournemouthAFC_5954,52.388888888888886,9.444444444444445,12.833333333333334,4.222222222222222,5.388888888888889,6.888888888888889,1.4495192307692308,30.97407407407407,15.962962962962962,2.2777777777777777,3.5555555555555554,31.84444444444445,10.722222222222221,27.311111111111114,452.0185185185185,79.07573904065198
BournemouthAFC_5968,52.73684210526316,9.210526315789474,12.789473684210526,4.2105263157894735,5.421052631578948,6.7894736842105265,1.478491902834008,30.291228070175436,15.3859649122807,2.3157894736842106,3.473684210526316,31.694736842105264,10.789473684210526,27.873684210526317,458.01754385964904,79.33491067009136
