,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
StokeCity_5696,47.0,9.0,7.0,1.0,4.0,3.0,2.0,36.0,16.0,2.0,2.0,35.0,5.0,25.0,411.0,73.47931873479318
StokeCity_5716,48.0,6.5,10.0,2.5,4.5,4.5,1.5,28.5,14.0,3.0,2.5,30.5,9.5,20.5,428.5,78.78001811179121
StokeCity_5737,50.0,6.666666666666667,10.333333333333334,3.0,4.666666666666667,4.333333333333333,1.3333333333333333,39.0,20.0,3.0,2.3333333333333335,34.666666666666664,11.333333333333334,21.333333333333332,430.6666666666667,76.50468640402939
StokeCity_5744,48.5,8.25,9.75,3.5,4.0,4.0,1.25,36.0,18.0,3.5,2.0,32.25,10.5,21.5,418.25,76.1449190024971
StokeCity_5772,51.4,8.6,10.2,3.0,4.4,5.4,1.6,33.6,16.8,3.0,2.2,30.2,10.2,22.2,440.0,77.51593520199768
StokeCity_5786,48.833333333333336,9.333333333333334,9.666666666666666,2.8333333333333335,4.5,4.666666666666667,1.8333333333333333,31.5,16.333333333333332,3.1666666666666665,2.0,30.666666666666668,9.833333333333334,23.166666666666668,413.6666666666667,76.23963867305953
StokeCity_5814,48.57142857142857,9.285714285714286,9.285714285714286,3.0,4.285714285714286,4.142857142857143,1.5714285714285714,29.142857142857142,15.428571428571429,3.2857142857142856,1.7142857142857142,30.285714285714285,12.285714285714286,23.142857142857142,413.7142857142857,75.90726793094544
StokeCity_5828,49.875,8.875,11.375,3.25,5.0,4.5,1.625,29.125,15.75,3.0,2.875,29.75,11.875,23.625,420.625,76.46683385322332
StokeCity_5835,49.0,9.333333333333334,11.555555555555555,3.2222222222222223,5.333333333333333,4.111111111111111,1.5555555555555556,29.22222222222222,16.0,3.3333333333333335,2.7777777777777777,30.0,11.88888888888889,23.333333333333332,411.1111111111111,75.89755048976401
StokeCity_5853,50.5,8.9,11.8,3.3,5.5,4.4,1.4,28.7,15.5,3.1,2.8,30.6,11.6,22.6,431.4,77.20779544078762
StokeCity_5857,50.0,9.545454545454545,12.0,3.4545454545454546,5.2727272727272725,4.545454545454546,1.4000000000000001,29.272727272727273,16.0,3.090909090909091,3.0,30.181818181818183,11.272727272727273,23.0,429.45454545454544,77.09799585526147
StokeCity_5877,51.333333333333336,9.666666666666666,11.083333333333334,3.4166666666666665,5.25,4.666666666666667,1.3666666666666665,29.083333333333332,15.416666666666666,3.0833333333333335,3.0,30.0,11.5,23.166666666666668,445.1666666666667,77.75649620065634
StokeCity_5898,51.61538461538461,9.461538461538462,11.0,3.3846153846153846,5.3076923076923075,5.153846153846154,1.2615384615384615,29.615384615384617,15.846153846153847,2.8461538461538463,2.923076923076923,29.23076923076923,11.538461538461538,23.384615384615383,448.53846153846155,77.92907341599047
StokeCity_5902,51.857142857142854,9.571428571428571,10.785714285714286,3.4285714285714284,5.285714285714286,5.142857142857143,1.2428571428571427,30.357142857142858,15.571428571428571,2.857142857142857,2.857142857142857,30.285714285714285,11.357142857142858,22.857142857142858,449.42857142857144,78.1484253148483
StokeCity_5912,52.266666666666666,9.8,10.733333333333333,3.3333333333333335,5.4,4.866666666666666,1.2266666666666666,31.4,16.2,2.8,2.933333333333333,30.266666666666666,11.6,22.933333333333334,455.2,78.40519696052507
StokeCity_5933,52.3125,9.5625,10.8125,3.4375,5.375,4.875,1.15,31.4,16.2,2.6875,2.875,30.266666666666666,11.6,22.933333333333334,455.2,78.40519696052507
StokeCity_5949,52.0,9.705882352941176,10.882352941176471,3.3529411764705883,5.411764705882353,4.882352941176471,1.2,30.84705882352941,15.717647058823529,2.6470588235294117,2.9411764705882355,30.545098039215684,11.91764705882353,22.819607843137256,452.4235294117647,78.44018537461183
StokeCity_5961,52.111111111111114,9.88888888888889,10.777777777777779,3.3333333333333335,5.444444444444445,4.722222222222222,1.2444444444444445,31.799999999999997,16.62222222222222,2.7222222222222223,2.888888888888889,29.9037037037037,11.977777777777778,22.662962962962965,447.56666666666666,78.02684174268896
StokeCity_5976,51.73684210526316,9.789473684210526,10.578947368421053,3.3684210526315788,5.2631578947368425,4.684210526315789,1.3368421052631578,32.17894736842105,16.8,2.8947368421052633,2.789473684210526,30.59298245614035,12.136842105263158,22.15438596491228,442.74736842105267,78.0780605983369
