,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Watford_5702,59.0,13.0,16.0,5.0,8.0,2.0,1.0,42.0,18.0,0.0,3.0,22.0,14.0,32.0,488.0,85.24590163934427
Watford_5710,55.5,11.5,14.5,2.5,7.0,3.5,0.5,45.0,20.5,2.5,5.0,21.0,12.0,31.0,444.5,79.4059932136871
Watford_5730,49.666666666666664,11.333333333333334,15.333333333333334,3.6666666666666665,7.0,2.6666666666666665,0.6666666666666666,40.0,18.0,2.6666666666666665,4.666666666666667,21.333333333333332,9.666666666666666,27.666666666666668,400.6666666666667,76.89899015097777
Watford_5745,51.0,12.75,15.25,3.25,7.5,3.5,1.5,39.0,18.5,2.5,4.5,22.5,8.0,28.25,397.25,76.47269222563642
Watford_5765,47.4,12.4,13.8,2.8,7.2,3.4,1.6,35.6,17.0,2.6,3.8,26.6,8.0,26.0,378.8,75.93225214116487
Watford_5779,47.833333333333336,13.0,14.833333333333334,3.1666666666666665,7.0,4.0,1.8333333333333333,35.333333333333336,16.0,2.6666666666666665,4.666666666666667,25.833333333333332,8.333333333333334,25.333333333333332,381.3333333333333,75.77687678430406
Watford_5800,47.714285714285715,12.0,14.142857142857142,3.4285714285714284,6.285714285714286,4.0,1.7142857142857142,33.57142857142857,15.285714285714286,2.857142857142857,4.428571428571429,26.714285714285715,8.428571428571429,26.428571428571427,381.42857142857144,74.1513094949981
Watford_5814,48.125,11.5,14.125,3.875,5.875,4.0,1.875,32.5,14.5,2.625,4.25,25.5,8.5,27.75,378.125,73.26267749826418
Watford_5829,46.55555555555556,10.88888888888889,13.222222222222221,4.0,5.222222222222222,4.333333333333333,1.7777777777777777,32.0,14.333333333333334,2.7777777777777777,3.888888888888889,26.77777777777778,8.333333333333334,28.0,365.0,71.10528598136302
Watford_5837,45.6,10.9,12.8,3.7,5.1,4.4,2.0,32.5,15.0,2.6,3.9,26.6,8.0,27.7,359.7,69.99475738322673
Watford_5842,45.81818181818182,10.454545454545455,12.636363636363637,3.6363636363636362,5.181818181818182,4.363636363636363,1.9090909090909092,32.18181818181818,15.181818181818182,2.6363636363636362,3.727272727272727,26.818181818181817,8.727272727272727,28.545454545454547,364.0,70.08614307566066
Watford_5863,46.25,10.416666666666666,12.666666666666666,3.75,5.333333333333333,4.166666666666667,1.9166666666666667,32.833333333333336,15.916666666666666,2.5,3.5,28.0,9.0,28.25,373.25,70.49563115268894
Watford_5874,46.15384615384615,10.384615384615385,12.615384615384615,3.6923076923076925,5.3076923076923075,4.384615384615385,1.9230769230769231,32.61538461538461,16.153846153846153,2.6153846153846154,3.769230769230769,28.53846153846154,9.307692307692308,28.153846153846153,378.7692307692308,71.14981337171287
Watford_5898,46.214285714285715,10.642857142857142,12.571428571428571,3.642857142857143,5.571428571428571,4.357142857142857,2.0,32.857142857142854,16.0,2.642857142857143,3.7857142857142856,28.357142857142858,9.357142857142858,27.571428571428573,374.2142857142857,70.78196955944766
Watford_5905,46.46666666666667,10.6,12.333333333333334,3.7333333333333334,5.466666666666667,4.266666666666667,2.0,33.93333333333333,16.733333333333334,2.8666666666666667,3.7333333333333334,29.066666666666666,9.6,27.266666666666666,376.26666666666665,70.92983825548448
Watford_5919,46.875,10.5625,12.125,3.75,5.375,4.5625,2.0625,34.5625,17.25,2.9375,3.5625,29.0625,9.8125,27.375,381.5625,70.9967233645167
Watford_5940,46.8235294117647,10.705882352941176,12.117647058823529,3.823529411764706,5.470588235294118,4.705882352941177,2.0588235294117645,35.294117647058826,17.823529411764707,3.1176470588235294,3.5294117647058822,29.0,9.647058823529411,26.941176470588236,378.29411764705884,70.87926904895689
Watford_5961,47.611111111111114,10.88888888888889,12.166666666666666,3.888888888888889,5.611111111111111,4.888888888888889,2.0555555555555554,35.333333333333336,17.72222222222222,2.9444444444444446,3.611111111111111,28.944444444444443,9.833333333333334,27.055555555555557,390.0,71.66375410179262
Watford_5976,47.78947368421053,10.894736842105264,12.631578947368421,4.0,5.894736842105263,5.0,2.0,34.8421052631579,17.473684210526315,2.8947368421052633,3.6315789473684212,28.42105263157895,9.631578947368421,26.789473684210527,389.42105263157896,71.9446091490667
