,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
CeltaVigo_5710,63.0,17.0,14.0,6.0,5.0,6.0,3.0,28.0,17.0,1.0,3.0,26.0,6.0,14.0,645.0,87.0
CeltaVigo_5738,56.5,16.5,14.0,5.5,5.5,5.5,4.5,27.5,15.0,3.0,3.0,31.5,9.5,14.0,556.0,85.04175588865095
CeltaVigo_5744,59.0,16.333333333333332,12.333333333333334,4.333333333333333,5.0,5.0,4.333333333333333,31.666666666666668,17.333333333333332,2.6666666666666665,3.0,27.666666666666668,9.666666666666666,18.333333333333332,566.6666666666666,83.111737485858
CeltaVigo_5766,59.5,15.25,12.5,3.75,6.25,4.75,4.0,30.0,16.75,2.5,2.5,25.25,8.25,18.75,588.0,83.7678521941481
CeltaVigo_5779,59.0,14.6,13.2,4.6,6.0,5.2,4.0,31.8,17.2,2.6,2.6,23.2,8.0,18.6,542.2,82.01428175531848
CeltaVigo_5800,59.166666666666664,14.333333333333334,12.0,4.5,5.0,6.0,3.8333333333333335,30.833333333333332,16.166666666666668,2.3333333333333335,2.5,24.5,8.0,19.666666666666668,532.6666666666666,81.30056125657984
CeltaVigo_5814,56.42857142857143,14.571428571428571,10.857142857142858,4.0,4.714285714285714,5.142857142857143,3.857142857142857,32.0,16.714285714285715,2.7142857142857144,2.2857142857142856,26.285714285714285,7.428571428571429,19.571428571428573,501.57142857142856,79.40048107706843
CeltaVigo_5829,55.75,14.125,10.75,4.0,4.5,4.875,3.625,32.25,16.625,2.5,2.375,27.75,7.875,20.125,490.625,78.97542094243488
CeltaVigo_5842,55.22222222222222,13.777777777777779,10.444444444444445,3.6666666666666665,4.555555555555555,4.555555555555555,3.4444444444444446,31.555555555555557,16.22222222222222,2.4444444444444446,2.3333333333333335,27.88888888888889,7.555555555555555,20.555555555555557,480.1111111111111,78.75592972660878
CeltaVigo_5863,54.1,13.7,9.6,3.4,4.2,4.2,3.5,32.4,16.9,2.9,2.2,28.5,8.2,21.2,458.4,76.8803367539479
CeltaVigo_5871,53.0,14.090909090909092,9.181818181818182,3.272727272727273,3.8181818181818183,4.090909090909091,3.5454545454545454,31.90909090909091,16.545454545454547,2.909090909090909,2.272727272727273,28.727272727272727,8.454545454545455,20.727272727272727,448.09090909090907,76.61848795813445
CeltaVigo_5885,51.583333333333336,14.25,9.083333333333334,3.3333333333333335,3.75,3.8333333333333335,3.5833333333333335,30.583333333333332,15.916666666666666,3.0833333333333335,2.272727272727273,30.583333333333332,8.166666666666666,19.916666666666668,436.25,76.06694729495659
CeltaVigo_5898,51.23076923076923,14.23076923076923,9.0,3.1538461538461537,4.0,3.923076923076923,3.5384615384615383,29.384615384615383,15.076923076923077,3.0,2.174825174825175,30.615384615384617,8.0,20.384615384615383,431.9230769230769,75.44641288765223
CeltaVigo_5905,50.714285714285715,14.071428571428571,8.928571428571429,3.2142857142857144,3.857142857142857,4.0,3.5,28.5,14.571428571428571,3.142857142857143,2.2337662337662336,30.142857142857142,7.714285714285714,19.857142857142858,432.14285714285717,75.84309768139136
CeltaVigo_5920,50.8,14.066666666666666,9.2,3.4,4.066666666666666,4.066666666666666,3.2666666666666666,29.266666666666666,15.266666666666667,3.2,2.084848484848485,30.8,8.133333333333333,19.733333333333334,433.8666666666667,75.65355783596527
CeltaVigo_5941,51.125,13.875,9.6875,3.5,4.25,4.25,3.375,29.375,15.5,3.125,2.2670454545454546,30.0,8.6875,20.1875,436.6875,75.80021047121744
CeltaVigo_5950,51.64705882352941,13.823529411764707,9.294117647058824,3.3529411764705883,4.117647058823529,4.117647058823529,3.235294117647059,29.529411764705884,15.294117647058824,3.0588235294117645,2.1336898395721926,30.58823529411765,8.647058823529411,20.41176470588235,447.1764705882353,76.047256914087
CeltaVigo_5962,51.27777777777778,14.11111111111111,9.055555555555555,3.2777777777777777,4.055555555555555,4.0,3.2777777777777777,29.72222222222222,15.11111111111111,2.888888888888889,2.015151515151515,29.666666666666668,8.666666666666666,20.61111111111111,441.1111111111111,75.54463152997106
CeltaVigo_5975,51.473684210526315,14.210526315789474,8.947368421052632,3.3157894736842106,3.8947368421052633,4.0,3.3684210526315788,29.157894736842106,14.789473684210526,2.8947368421052633,2.0669856459330145,29.94736842105263,8.578947368421053,20.736842105263158,445.36842105263156,75.88438776523574
