,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Eibar_5711,38.0,23.0,10.0,4.0,4.0,5.0,6.0,37.0,22.0,5.0,2.0,30.0,7.0,35.0,334.0,71.8562874251497
Eibar_5731,42.0,18.0,8.5,2.0,4.5,4.0,5.0,33.5,15.0,4.5,2.0,29.5,7.5,29.0,335.0,70.15433418876532
Eibar_5741,41.666666666666664,20.0,9.0,2.6666666666666665,3.6666666666666665,5.0,5.0,34.666666666666664,16.666666666666668,3.0,2.6666666666666665,32.666666666666664,7.333333333333333,27.333333333333332,331.0,68.64778110004374
Eibar_5751,40.5,19.0,9.0,3.0,3.5,4.25,4.25,35.5,17.0,3.25,2.5,35.25,5.75,26.5,333.0,67.12005411411835
Eibar_5773,39.0,18.8,8.6,3.4,3.2,3.8,4.4,33.8,16.0,3.0,2.0,34.6,5.4,26.6,317.8,65.99176313565265
Eibar_5801,39.5,17.833333333333332,10.0,4.0,3.3333333333333335,4.166666666666667,4.333333333333333,35.166666666666664,17.666666666666668,3.1666666666666665,2.6666666666666665,34.333333333333336,5.333333333333333,25.833333333333332,321.5,65.28725359343603
Eibar_5815,38.857142857142854,17.571428571428573,9.285714285714286,3.5714285714285716,3.2857142857142856,4.0,4.142857142857143,33.285714285714285,16.428571428571427,3.4285714285714284,2.4285714285714284,33.285714285714285,4.857142857142857,25.571428571428573,316.57142857142856,65.10336022294517
Eibar_5828,40.25,16.75,9.75,3.25,3.5,4.5,3.875,33.75,16.75,3.125,2.875,32.75,4.875,24.625,329.875,65.84044019507702
Eibar_5843,40.333333333333336,16.444444444444443,9.11111111111111,3.4444444444444446,3.2222222222222223,4.222222222222222,3.7777777777777777,33.22222222222222,16.77777777777778,3.3333333333333335,2.875,32.666666666666664,5.888888888888889,24.333333333333332,330.77777777777777,66.08039128451291
Eibar_5864,41.0,16.2,9.1,3.3,3.5,4.0,3.6,33.9,16.8,3.1,2.6875,31.9,5.8,24.9,333.2,66.27235215606161
Eibar_5877,41.54545454545455,16.363636363636363,8.636363636363637,3.1818181818181817,3.5454545454545454,3.8181818181818183,3.5454545454545454,35.36363636363637,17.454545454545453,2.909090909090909,2.4431818181818183,31.363636363636363,5.909090909090909,25.454545454545453,336.0,65.97486559641965
Eibar_5891,41.083333333333336,17.083333333333332,8.0,3.1666666666666665,3.4166666666666665,3.5833333333333335,3.4166666666666665,35.5,17.5,3.1666666666666665,2.40625,30.833333333333332,5.833333333333333,25.25,334.5833333333333,65.64362679671801
Eibar_5902,41.53846153846154,16.76923076923077,8.153846153846153,3.4615384615384617,3.5384615384615383,3.769230769230769,3.4615384615384617,35.30769230769231,17.53846153846154,3.1538461538461537,2.298076923076923,30.615384615384617,5.923076923076923,25.153846153846153,339.3076923076923,66.51719396620125
Eibar_5912,41.5,16.857142857142858,8.214285714285714,3.4285714285714284,3.7142857142857144,3.5,3.4285714285714284,36.857142857142854,18.285714285714285,3.0714285714285716,2.205357142857143,30.071428571428573,5.642857142857143,25.857142857142858,335.7142857142857,65.62310868290116
Eibar_5918,42.86666666666667,16.533333333333335,9.0,3.6,4.066666666666666,3.466666666666667,3.3333333333333335,36.6,18.266666666666666,3.066666666666667,2.3916666666666666,30.066666666666666,6.4,26.533333333333335,341.6,66.11490143737441
Eibar_5940,42.875,16.3125,9.0,3.5625,4.1875,3.6875,3.3125,36.375,17.8125,3.0,2.3046875,29.4375,6.4375,26.375,340.375,66.5452200975385
Eibar_5951,43.294117647058826,15.705882352941176,8.882352941176471,3.4705882352941178,4.176470588235294,3.6470588235294117,3.235294117647059,35.705882352941174,17.352941176470587,2.9411764705882355,2.3455882352941178,29.294117647058822,6.235294117647059,26.294117647058822,344.4117647058824,67.27785420944801
Eibar_5960,43.888888888888886,15.777777777777779,9.055555555555555,3.611111111111111,4.166666666666667,3.7222222222222223,3.1666666666666665,35.22222222222222,17.444444444444443,2.8333333333333335,2.326388888888889,28.61111111111111,6.444444444444445,26.0,350.55555555555554,67.76241786447866
Eibar_5976,44.36842105263158,15.68421052631579,9.263157894736842,3.8421052631578947,4.105263157894737,3.736842105263158,3.1578947368421053,35.31578947368421,17.36842105263158,2.8421052631578947,2.3092105263157894,28.526315789473685,6.578947368421052,25.736842105263158,353.1578947368421,67.72229060845348
