,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
GranadaCF_5717,41.0,15.0,9.0,4.0,3.0,6.0,3.0,25.0,12.0,3.0,2.0,41.0,5.0,23.0,245.0,65.3061224489796
GranadaCF_5737,37.0,15.0,10.5,3.5,4.0,3.5,3.0,18.5,9.0,6.0,3.0,39.0,11.0,21.0,269.5,69.21768707482994
GranadaCF_5743,42.666666666666664,16.666666666666668,13.0,3.3333333333333335,6.0,3.3333333333333335,3.0,22.0,12.0,5.333333333333333,3.6666666666666665,41.0,10.666666666666666,20.666666666666668,297.6666666666667,72.22798724009378
GranadaCF_5767,42.5,15.75,13.25,4.0,5.75,2.75,4.25,26.25,13.5,5.0,3.0,41.25,10.0,20.75,284.25,69.43738387269329
GranadaCF_5780,42.6,16.4,12.4,4.2,5.4,3.4,4.6,28.8,14.4,4.6,2.4,39.8,10.2,21.8,281.6,68.16983329741662
GranadaCF_5786,45.166666666666664,16.0,11.666666666666666,3.8333333333333335,5.333333333333333,3.0,4.333333333333333,32.333333333333336,16.5,3.8333333333333335,2.1666666666666665,35.0,9.5,23.5,307.0,69.47486108118052
GranadaCF_5807,46.857142857142854,16.571428571428573,11.571428571428571,3.857142857142857,5.142857142857143,3.142857142857143,4.571428571428571,31.857142857142858,15.857142857142858,4.0,2.2857142857142856,33.285714285714285,9.142857142857142,23.428571428571427,313.42857142857144,70.97845235529759
GranadaCF_5821,47.0,17.875,11.125,3.75,4.875,2.875,4.25,32.75,16.625,4.0,2.25,32.625,9.0,23.875,322.625,70.60614581088538
GranadaCF_5839,46.22222222222222,18.22222222222222,11.11111111111111,3.7777777777777777,4.777777777777778,3.0,4.555555555555555,31.333333333333332,16.11111111111111,3.6666666666666665,2.3333333333333335,32.333333333333336,8.333333333333334,22.77777777777778,322.3333333333333,70.67768516523145
GranadaCF_5849,45.0,18.3,10.4,3.8,4.6,2.7,4.5,29.3,15.1,3.7,2.2,31.9,8.4,22.5,321.8,71.2099166487083
GranadaCF_5858,45.18181818181818,18.181818181818183,9.818181818181818,3.5454545454545454,4.454545454545454,2.6363636363636362,4.454545454545454,29.636363636363637,14.636363636363637,3.5454545454545454,2.0,30.545454545454547,8.090909090909092,22.363636363636363,322.72727272727275,70.73628786246209
GranadaCF_5870,45.083333333333336,17.583333333333332,9.583333333333334,3.4166666666666665,4.333333333333333,2.4166666666666665,4.333333333333333,29.583333333333332,14.583333333333334,3.6666666666666665,2.0,30.416666666666668,8.0,22.75,326.5,71.00826387392358
GranadaCF_5885,45.61538461538461,17.615384615384617,9.692307692307692,3.3076923076923075,4.6923076923076925,3.230769230769231,4.153846153846154,29.46153846153846,14.384615384615385,3.6153846153846154,2.1538461538461537,29.923076923076923,7.846153846153846,24.153846153846153,330.84615384615387,71.16147434516023
GranadaCF_5899,44.857142857142854,17.214285714285715,9.642857142857142,3.2142857142857144,4.714285714285714,3.4285714285714284,4.071428571428571,29.285714285714285,14.285714285714286,3.5,2.142857142857143,29.357142857142858,8.142857142857142,23.857142857142858,330.7142857142857,71.00708332050593
GranadaCF_5906,45.666666666666664,17.333333333333332,9.6,3.2666666666666666,4.733333333333333,3.466666666666667,4.266666666666667,29.8,14.4,3.4,2.066666666666667,28.866666666666667,8.066666666666666,23.666666666666668,337.0,71.67327776580554
GranadaCF_5934,45.8125,17.125,9.5625,3.1875,4.6875,3.3125,4.3125,29.875,14.25,3.1875,2.125,29.5,8.1875,23.3125,339.3125,71.88119790544269
GranadaCF_5948,45.76470588235294,16.941176470588236,9.647058823529411,3.0,4.882352941176471,3.235294117647059,4.352941176470588,30.176470588235293,14.411764705882353,3.1875,2.176470588235294,28.88235294117647,8.588235294117647,23.058823529411764,342.94117647058823,72.18230391100488
GranadaCF_5956,45.44444444444444,16.833333333333332,9.722222222222221,3.0,4.833333333333333,3.2777777777777777,4.277777777777778,30.555555555555557,14.555555555555555,3.1215277777777777,2.2777777777777777,28.166666666666668,8.277777777777779,23.22222222222222,340.3888888888889,72.06106480483794
GranadaCF_5969,45.63157894736842,16.526315789473685,9.736842105263158,3.1578947368421053,4.684210526315789,3.3157894736842106,4.105263157894737,30.157894736842106,14.263157894736842,3.2203947368421053,2.263157894736842,28.05263157894737,8.368421052631579,22.63157894736842,338.1578947368421,72.00521928879384
