,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RCDEspanyol_5715,42.0,20.0,4.0,2.0,2.0,3.0,6.0,33.0,18.0,1.0,0.0,29.0,1.0,21.0,352.0,72.44318181818181
RCDEspanyol_5737,47.0,18.0,11.0,4.0,3.0,4.5,4.5,32.0,18.0,1.0,4.0,30.0,2.0,17.5,369.0,75.2215909090909
RCDEspanyol_5745,48.333333333333336,15.666666666666666,9.666666666666666,3.6666666666666665,2.6666666666666665,4.666666666666667,4.666666666666667,31.333333333333332,17.333333333333332,1.3333333333333333,3.3333333333333335,26.333333333333332,3.0,20.666666666666668,391.0,77.733934169279
RCDEspanyol_5765,47.25,17.0,10.5,3.75,3.0,4.25,4.5,29.0,15.0,2.25,3.5,27.25,4.5,20.25,373.0,75.6985697492163
RCDEspanyol_5771,44.4,15.8,10.0,3.6,2.8,4.4,4.2,28.2,13.6,2.6,3.4,27.8,4.2,22.2,350.6,73.9688174851968
RCDEspanyol_5787,46.333333333333336,17.333333333333332,9.0,3.1666666666666665,2.5,4.5,4.5,30.833333333333332,15.166666666666666,2.6,3.3333333333333335,27.166666666666668,5.5,23.166666666666668,354.1666666666667,73.80734790433065
RCDEspanyol_5807,46.57142857142857,18.571428571428573,8.428571428571429,2.7142857142857144,2.7142857142857144,4.142857142857143,4.428571428571429,30.428571428571427,15.0,2.942857142857143,3.0,28.285714285714285,5.571428571428571,22.142857142857142,364.2857142857143,74.1205839179977
RCDEspanyol_5821,46.875,19.125,8.125,2.625,2.75,4.75,4.125,32.25,16.75,2.825,2.75,28.875,5.5,20.875,365.125,73.730510928248
RCDEspanyol_5839,48.0,18.77777777777778,8.555555555555555,2.4444444444444446,3.0,4.888888888888889,4.0,30.666666666666668,15.444444444444445,3.4000000000000004,3.111111111111111,28.22222222222222,6.333333333333333,20.22222222222222,383.22222222222223,75.11314776113626
RCDEspanyol_5850,48.0,18.4,8.4,2.6,2.9,4.6,3.8,31.4,15.8,3.46,2.9,29.1,6.6,20.1,382.4,74.50183298502263
RCDEspanyol_5857,49.45454545454545,17.90909090909091,8.818181818181818,2.909090909090909,3.272727272727273,4.818181818181818,3.6363636363636362,30.727272727272727,15.272727272727273,3.2363636363636363,2.6363636363636362,29.90909090909091,6.818181818181818,20.363636363636363,397.09090909090907,75.36530271365694
RCDEspanyol_5884,48.833333333333336,18.0,9.666666666666666,3.1666666666666665,4.083333333333333,5.166666666666667,3.5833333333333335,30.916666666666668,14.916666666666666,3.1333333333333333,2.6666666666666665,29.833333333333332,7.0,20.416666666666668,388.1666666666667,74.75152748751886
RCDEspanyol_5898,49.15384615384615,17.692307692307693,9.846153846153847,3.6153846153846154,4.0,4.923076923076923,3.3846153846153846,30.384615384615383,14.923076923076923,3.123076923076923,2.6153846153846154,30.76923076923077,7.3076923076923075,20.53846153846154,386.53846153846155,74.77064075770971
RCDEspanyol_5914,49.857142857142854,17.857142857142858,9.857142857142858,3.5,4.071428571428571,5.142857142857143,3.357142857142857,30.428571428571427,15.142857142857142,2.9,2.642857142857143,31.142857142857142,7.214285714285714,21.357142857142858,387.5,74.9298807035876
RCDEspanyol_5934,49.0,17.666666666666668,9.533333333333333,3.3333333333333335,4.066666666666666,4.866666666666666,3.4,30.733333333333334,15.333333333333334,2.9733333333333336,2.466666666666667,30.466666666666665,7.266666666666667,21.866666666666667,381.4,74.33455532334843
RCDEspanyol_5946,49.0625,17.3125,9.5625,3.25,4.0,4.9375,3.1875,31.5625,16.0,2.9125,2.625,30.75,7.1875,21.5625,380.125,74.25114561563915
RCDEspanyol_5953,48.588235294117645,16.823529411764707,9.352941176470589,3.2941176470588234,3.8823529411764706,4.9411764705882355,3.235294117647059,30.647058823529413,15.294117647058824,3.0352941176470587,2.588235294117647,31.0,7.117647058823529,21.470588235294116,378.1764705882353,74.47166646177801
RCDEspanyol_5969,47.5,17.27777777777778,9.055555555555555,3.1666666666666665,3.7777777777777777,4.666666666666667,3.4444444444444446,29.72222222222222,14.833333333333334,2.977777777777778,2.5,31.38888888888889,7.055555555555555,21.27777777777778,372.8333333333333,74.11212943612368
