,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
RayoVallecano_5716,40.0,11.0,3.0,0.0,2.0,4.0,2.0,25.0,16.0,4.0,1.0,21.0,8.0,23.0,349.0,69.91404011461319
RayoVallecano_5738,45.5,15.0,10.0,2.5,5.0,4.5,3.5,40.0,22.0,3.0,2.0,26.0,8.0,23.5,356.0,69.39228176529558
RayoVallecano_5744,47.0,16.0,12.666666666666666,3.3333333333333335,6.333333333333333,4.666666666666667,3.6666666666666665,36.333333333333336,19.333333333333332,3.6666666666666665,2.6666666666666665,26.0,8.333333333333334,22.333333333333332,373.3333333333333,72.65041006575261
RayoVallecano_5765,49.5,15.75,15.0,4.5,6.5,6.0,3.25,31.75,15.25,3.75,3.75,27.5,9.25,20.5,406.75,75.3951053796892
RayoVallecano_5780,52.0,14.8,13.2,4.0,6.0,6.0,3.2,35.6,16.6,3.2,3.0,26.2,8.6,24.2,419.8,75.11608430375136
RayoVallecano_5802,53.833333333333336,14.833333333333334,12.333333333333334,4.0,5.5,6.166666666666667,3.3333333333333335,35.0,16.5,3.8333333333333335,2.6666666666666665,25.666666666666668,8.0,24.333333333333332,424.0,75.70535115200254
RayoVallecano_5815,53.857142857142854,14.714285714285714,11.714285714285714,4.0,5.0,5.857142857142857,3.4285714285714284,34.142857142857146,16.428571428571427,3.7142857142857144,2.5714285714285716,25.571428571428573,7.857142857142857,25.857142857142858,419.0,76.0331581302879
RayoVallecano_5829,53.375,14.375,11.375,4.0,4.5,5.625,3.5,31.5,15.25,3.875,2.75,24.375,7.375,25.75,423.25,77.27901336400191
RayoVallecano_5849,53.666666666666664,14.444444444444445,11.222222222222221,4.0,4.333333333333333,5.555555555555555,3.2222222222222223,33.44444444444444,15.11111111111111,3.6666666666666665,2.7777777777777777,24.77777777777778,7.111111111111111,27.333333333333332,422.22222222222223,76.80356743466837
RayoVallecano_5857,53.2,15.0,11.9,4.4,4.4,5.9,3.2,33.1,15.0,3.6,3.0,26.2,6.9,26.4,417.6,76.72321069120153
RayoVallecano_5872,52.72727272727273,15.0,11.454545454545455,4.2727272727272725,4.090909090909091,5.7272727272727275,3.2,33.63636363636363,14.909090909090908,3.5454545454545454,3.0,25.90909090909091,6.909090909090909,27.272727272727273,414.09090909090907,75.56655517381957
RayoVallecano_5883,53.5,14.75,11.916666666666666,4.25,4.666666666666667,5.833333333333333,3.266666666666667,32.333333333333336,14.5,3.5,3.0833333333333335,26.083333333333332,7.25,27.0,424.6666666666667,76.1860089093346
RayoVallecano_5898,54.0,14.76923076923077,11.76923076923077,4.230769230769231,4.769230769230769,6.0,3.246153846153846,32.0,14.384615384615385,3.3846153846153846,3.0,26.23076923076923,7.153846153846154,26.923076923076923,424.61538461538464,76.24862360861655
RayoVallecano_5907,54.92857142857143,14.785714285714286,11.428571428571429,4.0,4.857142857142857,5.785714285714286,3.2285714285714286,32.07142857142857,14.571428571428571,3.5714285714285716,2.9285714285714284,25.714285714285715,7.142857142857143,27.571428571428573,431.42857142857144,76.6594362080011
RayoVallecano_5919,55.4,14.4,12.133333333333333,4.133333333333334,5.266666666666667,6.2,3.3466666666666667,31.733333333333334,14.4,3.3333333333333335,3.066666666666667,25.4,7.466666666666667,27.866666666666667,436.46666666666664,77.34880712746768
RayoVallecano_5941,55.3125,14.375,12.125,4.125,5.25,6.125,3.325,31.5625,14.125,3.5,3.0625,25.5,7.25,27.9375,441.0,77.51450668200096
RayoVallecano_5951,54.94117647058823,14.294117647058824,12.058823529411764,4.117647058823529,5.176470588235294,6.176470588235294,3.3058823529411767,32.8235294117647,14.529411764705882,3.4705882352941178,3.0588235294117645,25.41176470588235,7.235294117647059,26.941176470588236,435.52941176470586,77.36659452423619
RayoVallecano_5961,55.05555555555556,14.166666666666666,12.333333333333334,4.166666666666667,5.555555555555555,6.222222222222222,3.177777777777778,33.166666666666664,14.88888888888889,3.5555555555555554,3.1666666666666665,25.5,7.277777777777778,26.77777777777778,438.8888888888889,77.23511705066751
RayoVallecano_5969,55.36842105263158,14.052631578947368,12.631578947368421,4.2105263157894735,5.684210526315789,6.473684210526316,3.0631578947368423,33.8421052631579,15.210526315789474,3.526315789473684,3.263157894736842,25.842105263157894,7.2105263157894735,26.94736842105263,442.0,77.53853194273765
