,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Valencia_5709,43.0,11.0,10.0,4.0,4.0,3.0,1.0,41.0,22.0,3.0,2.0,24.0,10.0,36.0,333.0,69.36936936936937
Valencia_5730,51.0,11.0,13.5,3.5,5.5,4.5,2.0,41.0,23.5,5.5,4.5,25.0,12.0,27.5,445.0,76.15685703656979
Valencia_5740,50.666666666666664,12.0,12.333333333333334,3.6666666666666665,5.0,5.0,3.6666666666666665,35.666666666666664,21.0,5.0,3.6666666666666665,31.333333333333332,9.666666666666666,25.333333333333332,420.0,77.25772451086634
Valencia_5752,49.5,11.25,11.5,3.75,4.5,4.75,3.5,33.0,18.75,4.75,3.25,30.25,10.25,23.0,425.0,78.22738429224067
Valencia_5773,49.8,11.0,10.4,3.2,4.2,4.2,3.6,34.0,18.6,5.0,3.0,32.0,9.8,22.8,426.8,78.06577840153447
Valencia_5786,48.833333333333336,13.666666666666666,9.833333333333334,3.5,3.8333333333333335,4.333333333333333,3.5,32.833333333333336,18.166666666666668,4.5,2.8333333333333335,32.666666666666664,8.833333333333334,21.833333333333332,403.0,76.55481533461206
Valencia_5808,47.285714285714285,14.571428571428571,8.428571428571429,3.0,3.2857142857142856,3.7142857142857144,3.857142857142857,32.0,17.0,4.428571428571429,2.4285714285714284,33.42857142857143,9.0,21.285714285714285,390.57142857142856,76.18984171538177
Valencia_5822,47.5,14.5,8.0,2.75,3.25,3.5,4.0,32.625,17.125,4.375,2.375,35.0,9.5,21.625,387.5,75.41611150095905
Valencia_5840,47.666666666666664,14.88888888888889,7.888888888888889,2.6666666666666665,3.3333333333333335,3.7777777777777777,3.888888888888889,31.333333333333332,16.555555555555557,4.111111111111111,2.2222222222222223,32.77777777777778,9.222222222222221,21.88888888888889,386.3333333333333,75.81432133418582
Valencia_5850,47.9,14.7,8.1,2.7,3.6,4.0,3.9,31.6,16.4,4.2,2.1,32.2,9.0,21.6,391.5,75.83288920076724
Valencia_5864,48.27272727272727,14.181818181818182,8.272727272727273,2.727272727272727,3.727272727272727,4.181818181818182,3.8181818181818183,31.363636363636363,16.363636363636363,3.909090909090909,2.090909090909091,31.272727272727273,9.181818181818182,22.181818181818183,395.45454545454544,76.02989927342476
Valencia_5878,48.916666666666664,14.583333333333334,7.75,2.6666666666666665,3.75,4.25,4.083333333333333,33.916666666666664,18.166666666666668,3.6666666666666665,2.0,31.583333333333332,9.333333333333334,22.333333333333332,396.25,75.52740766730604
Valencia_5892,48.69230769230769,14.846153846153847,7.923076923076923,2.923076923076923,3.5384615384615383,4.153846153846154,4.0,33.69230769230769,18.076923076923077,3.6153846153846154,2.076923076923077,31.46153846153846,9.076923076923077,22.615384615384617,396.84615384615387,75.71760707751326
Valencia_5902,49.142857142857146,14.928571428571429,8.0,3.0714285714285716,3.5714285714285716,4.214285714285714,4.071428571428571,34.142857142857146,18.285714285714285,3.357142857142857,2.357142857142857,31.428571428571427,9.071428571428571,23.071428571428573,398.7142857142857,75.52349228626233
Valencia_5913,49.46666666666667,15.0,7.866666666666666,2.933333333333333,3.533333333333333,3.933333333333333,4.066666666666666,34.4,17.8,3.466666666666667,2.3333333333333335,31.4,8.8,23.133333333333333,401.6,75.4885928005115
Valencia_5933,48.75,15.125,7.8125,3.0,3.375,3.8125,4.0625,33.6875,17.5625,3.5,2.3125,32.25,8.5,22.6875,396.625,75.27055575047953
Valencia_5948,47.94117647058823,15.117647058823529,7.764705882352941,2.9411764705882355,3.3529411764705883,3.7058823529411766,4.0,32.8235294117647,16.941176470588236,3.6470588235294117,2.2941176470588234,32.411764705882355,8.294117647058824,22.0,390.0,74.9016995298631
Valencia_5955,48.22222222222222,14.944444444444445,7.611111111111111,3.0,3.2222222222222223,3.611111111111111,3.8333333333333335,31.666666666666668,16.333333333333332,3.9444444444444446,2.294117647058824,32.166666666666664,8.555555555555555,21.77777777777778,396.1666666666667,75.51827177820402
Valencia_5969,48.21052631578947,14.736842105263158,8.105263157894736,3.263157894736842,3.4210526315789473,3.8421052631578947,3.8421052631578947,30.63157894736842,15.789473684210526,4.0,2.278637770897833,31.63157894736842,8.894736842105264,21.526315789473685,406.36842105263156,76.28046800040381
