,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AtleticoMadrid_5709,58.0,11.0,14.0,3.0,8.0,4.0,2.0,38.0,12.0,1.0,3.0,21.0,11.0,24.0,614.0,84.36482084690553
AtleticoMadrid_5730,44.0,14.0,12.5,3.0,6.5,2.5,2.5,27.5,10.5,2.0,3.0,30.5,7.5,21.0,465.0,80.79000536016163
AtleticoMadrid_5740,47.333333333333336,14.0,12.333333333333334,3.0,6.333333333333333,3.6666666666666665,2.6666666666666665,25.333333333333332,12.0,2.0,3.0,34.0,8.333333333333334,23.666666666666668,472.6666666666667,81.72885603245749
AtleticoMadrid_5752,47.75,15.25,13.75,3.25,6.5,4.0,3.5,27.25,14.0,1.75,4.0,33.75,9.75,23.5,471.75,82.0322497002493
AtleticoMadrid_5773,48.0,17.4,14.2,4.2,6.2,5.0,3.6,29.4,15.2,1.4,3.8,35.0,9.8,24.0,463.0,81.18654742375084
AtleticoMadrid_5787,52.166666666666664,16.833333333333332,14.333333333333334,4.0,6.5,5.0,3.6666666666666665,33.833333333333336,17.166666666666668,1.5,3.8333333333333335,34.0,9.666666666666666,26.166666666666668,485.6666666666667,81.32212285312569
AtleticoMadrid_5807,52.142857142857146,16.714285714285715,15.285714285714286,4.285714285714286,7.285714285714286,5.142857142857143,3.142857142857143,33.0,16.714285714285715,1.2857142857142858,3.7142857142857144,32.42857142857143,10.142857142857142,27.285714285714285,483.0,80.99039101696488
AtleticoMadrid_5822,51.5,16.25,14.375,4.25,6.625,4.875,2.875,33.5,16.875,1.625,3.5,32.0,10.875,28.0,479.0,80.11659213984427
AtleticoMadrid_5842,52.0,15.777777777777779,14.555555555555555,4.0,7.0,5.777777777777778,2.5555555555555554,33.666666666666664,16.77777777777778,1.5555555555555556,3.5555555555555554,33.77777777777778,11.11111111111111,27.77777777777778,476.55555555555554,80.21474856875047
AtleticoMadrid_5864,53.8,15.4,15.2,3.9,7.5,6.0,2.7,34.5,17.1,1.5,3.6,32.6,11.2,27.1,480.4,80.49327371187542
AtleticoMadrid_5877,53.72727272727273,15.363636363636363,15.0,3.909090909090909,7.363636363636363,5.909090909090909,2.6363636363636362,35.90909090909091,17.90909090909091,1.4545454545454546,3.5454545454545454,32.18181818181818,11.0,27.09090909090909,474.1818181818182,79.35752155625038
AtleticoMadrid_5892,54.25,15.0,14.75,3.8333333333333335,7.333333333333333,6.25,2.5833333333333335,36.5,18.166666666666668,1.3333333333333333,3.4166666666666665,31.666666666666668,11.166666666666666,27.416666666666668,479.5833333333333,79.16106142656285
AtleticoMadrid_5901,54.15384615384615,15.307692307692308,14.76923076923077,4.230769230769231,7.076923076923077,6.384615384615385,2.4615384615384617,35.46153846153846,17.76923076923077,1.3076923076923077,3.3846153846153846,32.0,11.0,27.23076923076923,486.2307692307692,79.45636439375032
AtleticoMadrid_5912,54.0,15.071428571428571,14.785714285714286,4.428571428571429,6.928571428571429,6.642857142857143,2.357142857142857,34.642857142857146,17.714285714285715,1.3571428571428572,3.357142857142857,31.5,10.928571428571429,27.285714285714285,485.64285714285717,79.56662407991101
AtleticoMadrid_5933,53.733333333333334,15.0,15.066666666666666,4.933333333333334,6.8,6.533333333333333,2.2666666666666666,34.333333333333336,17.8,1.5333333333333334,3.2666666666666666,31.666666666666668,11.0,27.266666666666666,481.8666666666667,79.39551580791695
AtleticoMadrid_5948,53.8125,15.0625,14.625,4.8125,6.625,6.375,2.3125,34.375,17.8125,1.5333333333333334,3.125,32.375,10.8125,26.8125,483.25,79.37079606992214
AtleticoMadrid_5954,53.529411764705884,14.529411764705882,14.588235294117647,4.764705882352941,6.705882352941177,6.588235294117647,2.3529411764705883,34.1764705882353,17.705882352941178,1.6784313725490196,3.1176470588235294,32.470588235294116,10.882352941176471,27.11764705882353,476.05882352941177,78.81957277169143
AtleticoMadrid_5961,52.94444444444444,14.5,14.555555555555555,4.888888888888889,6.722222222222222,6.5,2.2777777777777777,34.44444444444444,17.72222222222222,1.751851851851852,3.111111111111111,32.388888888888886,10.666666666666666,27.0,466.5,77.88515206215301
AtleticoMadrid_5975,52.526315789473685,14.578947368421053,14.421052631578947,4.894736842105263,6.631578947368421,6.368421052631579,2.3684210526315788,33.63157894736842,17.31578947368421,1.870175438596491,3.0526315789473686,32.578947368421055,10.947368421052632,26.736842105263158,465.57894736842104,77.89119669046075
