,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Getafe_5717,59.0,16.0,16.0,4.0,6.0,6.0,5.0,25.0,13.0,2.0,5.0,21.0,11.0,33.0,369.0,78.31978319783198
Getafe_5736,53.5,17.0,13.0,4.0,5.5,5.0,5.0,26.0,14.5,2.5,3.0,20.5,8.0,29.0,333.0,73.84002627905068
Getafe_5745,55.0,15.0,13.666666666666666,5.333333333333333,5.333333333333333,4.666666666666667,4.0,30.0,14.333333333333334,2.6666666666666665,2.6666666666666665,21.666666666666668,6.333333333333333,30.666666666666668,382.3333333333333,75.1449101042597
Getafe_5766,52.75,15.75,13.75,5.75,5.25,4.75,3.5,27.5,13.25,2.75,2.5,23.25,6.75,27.75,381.75,76.35868257819477
Getafe_5779,48.0,14.6,12.2,4.8,5.0,4.4,3.4,24.8,12.0,3.0,2.4,25.4,7.4,26.0,362.6,75.42261039822014
Getafe_5802,46.166666666666664,15.5,12.666666666666666,5.333333333333333,5.0,4.5,3.6666666666666665,26.0,12.666666666666666,3.0,2.3333333333333335,25.833333333333332,7.666666666666667,26.0,345.6666666666667,73.45243075969175
Getafe_5808,45.57142857142857,14.857142857142858,12.428571428571429,5.285714285714286,4.714285714285714,4.714285714285714,3.7142857142857144,25.0,12.428571428571429,2.5714285714285716,2.4285714285714284,25.571428571428573,7.428571428571429,25.285714285714285,339.7142857142857,72.81636922259294
Getafe_5820,44.625,14.875,12.0,5.25,4.375,4.75,3.625,24.75,12.25,2.875,2.375,24.625,6.625,26.0,335.625,72.33932306976882
Getafe_5839,45.333333333333336,14.222222222222221,12.333333333333334,5.222222222222222,4.444444444444445,5.222222222222222,3.5555555555555554,24.666666666666668,12.444444444444445,2.888888888888889,2.6666666666666665,23.444444444444443,6.777777777777778,26.555555555555557,338.55555555555554,72.28197655311557
Getafe_5849,46.1,14.7,11.9,5.0,4.4,5.5,3.3,25.0,12.7,2.8,2.5,23.5,7.4,26.5,343.2,72.65377889780402
Getafe_5857,45.18181818181818,14.454545454545455,12.454545454545455,4.909090909090909,4.909090909090909,5.2727272727272725,3.1818181818181817,24.90909090909091,12.818181818181818,3.0,2.6363636363636362,23.636363636363637,8.090909090909092,25.727272727272727,340.3636363636364,72.86707172527638
Getafe_5870,46.25,14.333333333333334,12.333333333333334,4.75,5.0,5.416666666666667,3.25,25.5,12.666666666666666,2.9166666666666665,2.5833333333333335,23.916666666666668,8.75,25.416666666666668,348.75,72.79481574817001
Getafe_5885,47.0,13.923076923076923,12.0,4.461538461538462,5.0,5.384615384615385,3.1538461538461537,24.53846153846154,12.076923076923077,2.8461538461538463,2.8461538461538463,24.692307692307693,8.923076923076923,25.53846153846154,365.84615384615387,73.96444530600309
Getafe_5898,47.42857142857143,13.714285714285714,12.142857142857142,4.285714285714286,5.5,5.285714285714286,3.142857142857143,23.857142857142858,11.928571428571429,2.7857142857142856,2.9285714285714284,24.785714285714285,9.142857142857142,25.071428571428573,368.57142857142856,73.8955563555743
Getafe_5905,47.6,13.6,12.066666666666666,4.333333333333333,5.533333333333333,5.6,3.2,23.333333333333332,11.6,2.8,3.0,24.733333333333334,9.2,24.8,366.46666666666664,73.56918593186934
Getafe_5918,47.0,13.5,11.8125,4.3125,5.4375,5.4375,3.125,23.9375,11.8125,2.9375,2.8125,25.8125,9.4375,24.6875,363.9375,72.72111181112751
Getafe_5947,46.470588235294116,13.294117647058824,11.823529411764707,4.352941176470588,5.352941176470588,5.411764705882353,3.176470588235294,23.058823529411764,11.294117647058824,3.1176470588235294,2.823529411764706,26.11764705882353,9.588235294117647,24.235294117647058,360.5882352941176,73.1492817045906
Getafe_5955,46.5,13.333333333333334,12.166666666666666,4.722222222222222,5.444444444444445,5.555555555555555,3.2222222222222223,22.444444444444443,11.0,3.0555555555555554,2.8235294117647056,26.166666666666668,9.444444444444445,24.22222222222222,358.05555555555554,73.41876605433556
Getafe_5969,46.68421052631579,13.421052631578947,12.526315789473685,4.947368421052632,5.526315789473684,5.631578947368421,3.210526315789474,22.31578947368421,11.157894736842104,3.0,2.8328173374613,25.94736842105263,9.578947368421053,25.105263157894736,359.2105263157895,73.71251520937054
