,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
LasPalmas_5717,63.0,14.0,16.0,2.0,10.0,3.0,2.0,50.0,32.0,2.0,4.0,27.0,10.0,31.0,553.0,78.30018083182641
LasPalmas_5738,56.0,13.5,12.0,2.0,8.0,3.0,2.5,52.5,29.5,3.0,2.0,27.5,8.0,32.0,468.5,72.22300708257987
LasPalmas_5741,52.0,12.0,12.0,2.6666666666666665,6.333333333333333,3.6666666666666665,2.6666666666666665,51.0,25.0,3.0,3.0,28.666666666666668,7.666666666666667,28.333333333333332,423.3333333333333,70.9714942112094
LasPalmas_5751,54.75,10.25,13.5,3.0,7.5,3.5,2.5,47.75,23.75,2.75,3.0,25.25,8.75,27.5,460.25,73.412508574344
LasPalmas_5773,55.6,10.6,12.0,2.8,6.2,4.0,2.2,45.8,21.6,2.2,3.0,23.8,8.6,28.6,474.2,74.50359176513558
LasPalmas_5785,53.5,11.666666666666666,11.333333333333334,3.0,5.666666666666667,3.3333333333333335,2.0,44.166666666666664,20.166666666666668,2.8333333333333335,2.6666666666666665,25.0,8.5,28.166666666666668,461.8333333333333,74.75299313761299
LasPalmas_5807,54.857142857142854,12.0,10.857142857142858,3.2857142857142856,5.142857142857143,3.7142857142857144,2.2857142857142856,41.57142857142857,18.714285714285715,3.0,2.4285714285714284,25.142857142857142,7.857142857142857,27.428571428571427,484.2857142857143,76.21685126081113
LasPalmas_5821,56.125,11.75,11.5,3.375,5.375,3.5,2.375,40.75,19.0,2.875,2.75,24.625,8.25,28.375,500.125,76.81474485320973
LasPalmas_5839,56.55555555555556,11.0,11.0,3.4444444444444446,5.0,3.5555555555555554,2.3333333333333335,38.44444444444444,17.77777777777778,2.888888888888889,2.5555555555555554,24.555555555555557,8.555555555555555,29.22222222222222,498.55555555555554,77.08178509128474
LasPalmas_5850,56.8,12.0,10.4,3.4,4.7,3.4,2.6,37.6,17.9,2.8,2.3,24.6,8.1,28.7,502.5,77.77360658215626
LasPalmas_5857,57.0,11.545454545454545,10.454545454545455,3.3636363636363638,4.7272727272727275,3.3636363636363638,2.3636363636363638,36.63636363636363,17.272727272727273,2.727272727272727,2.3636363636363638,24.363636363636363,8.636363636363637,28.727272727272727,515.6363636363636,78.43055143832387
LasPalmas_5871,57.083333333333336,11.666666666666666,10.666666666666666,3.5,4.666666666666667,3.6666666666666665,2.6666666666666665,35.833333333333336,17.0,2.5833333333333335,2.5,25.083333333333332,8.833333333333334,28.166666666666668,513.5833333333334,78.56133881846355
LasPalmas_5891,56.30769230769231,11.538461538461538,10.846153846153847,3.4615384615384617,5.0,3.6153846153846154,2.5384615384615383,34.07692307692308,16.153846153846153,2.8461538461538463,2.6153846153846154,25.153846153846153,8.538461538461538,26.76923076923077,511.9230769230769,79.13354352473559
LasPalmas_5901,56.357142857142854,12.142857142857142,11.0,3.7142857142857144,5.071428571428571,3.5,2.7142857142857144,33.357142857142854,16.0,2.7857142857142856,2.5714285714285716,25.642857142857142,8.642857142857142,25.785714285714285,511.42857142857144,79.5525761301116
LasPalmas_5913,56.06666666666667,12.0,11.266666666666667,3.8666666666666667,5.133333333333334,3.6666666666666665,2.8,32.93333333333333,15.933333333333334,2.7333333333333334,2.6,25.8,8.6,24.8,513.0,79.7157377214375
LasPalmas_5933,56.4375,11.75,11.375,4.0,5.125,3.9375,2.75,32.3125,15.5,2.75,2.5625,25.75,8.875,24.875,515.25,79.98350411384766
LasPalmas_5947,56.11764705882353,11.705882352941176,11.294117647058824,4.0,5.176470588235294,3.8823529411764706,2.7058823529411766,31.823529411764707,15.0,2.6470588235294117,2.411764705882353,25.88235294117647,9.0,24.41176470588235,515.3529411764706,80.1609450483272
LasPalmas_5953,56.27777777777778,11.833333333333334,11.333333333333334,4.166666666666667,5.166666666666667,3.9444444444444446,2.7777777777777777,30.944444444444443,14.833333333333334,2.7777777777777777,2.4444444444444446,26.0,9.5,24.5,518.7222222222222,80.54089254564236
LasPalmas_5969,56.526315789473685,11.68421052631579,10.947368421052632,4.052631578947368,5.0,3.8421052631578947,2.6842105263157894,30.36842105263158,14.578947368421053,2.789473684210526,2.3157894736842106,25.894736842105264,9.368421052631579,24.31578947368421,524.6315789473684,80.82821399060856
