,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AjaccioGfco_5695,47.0,8.0,6.0,1.0,3.0,3.0,4.0,21.0,8.0,4.0,1.0,17.0,0.0,20.0,375.0,77.6
AjaccioGfco_5703,41.0,11.0,7.0,1.5,3.0,2.0,3.5,21.0,7.5,4.5,1.5,27.0,4.0,21.0,353.0,75.50694864048339
AjaccioGfco_5716,43.333333333333336,13.0,8.666666666666666,3.0,3.3333333333333335,2.6666666666666665,3.3333333333333335,27.666666666666668,12.333333333333334,4.333333333333333,1.6666666666666667,28.0,3.6666666666666665,22.333333333333332,359.6666666666667,75.44967264146614
AjaccioGfco_5737,41.25,13.75,8.25,3.0,2.5,2.25,4.0,28.75,12.5,3.5,2.25,25.5,2.75,22.5,345.0,73.28160664056804
AjaccioGfco_5744,43.4,14.0,8.2,2.8,2.4,3.2,4.0,27.6,12.6,4.2,2.6,24.6,3.2,22.4,365.8,74.12639889820053
AjaccioGfco_5765,43.833333333333336,13.833333333333334,7.5,2.3333333333333335,2.5,3.1666666666666665,4.0,26.5,12.666666666666666,4.333333333333333,2.3333333333333335,24.666666666666668,3.6666666666666665,24.0,369.8333333333333,74.16516147499617
AjaccioGfco_5786,43.285714285714285,13.571428571428571,8.0,2.5714285714285716,3.142857142857143,2.857142857142857,3.7142857142857144,28.428571428571427,15.142857142857142,3.857142857142857,2.0,24.714285714285715,3.4285714285714284,23.857142857142858,368.7142857142857,72.88347700224612
AjaccioGfco_5801,44.375,13.625,8.875,2.75,3.25,3.0,3.375,29.75,15.625,3.875,2.625,23.125,3.625,24.5,377.125,73.29139100081858
AjaccioGfco_5811,43.44444444444444,13.555555555555555,8.555555555555555,2.7777777777777777,3.2222222222222223,2.6666666666666665,3.4444444444444446,30.11111111111111,15.555555555555555,4.0,2.625,23.77777777777778,4.111111111111111,23.666666666666668,370.3333333333333,72.03960494024942
AjaccioGfco_5822,43.6,14.6,8.6,2.7,3.6,2.7,3.5,29.9,15.6,3.9,2.7625,25.9,4.4,22.8,375.9,72.58212331946392
AjaccioGfco_5849,44.0,15.181818181818182,8.727272727272727,2.6363636363636362,3.909090909090909,2.5454545454545454,3.4545454545454546,30.09090909090909,15.545454545454545,3.727272727272727,2.602272727272727,25.363636363636363,4.181818181818182,22.454545454545453,379.45454545454544,72.16556665405811
AjaccioGfco_5862,44.0,15.166666666666666,8.666666666666666,2.5833333333333335,3.9166666666666665,2.5,3.4166666666666665,30.583333333333332,15.166666666666666,3.5833333333333335,2.5520833333333335,26.583333333333332,3.9166666666666665,23.0,382.0833333333333,72.23510276621992
AjaccioGfco_5874,44.23076923076923,15.384615384615385,8.307692307692308,2.5384615384615383,3.6923076923076925,2.3846153846153846,3.230769230769231,30.923076923076923,15.76923076923077,3.6923076923076925,2.5096153846153846,25.923076923076923,3.6923076923076925,22.923076923076923,382.46153846153845,72.29394101497225
AjaccioGfco_5891,44.285714285714285,15.571428571428571,8.071428571428571,2.5,3.9285714285714284,2.4285714285714284,3.2857142857142856,32.214285714285715,16.142857142857142,3.5714285714285716,2.4732142857142856,26.214285714285715,3.857142857142857,23.642857142857142,383.0,71.98723094247423
AjaccioGfco_5905,44.86666666666667,15.4,7.866666666666666,2.533333333333333,3.8,2.4,3.2,32.4,16.0,3.466666666666667,2.308333333333333,27.0,4.066666666666666,23.666666666666668,390.8666666666667,72.45474887964262
AjaccioGfco_5920,44.75,15.0625,8.125,2.5,3.9375,2.5625,3.125,32.3125,15.875,3.375,2.4140625,27.6875,4.0,24.1875,390.8125,72.48882707466495
AjaccioGfco_5940,44.88235294117647,15.705882352941176,7.764705882352941,2.411764705882353,3.764705882352941,2.764705882352941,3.235294117647059,33.294117647058826,16.235294117647058,3.235294117647059,2.2720588235294117,27.529411764705884,4.0,24.235294117647058,391.52941176470586,72.28360195262584
AjaccioGfco_5961,44.27777777777778,15.944444444444445,7.611111111111111,2.388888888888889,3.7222222222222223,2.611111111111111,3.1666666666666665,33.388888888888886,16.0,3.0555555555555554,2.1458333333333335,27.5,4.166666666666667,24.333333333333332,385.3333333333333,71.82340184414663
AjaccioGfco_5975,44.421052631578945,15.68421052631579,8.157894736842104,2.4210526315789473,4.0,2.736842105263158,3.0526315789473686,33.473684210526315,16.05263157894737,3.0526315789473686,2.348684210526316,27.473684210526315,4.105263157894737,24.68421052631579,388.10526315789474,71.93795964182311
