,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Monaco_5695,57.0,18.0,19.0,6.0,9.0,10.0,2.0,27.0,11.0,1.0,4.0,19.0,7.0,19.0,450.0,84.22222222222223
Monaco_5709,58.0,19.0,16.5,4.5,7.5,7.5,3.0,28.0,13.0,2.0,4.5,19.0,6.0,26.0,460.5,84.04317055909414
Monaco_5731,53.666666666666664,17.666666666666668,15.333333333333334,5.666666666666667,5.666666666666667,6.333333333333333,3.0,29.333333333333332,14.0,2.6666666666666665,4.0,19.333333333333332,4.666666666666667,24.0,413.0,81.18601307713193
Monaco_5742,53.75,17.75,14.75,5.5,5.5,6.5,2.5,35.25,15.5,2.75,3.75,20.25,6.25,25.5,427.5,80.84704696283833
Monaco_5745,52.8,17.4,13.6,5.0,5.0,5.4,2.6,36.4,14.6,3.2,3.4,21.0,7.6,22.8,416.4,78.70989563478679
Monaco_5773,52.666666666666664,16.5,14.0,4.833333333333333,4.166666666666667,5.333333333333333,2.5,35.5,14.666666666666666,3.5,3.1666666666666665,23.0,6.833333333333333,23.166666666666668,412.6666666666667,78.32423621003807
Monaco_5787,53.285714285714285,16.142857142857142,13.857142857142858,5.0,4.285714285714286,6.0,2.4285714285714284,34.714285714285715,14.571428571428571,3.142857142857143,3.0,24.142857142857142,7.714285714285714,23.857142857142858,428.2857142857143,79.06718878211254
Monaco_5808,51.375,17.0,13.375,5.0,4.25,5.75,2.5,34.375,15.5,3.25,2.75,25.75,7.625,23.875,407.375,77.56501623798832
Monaco_5814,51.333333333333336,16.555555555555557,12.666666666666666,4.666666666666667,4.444444444444445,5.444444444444445,2.3333333333333335,35.55555555555556,16.444444444444443,3.0,2.6666666666666665,24.444444444444443,7.777777777777778,24.77777777777778,404.1111111111111,77.82381219978737
Monaco_5828,52.2,16.6,13.0,4.6,5.2,6.4,2.4,34.5,16.5,2.9,2.8,24.2,7.9,25.6,414.1,78.34143097980864
Monaco_5857,51.54545454545455,16.181818181818183,12.363636363636363,4.545454545454546,4.909090909090909,6.2727272727272725,2.272727272727273,34.18181818181818,16.545454545454547,2.8181818181818183,2.5454545454545454,25.636363636363637,7.818181818181818,25.545454545454547,413.6363636363636,78.40130089073513
Monaco_5870,52.0,15.666666666666666,12.083333333333334,4.5,4.833333333333333,6.166666666666667,2.3333333333333335,33.0,15.916666666666666,3.1666666666666665,2.4166666666666665,25.083333333333332,7.583333333333333,25.333333333333332,422.75,78.86785914984053
Monaco_5885,51.46153846153846,15.307692307692308,11.538461538461538,4.3076923076923075,4.769230769230769,6.153846153846154,2.230769230769231,34.38461538461539,16.307692307692307,3.3846153846153846,2.3846153846153846,24.46153846153846,7.538461538461538,26.153846153846153,414.0769230769231,77.87802383062203
Monaco_5899,51.0,15.285714285714286,11.0,4.071428571428571,4.642857142857143,5.928571428571429,2.142857142857143,34.92857142857143,16.428571428571427,3.4285714285714284,2.357142857142857,24.928571428571427,7.357142857142857,25.571428571428573,410.64285714285717,77.81530784272046
Monaco_5904,51.06666666666667,15.133333333333333,10.866666666666667,4.133333333333334,4.6,5.666666666666667,2.2666666666666666,36.4,16.933333333333334,3.4,2.4,25.066666666666666,7.6,26.266666666666666,411.46666666666664,77.62762065320575
Monaco_5920,50.125,14.5625,10.9375,4.1875,4.5625,5.4375,2.1875,35.75,16.5625,3.4375,2.4375,25.6875,8.6875,25.5625,403.125,77.4633943623804
Monaco_5941,50.1764705882353,14.529411764705882,10.705882352941176,4.176470588235294,4.411764705882353,5.352941176470588,2.176470588235294,34.76470588235294,16.058823529411764,3.235294117647059,2.3529411764705883,26.235294117647058,8.647058823529411,25.0,402.47058823529414,77.78907704694626
Monaco_5955,49.55555555555556,14.777777777777779,10.666666666666666,4.277777777777778,4.388888888888889,5.388888888888889,2.2222222222222223,35.833333333333336,16.22222222222222,3.1666666666666665,2.2222222222222223,26.055555555555557,8.555555555555555,24.666666666666668,397.1666666666667,77.46746165544924
Monaco_5968,49.05263157894737,14.789473684210526,10.68421052631579,4.105263157894737,4.578947368421052,5.315789473684211,2.3684210526315788,35.05263157894737,15.842105263157896,3.473684210526316,2.210526315789474,25.894736842105264,8.894736842105264,24.63157894736842,392.10526315789474,77.60075314726771
