,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Montpellier_5702,50.0,9.0,4.0,0.0,3.0,4.0,1.0,44.0,20.0,1.0,1.0,31.0,5.0,26.0,496.0,76.61290322580645
Montpellier_5716,53.5,9.5,8.5,2.0,4.0,4.5,1.0,34.5,17.5,1.0,2.5,25.5,9.0,27.5,504.0,80.29863911290323
Montpellier_5737,54.666666666666664,14.333333333333334,6.666666666666667,2.0,3.0,4.666666666666667,2.0,43.666666666666664,19.666666666666668,2.0,1.6666666666666667,24.666666666666668,9.333333333333334,29.0,486.6666666666667,79.78611339090304
Montpellier_5750,52.25,14.5,7.25,2.25,3.5,4.0,1.75,42.5,20.75,2.25,1.5,26.25,8.5,28.75,463.25,78.16019573020017
Montpellier_5766,51.0,13.6,7.0,1.8,3.4,3.6,1.8,43.8,21.0,2.4,1.8,25.8,7.6,28.0,445.6,76.76815658416014
Montpellier_5779,50.833333333333336,13.833333333333334,7.0,1.8333333333333333,3.6666666666666665,4.166666666666667,1.8333333333333333,42.166666666666664,20.833333333333332,2.8333333333333335,1.6666666666666667,28.333333333333332,7.666666666666667,28.666666666666668,440.1666666666667,76.4028423512069
Montpellier_5806,48.57142857142857,14.285714285714286,8.0,2.857142857142857,3.857142857142857,3.857142857142857,2.142857142857143,40.0,19.857142857142858,3.0,1.5714285714285714,28.0,9.428571428571429,27.0,424.0,76.23520170077235
Montpellier_5815,46.75,14.0,7.75,2.75,3.875,3.75,2.0,38.0,18.625,3.375,1.5,27.25,9.25,26.75,409.875,75.42766643994429
Montpellier_5827,46.55555555555556,14.11111111111111,8.0,3.111111111111111,3.5555555555555554,4.222222222222222,2.0,37.22222222222222,18.11111111111111,3.4444444444444446,1.6666666666666667,26.555555555555557,8.777777777777779,25.88888888888889,409.6666666666667,75.92481025598534
Montpellier_5856,47.1,13.8,7.6,2.9,3.6,4.3,1.9,37.1,18.4,3.1,1.7,26.3,8.5,26.5,416.9,75.8323292303868
Montpellier_5870,46.54545454545455,13.454545454545455,7.636363636363637,3.0,3.6363636363636362,4.2727272727272725,2.0,37.72727272727273,19.09090909090909,3.090909090909091,1.8181818181818181,25.09090909090909,8.181818181818182,26.727272727272727,406.45454545454544,74.57484475489709
Montpellier_5877,46.75,13.0,8.0,3.0833333333333335,3.6666666666666665,4.0,1.9166666666666667,35.916666666666664,18.25,3.0833333333333335,1.8333333333333333,25.25,8.083333333333334,26.75,415.25,75.27694102532233
Montpellier_5891,47.38461538461539,13.307692307692308,8.384615384615385,3.3076923076923075,3.769230769230769,4.153846153846154,1.8461538461538463,35.92307692307692,18.0,2.923076923076923,1.8461538461538463,25.0,7.769230769230769,26.53846153846154,423.46153846153845,75.40948402337446
Montpellier_5905,46.857142857142854,12.928571428571429,8.142857142857142,3.0714285714285716,3.9285714285714284,4.142857142857143,1.7857142857142858,35.714285714285715,17.857142857142858,3.0714285714285716,1.9285714285714286,24.928571428571427,8.071428571428571,25.857142857142858,421.92857142857144,75.23737802170487
Montpellier_5919,47.333333333333336,12.933333333333334,8.066666666666666,2.933333333333333,3.933333333333333,4.333333333333333,1.8,35.2,17.533333333333335,3.0,1.9333333333333333,24.933333333333334,7.8,25.6,424.8,75.28821948692455
Montpellier_5933,47.8125,13.125,8.3125,3.0,3.9375,4.375,1.8125,35.4375,17.5,2.875,2.0625,25.125,7.75,25.375,424.875,75.58270576899176
Montpellier_5948,47.705882352941174,13.176470588235293,8.470588235294118,3.1176470588235294,3.8823529411764706,4.470588235294118,1.8235294117647058,35.529411764705884,17.764705882352942,2.7058823529411766,2.1176470588235294,24.58823529411765,7.764705882352941,25.235294117647058,422.0,75.54842895905107
Montpellier_5961,47.888888888888886,13.11111111111111,8.555555555555555,3.2777777777777777,4.0,4.722222222222222,1.7777777777777777,35.55555555555556,17.555555555555557,2.8333333333333335,2.111111111111111,24.0,7.777777777777778,25.38888888888889,420.05555555555554,75.35129401688157
Montpellier_5975,48.31578947368421,13.210526315789474,8.631578947368421,3.3157894736842106,4.105263157894737,4.842105263157895,1.736842105263158,35.10526315789474,17.210526315789473,2.9473684210526314,2.0526315789473686,24.0,7.947368421052632,25.736842105263158,428.7894736842105,75.7012259107299
