,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ParisSaintGermain_5694,48.0,16.0,6.0,2.0,2.0,2.0,4.0,22.0,13.0,2.0,2.0,30.0,9.0,21.0,406.0,82.01970443349754
ParisSaintGermain_5708,54.5,12.0,7.5,3.5,2.5,1.5,2.5,23.0,12.5,2.5,1.5,30.0,10.5,23.5,548.5,85.51057580575022
ParisSaintGermain_5717,58.0,12.0,11.333333333333334,5.0,4.666666666666667,1.6666666666666667,2.0,21.666666666666668,12.666666666666666,2.3333333333333335,1.6666666666666667,34.0,10.0,20.0,629.3333333333334,87.68551661386299
ParisSaintGermain_5737,59.25,11.25,12.75,5.25,5.75,3.5,2.0,22.0,13.0,2.25,1.75,30.0,9.25,21.75,634.5,87.80259899885877
ParisSaintGermain_5744,60.2,10.8,13.0,5.6,5.2,4.2,1.8,23.8,13.0,2.0,2.2,29.2,9.2,21.2,639.0,88.08073977747362
ParisSaintGermain_5765,60.5,11.5,13.0,5.5,5.166666666666667,4.0,1.6666666666666667,25.333333333333332,14.333333333333334,2.0,2.3333333333333335,30.166666666666668,9.833333333333334,20.0,648.1666666666666,87.9299152324288
ParisSaintGermain_5778,60.57142857142857,11.428571428571429,13.0,5.285714285714286,5.285714285714286,3.857142857142857,1.6666666666666665,24.857142857142858,13.285714285714286,2.0,2.2857142857142856,30.571428571428573,10.142857142857142,21.142857142857142,658.4285714285714,88.10659400874849
ParisSaintGermain_5800,59.875,11.75,12.375,5.0,5.25,3.625,1.5833333333333333,24.5,12.75,2.25,2.25,31.625,10.0,21.0,659.0,87.95299826444226
ParisSaintGermain_5810,61.22222222222222,11.333333333333334,12.333333333333334,4.777777777777778,5.444444444444445,4.555555555555555,1.5185185185185184,24.11111111111111,12.88888888888889,2.111111111111111,2.2222222222222223,30.444444444444443,9.666666666666666,20.666666666666668,666.4444444444445,88.08249371286817
ParisSaintGermain_5813,61.6,11.4,12.6,4.9,5.4,4.3,1.5666666666666667,24.0,13.3,2.1,2.4,29.6,9.4,19.9,675.5,88.27028132969232
ParisSaintGermain_5828,62.27272727272727,11.363636363636363,13.090909090909092,5.2727272727272725,5.7272727272727275,4.545454545454546,1.6060606060606057,23.818181818181817,13.181818181818182,2.0,2.3636363636363638,29.272727272727273,9.363636363636363,19.363636363636363,684.5454545454545,88.25744050499888
ParisSaintGermain_5856,62.916666666666664,11.166666666666666,13.0,5.166666666666667,5.833333333333333,4.75,1.472222222222222,24.083333333333332,13.25,2.0833333333333335,2.25,28.833333333333332,9.083333333333334,19.0,693.75,88.48598712958231
ParisSaintGermain_5871,62.76923076923077,11.153846153846153,12.923076923076923,5.230769230769231,5.769230769230769,4.846153846153846,1.5128205128205126,24.307692307692307,13.538461538461538,2.230769230769231,2.230769230769231,27.923076923076923,9.076923076923077,18.692307692307693,687.8461538461538,88.37168042730674
ParisSaintGermain_5878,61.857142857142854,11.071428571428571,12.714285714285714,5.071428571428571,5.857142857142857,4.642857142857143,1.476190476190476,24.5,13.785714285714286,2.4285714285714284,2.142857142857143,28.285714285714285,9.285714285714286,18.428571428571427,681.0,88.27370325392769
ParisSaintGermain_5899,61.53333333333333,11.266666666666667,12.2,5.066666666666666,5.466666666666667,4.466666666666667,1.711111111111111,24.466666666666665,13.933333333333334,2.6,2.0,28.6,9.266666666666667,17.933333333333334,674.4666666666667,88.12212303699918
ParisSaintGermain_5913,61.3125,11.0,12.8125,5.6875,5.4375,4.6875,1.6041666666666665,23.25,13.3125,2.625,2.0,28.625,9.875,17.375,675.9375,88.30199034718673
ParisSaintGermain_5940,61.294117647058826,10.941176470588236,12.705882352941176,5.705882352941177,5.411764705882353,4.647058823529412,1.5098039215686274,23.235294117647058,13.235294117647058,2.588235294117647,1.9411764705882353,29.470588235294116,10.294117647058824,17.235294117647058,678.5882352941177,88.40187326794046
ParisSaintGermain_5972,61.388888888888886,10.722222222222221,12.5,5.5,5.444444444444445,4.555555555555555,1.537037037037037,23.666666666666668,13.277777777777779,2.5555555555555554,1.8888888888888888,29.88888888888889,10.944444444444445,17.555555555555557,683.6111111111111,88.32399141972154
ParisSaintGermain_5968,61.78947368421053,10.736842105263158,12.31578947368421,5.526315789473684,5.2631578947368425,4.473684210526316,1.5087719298245612,24.05263157894737,13.631578947368421,2.473684210526316,1.8421052631578947,29.42105263157895,11.210526315789474,17.68421052631579,692.0,88.4648339765783
