,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
AjaccioGfco_5709,66.0,12.0,8.0,3.0,4.0,9.0,2.0,26.0,8.0,3.0,1.0,20.0,3.0,26.0,527.0,79.3168880455408
AjaccioGfco_5731,60.5,14.0,16.0,3.5,9.0,11.5,2.5,29.0,12.0,5.0,3.5,17.0,3.0,23.5,441.5,77.01799458456816
AjaccioGfco_5741,56.666666666666664,11.333333333333334,15.0,3.3333333333333335,8.333333333333334,8.666666666666666,1.6666666666666667,30.666666666666668,13.333333333333334,6.0,3.3333333333333335,21.0,4.0,23.666666666666668,428.3333333333333,77.2159764892146
AjaccioGfco_5751,54.75,12.5,13.0,3.25,6.75,8.0,2.0,30.75,13.75,5.25,3.0,21.0,4.25,23.25,415.5,76.01543064277301
AjaccioGfco_5772,51.8,13.2,13.0,3.8,6.4,7.4,2.2,29.4,14.0,4.4,2.8,20.2,3.4,22.6,395.2,74.44291776262605
AjaccioGfco_5779,50.666666666666664,14.333333333333334,12.0,3.8333333333333335,5.666666666666667,6.5,2.6666666666666665,29.5,14.5,3.6666666666666665,2.5,21.666666666666668,4.166666666666667,23.0,388.8333333333333,73.1001905724965
AjaccioGfco_5807,49.857142857142854,14.0,12.714285714285714,3.7142857142857144,6.571428571428571,6.142857142857143,2.5714285714285716,29.0,14.714285714285714,3.2857142857142856,2.4285714285714284,23.285714285714285,4.571428571428571,21.142857142857142,396.7142857142857,73.98291753060833
AjaccioGfco_5814,50.25,13.625,14.25,4.0,7.25,6.0,2.5,29.75,15.25,3.0,3.0,22.75,4.25,22.875,396.5,73.56416676333292
AjaccioGfco_5829,50.0,14.444444444444445,14.0,4.444444444444445,6.666666666666667,5.888888888888889,2.5555555555555554,31.22222222222222,15.555555555555555,2.7777777777777777,2.888888888888889,23.22222222222222,4.777777777777778,22.555555555555557,394.6666666666667,73.0804289358281
AjaccioGfco_5856,50.5,14.3,14.4,4.4,7.1,5.7,2.5,30.9,15.0,2.9,2.9,24.2,4.7,23.4,405.1,72.97238604224529
AjaccioGfco_5870,51.27272727272727,14.272727272727273,14.545454545454545,4.2727272727272725,7.636363636363637,5.636363636363637,2.5454545454545454,32.09090909090909,15.272727272727273,2.6363636363636362,2.8181818181818183,23.454545454545453,4.7272727272727275,23.90909090909091,412.90909090909093,73.42944185658662
AjaccioGfco_5877,51.916666666666664,14.25,14.75,4.083333333333333,7.833333333333333,5.5,2.4166666666666665,32.5,15.833333333333334,2.4166666666666665,3.0,22.916666666666668,4.5,24.75,423.3333333333333,73.81032170187108
AjaccioGfco_5884,52.23076923076923,14.461538461538462,15.0,4.230769230769231,7.846153846153846,5.923076923076923,2.3846153846153846,33.69230769230769,16.46153846153846,2.230769230769231,3.230769230769231,22.846153846153847,4.461538461538462,25.23076923076923,421.15384615384613,73.67106618634253
AjaccioGfco_5909,51.785714285714285,15.142857142857142,15.071428571428571,4.428571428571429,8.142857142857142,6.0,2.357142857142857,34.785714285714285,17.285714285714285,2.357142857142857,3.2142857142857144,23.5,4.357142857142857,25.142857142857142,415.14285714285717,72.90884717303234
AjaccioGfco_5912,52.266666666666666,14.8,15.066666666666666,4.333333333333333,8.533333333333333,5.866666666666666,2.3571428571428568,35.0,17.266666666666666,2.466666666666667,3.6,23.733333333333334,4.4,25.133333333333333,421.0,73.24825736149685
AjaccioGfco_5933,52.375,14.6875,15.1875,4.375,8.5625,5.9375,2.2723214285714284,34.875,17.125,2.4375,3.5625,23.625,4.375,25.375,423.1875,73.1702412764033
AjaccioGfco_5947,51.76470588235294,14.647058823529411,15.058823529411764,4.352941176470588,8.352941176470589,5.647058823529412,2.3739495798319328,35.0,17.176470588235293,2.411764705882353,3.588235294117647,24.058823529411764,4.294117647058823,25.529411764705884,418.1764705882353,73.10140355426194
AjaccioGfco_5955,51.611111111111114,15.0,14.666666666666666,4.388888888888889,8.055555555555555,5.444444444444445,2.464285714285714,36.888888888888886,18.166666666666668,2.5555555555555554,3.388888888888889,24.38888888888889,4.388888888888889,25.88888888888889,415.94444444444446,72.76243669013627
AjaccioGfco_5968,50.526315789473685,14.68421052631579,14.263157894736842,4.2105263157894735,7.7894736842105265,5.315789473684211,2.387218045112782,36.578947368421055,17.789473684210527,2.526315789473684,3.3684210526315788,24.68421052631579,4.578947368421052,25.57894736842105,409.36842105263156,72.66967686433962
