,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Monaco_5701,58.0,12.0,9.0,3.0,5.0,4.0,1.0,32.0,16.0,2.0,1.0,24.0,8.0,25.0,517.0,83.55899419729207
Monaco_5717,46.5,9.5,6.0,2.5,2.5,3.5,0.5,25.5,11.0,3.5,1.0,21.0,14.5,19.5,413.5,81.77949709864603
Monaco_5738,50.666666666666664,10.0,8.333333333333334,3.6666666666666665,3.3333333333333335,3.3333333333333335,1.6666666666666667,25.0,11.666666666666666,3.6666666666666665,1.3333333333333333,22.666666666666668,11.0,24.666666666666668,460.6666666666667,82.98813320089916
Monaco_5752,51.25,11.0,9.5,4.0,3.75,4.5,2.0,26.0,12.0,3.25,1.75,23.0,8.75,24.0,458.25,82.99109990067437
Monaco_5764,50.2,12.6,10.0,4.0,4.2,4.2,2.0,24.0,11.2,3.6,1.8,25.8,8.0,23.4,417.8,80.9241299205395
Monaco_5780,50.5,11.666666666666666,10.5,3.6666666666666665,4.5,3.8333333333333335,2.0,26.833333333333332,12.5,3.8333333333333335,2.3333333333333335,26.5,7.5,23.5,428.3333333333333,80.67308817009615
Monaco_5800,51.0,11.857142857142858,10.142857142857142,3.7142857142857144,4.285714285714286,4.142857142857143,2.0,27.0,12.714285714285714,3.5714285714285716,2.142857142857143,26.0,7.571428571428571,23.571428571428573,434.85714285714283,80.75173681608
Monaco_5811,52.125,11.5,10.125,3.625,4.5,4.125,1.75,29.375,13.5,3.375,1.875,24.75,7.5,26.25,450.0,80.81964021766711
Monaco_5822,51.888888888888886,12.444444444444445,10.0,3.6666666666666665,4.555555555555555,4.777777777777778,1.8888888888888888,31.333333333333332,14.666666666666666,3.111111111111111,1.6666666666666667,24.11111111111111,7.222222222222222,26.11111111111111,441.77777777777777,80.28412463792633
Monaco_5849,51.9,12.8,10.1,3.7,4.5,4.9,1.9,31.4,14.9,2.8,1.8,23.7,6.8,26.9,446.9,79.75571217413369
Monaco_5864,51.54545454545455,13.545454545454545,10.454545454545455,3.8181818181818183,4.545454545454546,5.0,2.090909090909091,31.0,14.818181818181818,2.8181818181818183,2.0,24.636363636363637,6.818181818181818,26.272727272727273,437.90909090909093,79.3233747037579
Monaco_5873,51.666666666666664,13.416666666666666,10.25,3.8333333333333335,4.5,4.916666666666667,2.0833333333333335,31.25,15.333333333333334,2.8333333333333335,1.8333333333333333,24.666666666666668,7.166666666666667,26.166666666666668,444.9166666666667,79.46309347844475
Monaco_5877,50.69230769230769,13.461538461538462,10.076923076923077,3.769230769230769,4.461538461538462,4.923076923076923,2.230769230769231,31.846153846153847,15.461538461538462,2.8461538461538463,1.6923076923076923,25.0,7.0,25.692307692307693,433.61538461538464,78.81208628779515
Monaco_5891,50.42857142857143,13.214285714285714,10.142857142857142,4.071428571428571,4.571428571428571,4.785714285714286,2.2142857142857144,31.285714285714285,15.071428571428571,3.142857142857143,1.7142857142857142,25.142857142857142,6.714285714285714,25.285714285714285,434.2857142857143,79.11122298152407
Monaco_5911,50.06666666666667,13.333333333333334,10.2,4.2,4.6,5.133333333333334,2.2,32.06666666666667,15.466666666666667,3.066666666666667,1.7333333333333334,26.0,7.0,24.866666666666667,430.6666666666667,78.90380811608912
Monaco_5932,50.75,13.625,10.5625,4.3125,4.9375,5.25,2.125,32.06666666666667,15.466666666666667,3.0,1.7333333333333334,26.0,7.0,24.866666666666667,436.125,78.90380811608912
Monaco_5948,50.294117647058826,13.764705882352942,10.764705882352942,4.294117647058823,5.117647058823529,5.352941176470588,2.0588235294117645,32.47450980392157,16.086274509803925,2.8823529411764706,1.7490196078431373,26.294117647058822,7.411764705882353,25.698039215686276,430.05882352941177,78.4388782269074
Monaco_5961,50.611111111111114,13.777777777777779,11.11111111111111,4.611111111111111,5.222222222222222,5.333333333333333,2.0555555555555554,32.61481481481482,16.47037037037037,2.8333333333333335,1.762962962962963,26.055555555555557,7.388888888888889,26.159259259259258,430.55555555555554,78.581162769857
Monaco_5975,50.26315789473684,13.894736842105264,11.31578947368421,4.7368421052631575,5.2631578947368425,5.315789473684211,2.0526315789473686,32.319298245614036,16.445614035087722,2.8947368421052633,1.775438596491228,26.526315789473685,7.473684210526316,26.150877192982456,426.0,78.44531209775926
