,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Montpellier_5695,60.0,12.0,10.0,3.0,7.0,5.0,3.0,33.0,20.0,3.0,0.0,18.0,12.0,28.0,526.0,81.0
Montpellier_5708,49.5,12.5,10.0,3.0,6.0,3.5,2.5,28.5,16.0,3.5,1.0,26.0,10.0,23.0,447.5,81.15040650406505
Montpellier_5730,49.666666666666664,13.666666666666666,12.0,4.666666666666667,5.666666666666667,5.333333333333333,2.6666666666666665,25.333333333333332,14.333333333333334,2.6666666666666665,1.6666666666666667,25.0,8.666666666666666,26.333333333333332,433.0,79.84284526013577
Montpellier_5742,48.75,13.5,13.0,4.75,6.75,4.5,2.5,32.25,19.0,2.5,1.5,28.25,9.25,24.75,424.75,78.38213394510183
Montpellier_5745,48.0,13.0,12.6,4.6,6.4,5.4,2.4,34.0,20.0,2.2,1.6,31.4,8.0,24.6,403.2,77.40602261349471
Montpellier_5772,48.5,12.166666666666666,12.166666666666666,4.333333333333333,6.0,5.333333333333333,2.1666666666666665,35.333333333333336,21.0,2.0,1.8333333333333333,29.0,8.333333333333334,23.5,414.1666666666667,77.65356184386819
Montpellier_5786,49.285714285714285,10.571428571428571,11.857142857142858,4.285714285714286,5.142857142857143,4.857142857142857,1.8571428571428572,31.285714285714285,18.571428571428573,1.8571428571428572,1.5714285714285714,25.428571428571427,7.142857142857143,20.571428571428573,363.0,78.54999178454008
Montpellier_5800,50.0,10.625,11.75,4.25,5.375,4.625,2.0,32.125,18.875,2.0,1.5714285714285714,23.5,7.375,20.375,378.5,78.79284445418304
Montpellier_5811,51.55555555555556,10.222222222222221,12.0,4.333333333333333,5.888888888888889,5.111111111111111,1.8888888888888888,32.22222222222222,18.77777777777778,1.8888888888888888,1.5714285714285714,22.77777777777778,7.666666666666667,22.11111111111111,394.6666666666667,79.19838930278527
Montpellier_5821,52.2,10.5,11.8,4.6,5.7,4.7,1.9,32.5,18.4,2.0,1.4142857142857141,23.3,7.3,22.9,414.9,79.75426226530406
Montpellier_5849,52.27272727272727,10.727272727272727,11.818181818181818,4.545454545454546,5.7272727272727275,5.0,1.9090909090909092,32.54545454545455,18.363636363636363,2.0,1.4675324675324675,23.818181818181817,7.545454545454546,23.363636363636363,421.45454545454544,79.50387478664005
Montpellier_5863,53.083333333333336,10.416666666666666,12.0,4.333333333333333,5.75,5.0,1.9166666666666667,33.333333333333336,18.5,2.0,1.9285714285714286,23.666666666666668,7.666666666666667,24.0,437.6666666666667,79.62855188775339
Montpellier_5873,52.38461538461539,11.0,11.923076923076923,4.384615384615385,6.0,5.076923076923077,1.9230769230769231,33.0,18.615384615384617,1.8461538461538463,1.934065934065934,24.384615384615383,7.538461538461538,24.23076923076923,433.0769230769231,79.50327866561852
Montpellier_5884,51.92857142857143,11.214285714285714,11.571428571428571,4.214285714285714,5.928571428571429,5.0,1.7857142857142858,32.714285714285715,18.357142857142858,1.9285714285714286,1.8673469387755102,24.5,7.428571428571429,23.857142857142858,428.57142857142856,78.89590161807435
Montpellier_5898,52.06666666666667,11.4,11.333333333333334,4.333333333333333,5.866666666666666,4.866666666666666,1.7333333333333334,32.666666666666664,18.066666666666666,1.9333333333333333,1.8095238095238095,24.4,7.733333333333333,24.0,428.8,79.10284151020272
Montpellier_5912,51.625,11.75,11.4375,4.6875,5.75,4.8125,1.75,33.0,18.1875,1.9375,1.8095238095238095,24.5,7.8125,24.125,430.125,79.34641391581505
Montpellier_5939,50.8235294117647,11.941176470588236,11.235294117647058,4.764705882352941,5.529411764705882,4.764705882352941,1.7058823529411764,32.705882352941174,17.823529411764707,2.176470588235294,1.8207282913165266,25.41176470588235,8.823529411764707,23.941176470588236,426.7647058823529,78.85544839135534
Montpellier_5955,50.111111111111114,11.666666666666666,11.444444444444445,4.888888888888889,5.555555555555555,4.722222222222222,1.6111111111111112,31.77777777777778,17.333333333333332,2.388888888888889,1.8306878306878305,24.944444444444443,9.222222222222221,23.833333333333332,421.8888888888889,78.69681236961338
Montpellier_5968,50.1578947368421,11.526315789473685,11.736842105263158,4.894736842105263,5.7894736842105265,4.894736842105263,1.6111111111111112,31.05263157894737,17.05263157894737,2.3684210526315788,1.8395989974937341,25.05263157894737,9.105263157894736,23.736842105263158,428.57894736842104,79.02855908700215
