,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
Nice_5695,43.0,18.0,5.0,2.0,2.0,2.0,4.0,27.0,16.0,4.0,1.0,20.0,5.0,15.0,347.0,74.92795389048992
Nice_5709,53.0,12.5,6.0,3.0,2.0,2.0,2.5,31.0,12.0,4.5,1.0,21.0,6.5,24.0,505.0,79.8470840342344
Nice_5730,60.0,11.666666666666666,9.333333333333334,2.3333333333333335,3.3333333333333335,1.6666666666666667,2.0,35.333333333333336,14.0,3.6666666666666665,3.6666666666666665,22.0,9.0,23.333333333333332,552.3333333333334,81.8764176920656
Nice_5741,57.75,12.25,11.25,4.25,4.0,2.25,1.5,34.5,14.25,3.25,3.0,24.5,8.0,23.5,553.0,82.48839435013028
Nice_5783,57.8,11.2,10.8,4.2,4.4,2.4,1.4,31.8,13.6,3.4,3.0,26.2,8.8,24.8,552.2,82.63916721052317
Nice_5780,57.833333333333336,13.333333333333334,10.666666666666666,4.166666666666667,4.666666666666667,3.1666666666666665,1.6666666666666667,32.833333333333336,13.833333333333334,3.0,2.6666666666666665,25.666666666666668,8.5,24.166666666666668,537.6666666666666,82.02009453923526
Nice_5799,56.57142857142857,13.285714285714286,11.0,4.714285714285714,4.428571428571429,3.142857142857143,1.5714285714285714,32.142857142857146,13.857142857142858,2.7142857142857144,2.5714285714285716,25.571428571428573,9.571428571428571,23.857142857142858,537.5714285714286,82.48702969018781
Nice_5813,53.875,12.75,10.5,4.375,4.375,3.125,1.375,31.0,12.875,2.75,2.375,25.375,8.875,22.375,519.875,82.27716107992444
Nice_5827,54.0,13.333333333333334,10.333333333333334,4.333333333333333,4.222222222222222,3.7777777777777777,1.4444444444444444,31.0,13.333333333333334,3.111111111111111,2.3333333333333335,24.77777777777778,8.333333333333334,21.88888888888889,516.6666666666666,82.5491488395436
Nice_5855,54.7,12.9,10.4,4.3,4.4,4.0,1.5,30.6,12.9,3.1,2.5,25.0,8.4,21.4,529.9,82.99423395558924
Nice_5863,54.63636363636363,13.272727272727273,10.181818181818182,4.090909090909091,4.454545454545454,4.0,1.4545454545454546,30.545454545454547,13.0,3.090909090909091,2.3636363636363638,25.727272727272727,8.363636363636363,21.181818181818183,534.7272727272727,83.35839450508114
Nice_5874,55.25,13.0,10.166666666666666,3.8333333333333335,4.5,4.25,1.4166666666666667,29.666666666666668,12.666666666666666,2.9166666666666665,2.4166666666666665,26.25,8.416666666666666,21.583333333333332,541.9166666666666,83.49519496299104
Nice_5885,54.76923076923077,13.076923076923077,10.384615384615385,3.769230769230769,4.538461538461538,3.923076923076923,1.3846153846153846,30.153846153846153,13.307692307692308,3.076923076923077,2.3846153846153846,27.153846153846153,8.538461538461538,22.0,539.9230769230769,83.38017996583788
Nice_5897,55.285714285714285,13.214285714285714,10.571428571428571,4.0,4.642857142857143,4.0,1.5,29.928571428571427,13.428571428571429,3.0,2.2142857142857144,26.642857142857142,8.428571428571429,21.428571428571427,544.5,83.49588139684946
Nice_5905,55.86666666666667,12.733333333333333,11.0,4.333333333333333,4.866666666666666,4.2,1.4666666666666666,29.266666666666666,13.2,3.0,2.2666666666666666,26.533333333333335,9.066666666666666,22.066666666666666,557.4,83.79615597039283
Nice_5920,55.9375,12.125,10.9375,4.375,4.75,4.125,1.4375,29.375,13.4375,2.9375,2.25,26.0625,9.1875,22.1875,562.9375,83.99639622224328
Nice_5941,55.94117647058823,11.823529411764707,11.176470588235293,4.764705882352941,4.705882352941177,4.0,1.4375,29.647058823529413,13.647058823529411,2.9411764705882355,2.176470588235294,26.647058823529413,9.294117647058824,22.058823529411764,563.0,83.99660820917015
Nice_5953,56.27777777777778,11.777777777777779,11.222222222222221,4.944444444444445,4.666666666666667,4.333333333333333,1.4131944444444444,30.38888888888889,13.88888888888889,3.0,2.2222222222222223,26.333333333333332,9.5,21.944444444444443,570.2777777777778,84.1634633086607
Nice_5968,56.94736842105263,11.736842105263158,11.210526315789474,4.894736842105263,4.684210526315789,4.368421052631579,1.444078947368421,29.68421052631579,13.842105263157896,2.8947368421052633,2.210526315789474,25.63157894736842,9.526315789473685,22.36842105263158,568.5263157894736,84.26012313452065
