,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
ParisSaintGermain_5703,65.0,8.0,18.0,7.0,7.0,4.0,1.0,21.0,14.0,2.0,5.0,26.0,19.0,18.0,771.0,91.69909208819715
ParisSaintGermain_5729,66.0,9.5,18.5,6.0,7.5,7.5,1.5,27.5,16.5,1.5,5.5,32.5,17.5,17.0,739.0,89.9796733425427
ParisSaintGermain_5740,67.0,9.666666666666666,18.333333333333332,7.333333333333333,7.666666666666667,8.0,1.3333333333333333,23.666666666666668,13.333333333333334,2.3333333333333335,3.6666666666666665,27.333333333333332,13.333333333333334,15.333333333333334,760.0,90.4935145641889
ParisSaintGermain_5752,63.75,10.5,17.75,7.25,7.5,7.0,1.5,22.0,12.5,3.5,3.0,30.75,11.5,17.25,706.0,89.51535651137696
ParisSaintGermain_5773,64.0,10.2,18.4,8.4,7.8,6.6,1.5,22.2,12.8,3.8,2.8,30.6,12.8,16.4,736.6,89.70308846870577
ParisSaintGermain_5786,64.33333333333333,10.666666666666666,17.833333333333332,8.5,7.5,6.333333333333333,1.5833333333333333,21.166666666666668,13.0,3.1666666666666665,2.3333333333333335,31.833333333333332,11.833333333333334,16.666666666666668,737.3333333333334,90.31712613057914
ParisSaintGermain_5807,63.714285714285715,9.857142857142858,18.428571428571427,8.571428571428571,8.428571428571429,6.428571428571429,1.3571428571428572,20.0,12.285714285714286,3.0,2.4285714285714284,32.0,13.0,17.857142857142858,731.5714285714286,90.28616959993482
ParisSaintGermain_5822,63.5,10.625,17.5,8.5,7.75,6.375,1.4375,20.375,12.5,2.875,2.4285714285714284,31.75,12.5,17.75,723.0,89.8601269067303
ParisSaintGermain_5848,64.44444444444444,10.555555555555555,17.0,7.888888888888889,7.333333333333333,6.555555555555555,1.3888888888888888,21.444444444444443,13.0,2.5555555555555554,2.825396825396825,30.444444444444443,12.0,17.444444444444443,741.5555555555555,89.98677947264916
ParisSaintGermain_5863,64.6,10.3,16.9,8.0,7.1,6.2,1.25,20.6,12.3,2.6,2.642857142857143,30.1,11.5,17.1,759.1,90.08810152538425
ParisSaintGermain_5874,64.36363636363636,10.181818181818182,16.818181818181817,7.909090909090909,7.363636363636363,6.0,1.2272727272727273,20.272727272727273,12.181818181818182,2.6363636363636362,2.675324675324675,30.636363636363637,11.090909090909092,17.181818181818183,756.4545454545455,89.89827411398568
ParisSaintGermain_5884,64.0,10.416666666666666,16.416666666666668,7.583333333333333,7.166666666666667,5.75,1.2916666666666667,20.666666666666668,12.25,2.4166666666666665,2.619047619047619,30.666666666666668,11.416666666666666,17.75,745.3333333333334,89.49008460448687
ParisSaintGermain_5891,64.61538461538461,10.23076923076923,16.153846153846153,7.6923076923076925,6.846153846153846,6.0,1.3461538461538463,20.692307692307693,12.384615384615385,2.3846153846153846,2.7252747252747254,31.153846153846153,11.538461538461538,18.0,750.4615384615385,89.52930886568018
ParisSaintGermain_5905,64.28571428571429,10.285714285714286,15.571428571428571,7.571428571428571,6.5,5.928571428571429,1.25,21.571428571428573,12.714285714285714,2.2142857142857144,2.5306122448979593,31.0,11.5,18.785714285714285,747.2857142857143,89.27721537527445
ParisSaintGermain_5920,64.26666666666667,10.066666666666666,16.066666666666666,7.333333333333333,7.0,6.2,1.2333333333333334,21.866666666666667,12.866666666666667,2.2666666666666666,2.6952380952380954,32.0,11.866666666666667,18.933333333333334,753.3333333333334,89.39206768358949
ParisSaintGermain_5933,63.6875,10.1875,15.875,7.3125,6.9375,6.25,1.21875,21.3125,12.625,2.25,2.5267857142857144,31.875,11.8125,18.75,747.4375,89.36756345336515
ParisSaintGermain_5947,63.705882352941174,10.235294117647058,16.235294117647058,7.470588235294118,7.0588235294117645,6.117647058823529,1.21875,21.058823529411764,12.235294117647058,2.5294117647058822,2.554621848739496,31.647058823529413,12.176470588235293,18.705882352941178,745.8235294117648,89.34594207375544
ParisSaintGermain_5960,63.666666666666664,10.0,16.833333333333332,7.722222222222222,7.388888888888889,6.055555555555555,1.2065972222222223,20.833333333333332,12.222222222222221,2.5,2.5238095238095237,31.77777777777778,12.38888888888889,18.72222222222222,747.8888888888889,89.49338973632457
ParisSaintGermain_5975,63.526315789473685,10.0,17.0,8.0,7.2631578947368425,6.2631578947368425,1.1957236842105263,21.0,12.421052631578947,2.526315789473684,2.4962406015037595,31.57894736842105,12.368421052631579,18.263157894736842,742.4736842105264,89.46742185546539
