,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
HerthaBerlin_5702,52.0,22.0,11.0,4.0,6.0,4.0,4.0,50.0,25.0,3.0,1.0,11.0,6.0,19.0,425.0,83.76470588235294
HerthaBerlin_5717,46.5,13.0,7.5,4.0,3.0,2.5,3.0,33.0,14.5,3.0,0.5,8.0,3.5,12.0,270.0,79.70843989769821
HerthaBerlin_5737,46.333333333333336,11.666666666666666,8.0,4.0,3.3333333333333335,3.3333333333333335,2.6666666666666665,36.0,17.666666666666668,2.6666666666666665,0.6666666666666666,17.0,5.666666666666667,17.333333333333332,328.0,80.54136233420121
HerthaBerlin_5745,48.5,12.25,9.5,4.5,3.75,3.25,2.25,41.0,20.75,2.25,1.25,17.0,6.0,18.75,375.0,80.85175818475943
HerthaBerlin_5765,47.6,13.0,9.4,4.6,3.4,3.8,2.6,39.8,18.6,3.2,1.4,17.4,5.8,18.4,372.2,79.91686361151946
HerthaBerlin_5772,47.833333333333336,12.833333333333334,8.666666666666666,4.0,3.5,3.5,2.6666666666666665,44.333333333333336,21.166666666666668,3.1666666666666665,1.1666666666666667,18.0,6.333333333333333,18.333333333333332,387.3333333333333,78.872404341493
HerthaBerlin_5785,47.857142857142854,12.285714285714286,9.142857142857142,4.0,3.7142857142857144,3.2857142857142856,2.7142857142857144,44.42857142857143,21.857142857142858,2.857142857142857,1.4285714285714286,18.857142857142858,6.285714285714286,19.571428571428573,398.14285714285717,78.83601951887304
HerthaBerlin_5807,45.875,12.375,8.5,3.625,3.625,3.0,2.75,42.0,20.375,3.375,1.25,19.25,6.375,18.375,392.25,78.81057690807374
HerthaBerlin_5821,48.111111111111114,12.333333333333334,8.555555555555555,3.7777777777777777,3.5555555555555554,3.0,2.5555555555555554,43.666666666666664,21.666666666666668,3.3333333333333335,1.2222222222222223,18.666666666666668,6.888888888888889,19.666666666666668,412.22222222222223,78.89222997889382
HerthaBerlin_5870,48.0,12.7,8.9,3.8,3.6,3.3,2.6,44.3,21.8,3.3,1.5,20.5,6.7,19.9,413.3,78.70300698100445
HerthaBerlin_5884,48.27272727272727,12.636363636363637,8.727272727272727,3.727272727272727,3.5454545454545454,3.090909090909091,2.6363636363636362,43.27272727272727,21.272727272727273,3.3636363636363638,1.4545454545454546,21.90909090909091,6.818181818181818,19.90909090909091,420.1818181818182,79.09364271000403
HerthaBerlin_5897,48.583333333333336,12.416666666666666,8.75,3.5833333333333335,3.8333333333333335,3.5,2.5833333333333335,45.083333333333336,22.333333333333332,3.3333333333333335,1.6666666666666667,21.583333333333332,7.333333333333333,20.083333333333332,424.25,79.0025058175037
HerthaBerlin_5906,48.23076923076923,12.153846153846153,8.23076923076923,3.3846153846153846,3.6153846153846154,3.3846153846153846,2.4615384615384617,46.07692307692308,22.692307692307693,3.3076923076923075,1.6153846153846154,22.307692307692307,7.076923076923077,21.153846153846153,422.0,78.23308229308034
HerthaBerlin_5934,48.357142857142854,12.071428571428571,8.142857142857142,3.2857142857142856,3.5714285714285716,3.5714285714285716,2.4285714285714284,45.857142857142854,22.5,3.2857142857142856,1.6428571428571428,21.857142857142858,6.928571428571429,21.214285714285715,426.07142857142856,78.43071927214604
HerthaBerlin_5947,48.4,12.333333333333334,8.266666666666667,3.2,3.7333333333333334,3.6666666666666665,2.2666666666666666,44.46666666666667,21.866666666666667,3.4,1.6666666666666667,21.933333333333334,6.866666666666666,21.2,427.4,78.60200465400297
HerthaBerlin_5961,48.25,12.8125,8.25,3.1875,3.8125,3.6875,2.5,44.5625,22.0,3.5625,1.625,21.6875,6.9375,21.8125,427.375,78.37687936312778
HerthaBerlin_5975,48.94117647058823,13.235294117647058,8.411764705882353,3.2941176470588234,3.8823529411764706,3.588235294117647,2.6470588235294117,44.529411764705884,22.0,3.5294117647058822,1.588235294117647,21.470588235294116,7.117647058823529,22.11764705882353,436.52941176470586,78.35470998882614
