,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SVDarmstadt98_5709,30.0,18.0,9.0,3.0,3.0,6.0,2.0,65.0,27.0,4.0,3.0,27.0,4.0,20.0,163.0,48.466257668711656
SVDarmstadt98_5730,32.0,17.5,7.0,3.0,2.0,5.0,1.5,73.0,31.0,4.0,2.0,35.5,5.0,21.0,195.5,46.82084813260144
SVDarmstadt98_5745,31.666666666666668,16.0,6.0,3.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,65.66666666666667,28.333333333333332,3.3333333333333335,1.3333333333333333,34.666666666666664,4.666666666666667,19.666666666666668,210.33333333333334,50.24167653284541
SVDarmstadt98_5765,32.0,16.25,7.5,3.5,2.25,3.5,2.0,62.25,27.75,3.25,1.75,33.5,4.25,19.75,216.0,50.02031319362547
SVDarmstadt98_5780,34.2,16.6,9.4,3.8,4.0,3.8,2.0,65.2,31.4,2.8,1.6,32.2,3.8,20.2,224.6,50.616250554900375
SVDarmstadt98_5801,35.833333333333336,18.0,9.166666666666666,3.5,4.166666666666667,4.0,2.1666666666666665,66.16666666666667,31.666666666666668,2.8333333333333335,1.5,30.666666666666668,3.3333333333333335,20.666666666666668,233.33333333333334,51.26564802559387
SVDarmstadt98_5815,36.0,16.714285714285715,10.571428571428571,3.5714285714285716,5.0,4.428571428571429,2.2857142857142856,65.57142857142857,32.285714285714285,2.857142857142857,2.0,30.571428571428573,3.2857142857142856,20.142857142857142,234.0,50.964793145587066
SVDarmstadt98_5829,36.875,17.125,11.125,3.875,5.375,4.5,2.5,61.75,30.375,2.75,1.875,31.0,4.0,20.0,245.5,53.71996087355433
SVDarmstadt98_5863,36.666666666666664,17.555555555555557,11.333333333333334,4.0,5.444444444444445,4.444444444444445,2.7777777777777777,62.22222222222222,30.11111111111111,2.888888888888889,1.8888888888888888,31.555555555555557,4.222222222222222,19.77777777777778,246.0,53.75107633204829
SVDarmstadt98_5878,36.7,17.3,11.1,4.1,5.4,4.7,2.8,60.7,30.6,2.7,1.8,32.6,4.0,20.2,247.8,54.07596869884346
SVDarmstadt98_5891,35.72727272727273,16.90909090909091,10.636363636363637,4.181818181818182,5.0,4.2727272727272725,2.5454545454545454,58.36363636363637,29.0,3.3636363636363638,1.6363636363636365,33.0,4.0,19.90909090909091,242.72727272727272,54.52360790803951
SVDarmstadt98_5898,36.166666666666664,17.416666666666668,10.416666666666666,4.083333333333333,4.916666666666667,4.083333333333333,2.5833333333333335,60.666666666666664,30.25,3.5,1.5833333333333333,32.666666666666664,3.9166666666666665,20.75,242.5,54.229973915702885
SVDarmstadt98_5906,36.30769230769231,17.46153846153846,10.538461538461538,3.923076923076923,5.230769230769231,3.8461538461538463,2.769230769230769,60.46153846153846,30.153846153846153,3.5384615384615383,1.6923076923076923,32.84615384615385,4.230769230769231,20.692307692307693,245.23076923076923,54.366129768341125
SVDarmstadt98_5919,36.214285714285715,17.357142857142858,10.571428571428571,3.7142857142857144,5.285714285714286,3.642857142857143,2.642857142857143,59.142857142857146,29.285714285714285,3.5714285714285716,1.8571428571428572,32.07142857142857,3.9285714285714284,20.5,242.35714285714286,54.768549070602475
SVDarmstadt98_5954,36.8,17.333333333333332,10.866666666666667,3.6,5.4,3.8,2.6,58.333333333333336,28.733333333333334,3.6666666666666665,2.066666666666667,31.466666666666665,3.8,20.6,245.2,55.45064579922897
SVDarmstadt98_5968,36.5625,17.625,10.625,3.5625,5.3125,3.625,2.625,57.375,27.875,3.625,1.9375,31.1875,3.625,20.125,242.0,55.172480436777164
