,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
VfLWolfsburg_5709,64.0,11.0,15.0,7.0,7.0,4.0,1.0,44.0,21.0,5.0,1.0,29.0,13.0,23.0,620.0,84.19354838709677
VfLWolfsburg_5730,62.5,13.0,16.0,5.0,8.0,4.5,2.0,45.5,23.0,3.0,3.0,27.0,11.0,29.5,581.0,81.94917271753363
VfLWolfsburg_5740,54.666666666666664,12.666666666666666,13.0,4.0,6.666666666666667,3.3333333333333335,2.0,39.666666666666664,19.0,4.333333333333333,2.3333333333333335,28.333333333333332,9.0,24.333333333333332,534.3333333333334,81.84366616543058
VfLWolfsburg_5751,54.0,13.0,12.25,3.75,6.5,2.75,2.25,35.5,18.0,3.5,2.0,28.0,10.25,22.75,525.0,82.96222648523994
VfLWolfsburg_5772,56.6,13.6,13.6,4.2,7.2,2.8,2.0,37.0,20.2,3.4,2.2,25.2,9.2,23.6,538.2,83.62866443692292
VfLWolfsburg_5786,57.5,15.0,12.0,3.5,7.166666666666667,2.8333333333333335,2.1666666666666665,36.666666666666664,19.5,3.3333333333333335,2.0,26.5,10.666666666666666,22.0,539.5,84.25099325787532
VfLWolfsburg_5808,57.57142857142857,14.428571428571429,12.714285714285714,3.4285714285714284,7.428571428571429,3.4285714285714284,2.4285714285714284,36.857142857142854,19.571428571428573,3.4285714285714284,2.4285714285714284,25.0,9.714285714285714,22.285714285714285,539.0,83.88891106538567
VfLWolfsburg_5828,58.875,13.875,13.25,3.875,7.5,3.375,2.25,35.375,19.125,3.375,2.375,24.25,10.0,22.75,560.0,84.31156663058587
VfLWolfsburg_5864,58.666666666666664,14.555555555555555,13.777777777777779,4.666666666666667,7.333333333333333,3.3333333333333335,2.0,36.55555555555556,19.666666666666668,3.3333333333333335,2.2222222222222223,24.555555555555557,9.222222222222221,22.11111111111111,558.3333333333334,84.16583700496523
VfLWolfsburg_5877,58.6,14.5,13.8,4.4,7.3,3.6,2.1,36.1,19.6,3.0,2.5,24.7,9.5,22.4,550.0,84.2492533044687
VfLWolfsburg_5891,57.90909090909091,14.636363636363637,13.636363636363637,4.545454545454546,7.0,3.727272727272727,2.090909090909091,35.90909090909091,19.454545454545453,3.090909090909091,2.5454545454545454,24.545454545454547,9.181818181818182,22.181818181818183,538.0,83.95386664042609
VfLWolfsburg_5901,58.166666666666664,14.083333333333334,14.25,5.25,7.083333333333333,4.0,2.0,34.416666666666664,18.666666666666668,3.0,2.5833333333333335,24.75,9.0,21.583333333333332,559.0,84.62437775372392
VfLWolfsburg_5912,58.69230769230769,14.384615384615385,14.23076923076923,5.461538461538462,7.076923076923077,4.076923076923077,1.9230769230769231,33.46153846153846,18.153846153846153,2.8461538461538463,2.6153846153846154,25.692307692307693,9.461538461538462,21.692307692307693,566.3076923076923,84.80711792651438
VfLWolfsburg_5932,58.0,14.642857142857142,13.928571428571429,5.428571428571429,6.714285714285714,3.9285714285714284,2.0714285714285716,33.46153846153846,18.153846153846153,2.7857142857142856,2.642857142857143,25.69230769230769,9.461538461538462,21.69230769230769,560.0714285714286,84.24946664604907
VfLWolfsburg_5947,57.86666666666667,14.666666666666666,13.533333333333333,5.266666666666667,6.466666666666667,3.7333333333333334,2.2666666666666666,34.03076923076923,18.676923076923078,3.0,2.6,25.77948717948718,9.430769230769231,21.846153846153847,555.0666666666667,83.89950220297914
VfLWolfsburg_5961,56.8125,14.5625,12.9375,5.125,6.125,3.875,2.125,32.90384615384615,17.759615384615387,3.125,2.5,26.79326923076923,9.153846153846153,21.60576923076923,542.5625,83.46828331529294
VfLWolfsburg_5968,56.588235294117645,14.294117647058824,12.823529411764707,5.176470588235294,6.0,3.8823529411764706,2.125,33.73303167420814,18.185520361990953,2.9411764705882355,2.411764705882353,26.15837104072398,9.085972850678733,22.217194570135746,534.7058823529412,82.85250194380512
