,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
WerderBremen_5708,48.0,16.0,9.0,3.0,5.0,2.0,1.0,80.0,39.0,1.0,1.0,45.0,11.0,19.0,415.0,72.04819277108433
WerderBremen_5731,45.0,19.0,12.5,4.5,4.5,2.5,2.5,68.5,38.5,2.5,3.5,36.0,11.0,21.5,368.5,67.07999700666018
WerderBremen_5740,49.0,19.0,12.333333333333334,4.333333333333333,5.0,2.0,2.6666666666666665,68.33333333333333,39.333333333333336,2.3333333333333335,3.0,31.0,11.666666666666666,23.0,370.0,67.06137423321582
WerderBremen_5751,51.0,17.0,14.0,4.75,5.75,3.0,2.25,68.25,38.5,2.75,3.5,29.5,10.75,24.25,387.0,68.4467156064187
WerderBremen_5772,49.4,17.0,14.0,5.4,5.8,3.2,2.0,65.4,37.2,3.0,2.8,30.4,10.4,23.8,378.6,67.62693770252626
WerderBremen_5787,48.333333333333336,17.5,14.166666666666666,5.166666666666667,5.666666666666667,3.3333333333333335,2.3333333333333335,64.66666666666667,36.0,3.3333333333333335,3.3333333333333335,30.333333333333332,9.5,23.0,365.5,67.85578141877188
WerderBremen_5800,46.857142857142854,16.142857142857142,12.714285714285714,4.714285714285714,5.285714285714286,3.2857142857142856,2.2857142857142856,61.57142857142857,32.857142857142854,3.7142857142857144,3.4285714285714284,29.428571428571427,9.0,23.571428571428573,362.7142857142857,67.82353518801422
WerderBremen_5815,46.5,16.125,12.0,4.375,5.0,3.5,2.25,58.875,31.375,3.625,3.25,29.25,9.375,23.375,357.375,68.29090578951244
WerderBremen_5828,46.77777777777778,16.555555555555557,11.88888888888889,4.333333333333333,4.777777777777778,3.4444444444444446,2.5555555555555554,60.22222222222222,32.333333333333336,3.6666666666666665,3.3333333333333335,29.444444444444443,9.222222222222221,24.88888888888889,356.77777777777777,67.33181524724337
WerderBremen_5864,46.2,16.2,12.4,4.5,4.9,3.2,2.6,59.5,31.7,3.6,3.5,29.7,8.7,24.5,355.2,67.89863372251904
WerderBremen_5876,47.0,15.818181818181818,12.636363636363637,4.454545454545454,5.090909090909091,3.5454545454545454,2.5454545454545454,58.36363636363637,30.818181818181817,3.6363636363636362,3.5454545454545454,29.818181818181817,8.818181818181818,24.454545454545453,362.09090909090907,68.45330338410821
WerderBremen_5891,47.583333333333336,16.416666666666668,12.25,4.25,5.416666666666667,3.5833333333333335,2.5,60.25,31.083333333333332,3.5,3.3333333333333335,28.583333333333332,9.0,25.75,362.6666666666667,67.99886143543253
WerderBremen_5902,47.07692307692308,15.76923076923077,12.0,4.230769230769231,5.384615384615385,3.769230769230769,2.3846153846153846,59.07692307692308,30.615384615384617,3.6923076923076925,3.3076923076923075,30.384615384615383,9.615384615384615,25.53846153846154,356.61538461538464,67.38356440193772
WerderBremen_5912,45.42857142857143,15.214285714285714,11.285714285714286,4.0,5.071428571428571,3.7857142857142856,2.4285714285714284,56.642857142857146,29.428571428571427,4.0,3.0714285714285716,30.5,9.714285714285714,24.571428571428573,345.0,67.28473837322788
WerderBremen_5933,44.8,14.6,11.133333333333333,3.933333333333333,5.0,3.6666666666666665,2.466666666666667,55.333333333333336,29.0,4.066666666666666,3.0,30.466666666666665,9.4,24.133333333333333,341.46666666666664,67.53242248167936
WerderBremen_5953,45.375,14.375,11.5,4.125,5.3125,3.6875,2.5625,56.3125,29.3125,4.125,2.9375,29.9375,9.3125,24.25,348.875,67.81164607657439
WerderBremen_5968,45.411764705882355,14.705882352941176,11.588235294117647,3.9411764705882355,5.470588235294118,3.8823529411764706,2.5294117647058822,55.88235294117647,29.11764705882353,4.117647058823529,3.0,29.176470588235293,8.941176470588236,23.88235294117647,347.4117647058824,68.17566689559942
