,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BayerLeverkusen_5702,56.0,12.0,25.0,9.0,11.0,13.0,1.0,69.0,45.0,1.0,5.0,30.0,26.0,28.0,397.0,74.3073047858942
BayerLeverkusen_5730,61.0,12.5,20.5,6.5,10.0,11.5,2.0,75.0,45.5,1.5,4.0,26.5,22.5,27.5,503.5,76.33398026179955
BayerLeverkusen_5741,61.333333333333336,13.666666666666666,20.333333333333332,6.333333333333333,10.0,11.333333333333334,2.3333333333333335,66.33333333333333,40.0,1.6666666666666667,4.0,23.0,21.0,30.333333333333332,528.0,77.46355472103795
BayerLeverkusen_5752,61.25,13.5,20.75,6.75,9.75,10.75,2.25,60.75,35.75,1.25,4.25,21.5,17.0,27.5,536.75,78.61276373171985
BayerLeverkusen_5772,60.8,14.0,20.4,6.6,9.6,9.6,2.2,63.0,36.2,1.6,4.2,25.4,17.2,28.4,528.0,77.33240165474709
BayerLeverkusen_5786,59.333333333333336,14.666666666666666,18.833333333333332,6.166666666666667,8.666666666666666,9.0,2.0,59.666666666666664,33.833333333333336,2.3333333333333335,4.166666666666667,25.333333333333332,16.166666666666668,26.0,503.3333333333333,77.20682594035941
BayerLeverkusen_5808,58.57142857142857,13.857142857142858,18.714285714285715,6.142857142857143,8.142857142857142,9.0,1.8571428571428572,56.42857142857143,30.857142857142858,2.2857142857142856,4.571428571428571,28.285714285714285,16.428571428571427,26.428571428571427,498.14285714285717,77.49572538540443
BayerLeverkusen_5821,57.25,13.75,18.125,6.125,8.0,8.375,1.625,55.0,30.75,2.25,4.125,28.125,15.5,25.5,488.25,76.6393086382432
BayerLeverkusen_5870,56.888888888888886,13.333333333333334,17.666666666666668,6.111111111111111,8.0,8.11111111111111,1.4444444444444444,54.333333333333336,29.555555555555557,2.2222222222222223,3.7777777777777777,28.11111111111111,15.222222222222221,26.22222222222222,484.0,76.67938545621617
BayerLeverkusen_5877,55.2,13.7,16.5,5.7,7.6,7.9,1.3,53.5,28.9,2.1,3.6,30.1,14.7,25.2,463.6,75.71144691059456
BayerLeverkusen_5892,54.81818181818182,14.272727272727273,15.818181818181818,5.363636363636363,7.454545454545454,7.909090909090909,1.6363636363636365,53.0,28.363636363636363,2.0,3.727272727272727,30.181818181818183,14.363636363636363,25.818181818181817,459.3636363636364,75.19222446417687
BayerLeverkusen_5902,55.166666666666664,14.333333333333334,15.75,5.416666666666667,7.583333333333333,8.0,1.5833333333333333,52.333333333333336,27.666666666666668,1.8333333333333333,3.9166666666666665,30.75,14.666666666666666,26.083333333333332,462.0833333333333,75.59287242549546
BayerLeverkusen_5913,54.53846153846154,14.615384615384615,15.615384615384615,5.3076923076923075,7.615384615384615,7.769230769230769,1.9230769230769231,53.23076923076923,28.23076923076923,2.076923076923077,3.769230769230769,30.53846153846154,14.23076923076923,26.615384615384617,450.53846153846155,74.39342070045736
BayerLeverkusen_5932,54.285714285714285,14.5,15.357142857142858,5.285714285714286,7.428571428571429,7.642857142857143,1.7857142857142858,53.23076923076923,28.23076923076923,2.2857142857142856,3.642857142857143,30.53846153846154,14.23076923076923,26.615384615384617,446.2142857142857,74.43674779328182
BayerLeverkusen_5947,54.733333333333334,14.533333333333333,15.133333333333333,5.333333333333333,7.2,7.333333333333333,1.9333333333333333,52.68205128205128,28.148717948717948,2.533333333333333,3.533333333333333,30.235897435897435,13.948717948717949,26.441025641025643,449.3333333333333,74.8076312737297
BayerLeverkusen_5961,54.6875,14.5,15.125,5.5625,7.125,7.25,1.875,52.26442307692308,27.764423076923077,2.5,3.4375,30.096153846153847,13.451923076923077,25.91346153846154,450.125,74.8821543191216
BayerLeverkusen_5975,54.05882352941177,14.647058823529411,14.823529411764707,5.588235294117647,6.882352941176471,6.9411764705882355,1.8235294117647058,51.77828054298643,27.248868778280542,2.5294117647058822,3.2941176470588234,30.384615384615387,13.190045248868778,26.389140271493215,441.94117647058823,74.30085112387916
