,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
FCKoln_5709,36.0,15.0,9.0,6.0,2.0,2.0,2.0,44.0,23.0,6.0,1.0,26.0,11.0,25.0,267.0,67.41573033707866
FCKoln_5716,42.5,15.5,7.5,4.5,2.5,2.5,2.5,25.5,12.5,6.0,0.5,13.5,5.5,13.5,155.5,71.20786516853933
FCKoln_5737,42.666666666666664,13.666666666666666,8.666666666666666,4.666666666666667,3.0,2.3333333333333335,1.6666666666666667,31.333333333333332,16.0,4.666666666666667,1.0,23.0,6.0,17.0,251.0,74.99830528581354
FCKoln_5743,46.25,13.75,10.25,4.5,4.0,3.75,1.75,35.75,18.0,4.5,1.75,22.25,8.25,20.0,307.25,76.25923316604083
FCKoln_5766,48.8,13.8,11.4,4.6,4.0,5.4,2.0,38.0,17.8,4.2,2.8,22.8,8.2,21.8,357.4,76.99304961526994
FCKoln_5779,49.5,13.5,11.666666666666666,4.5,4.5,5.333333333333333,2.0,38.5,19.0,4.166666666666667,2.6666666666666665,21.833333333333332,7.833333333333333,22.833333333333332,388.5,77.08979624801906
FCKoln_5800,49.285714285714285,13.571428571428571,12.0,4.285714285714286,5.0,5.428571428571429,1.8571428571428572,38.857142857142854,19.571428571428573,3.7142857142857144,2.7142857142857144,23.428571428571427,8.428571428571429,21.714285714285715,397.14285714285717,77.14919220240641
FCKoln_5814,49.5,14.0,13.25,4.75,5.375,5.625,1.875,39.125,19.625,4.125,3.125,23.25,8.0,22.375,396.0,77.10605864102314
FCKoln_5828,48.0,13.555555555555555,13.333333333333334,4.888888888888889,5.333333333333333,5.666666666666667,2.0,41.55555555555556,20.555555555555557,3.888888888888889,3.111111111111111,23.555555555555557,8.0,23.444444444444443,383.3333333333333,75.55211516711907
FCKoln_5863,48.4,13.1,13.5,4.8,5.6,5.9,1.8,40.4,19.6,4.0,3.1,23.9,8.0,23.3,395.7,75.99690365040716
FCKoln_5884,48.27272727272727,13.363636363636363,13.272727272727273,5.0,5.363636363636363,5.7272727272727275,1.8181818181818181,40.90909090909091,20.727272727272727,3.909090909090909,2.909090909090909,23.636363636363637,7.909090909090909,22.181818181818183,398.0,76.45173059127923
FCKoln_5897,48.25,13.5,13.25,5.083333333333333,5.5,5.416666666666667,1.8333333333333333,42.916666666666664,21.583333333333332,3.75,2.75,25.083333333333332,7.583333333333333,22.083333333333332,399.8333333333333,76.33075304200597
FCKoln_5905,48.23076923076923,13.461538461538462,13.23076923076923,5.3076923076923075,5.6923076923076925,5.538461538461538,1.7692307692307692,42.84615384615385,21.46153846153846,3.5384615384615383,2.5384615384615383,26.153846153846153,7.384615384615385,22.846153846153847,403.2307692307692,76.53607973108242
FCKoln_5919,46.714285714285715,14.0,12.714285714285714,5.071428571428571,5.5,5.142857142857143,1.7142857142857142,42.142857142857146,21.285714285714285,3.4285714285714284,2.4285714285714284,28.5,7.285714285714286,22.214285714285715,393.35714285714283,75.78350260743368
FCKoln_5941,47.266666666666666,13.733333333333333,12.8,5.133333333333334,5.666666666666667,5.333333333333333,1.6666666666666667,42.666666666666664,21.6,3.466666666666667,2.466666666666667,28.0,7.6,22.533333333333335,401.06666666666666,75.86460243360476
FCKoln_5954,47.75,13.8125,12.9375,5.375,5.75,5.1875,1.6875,42.9375,21.875,3.3125,2.375,27.5,7.625,21.9375,406.125,76.24806478150447
FCKoln_5968,48.11764705882353,14.176470588235293,12.705882352941176,5.294117647058823,5.529411764705882,5.352941176470588,1.7647058823529411,43.294117647058826,21.941176470588236,3.176470588235294,2.411764705882353,27.294117647058822,7.470588235294118,21.88235294117647,408.52941176470586,76.46876685318068
