,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
SVDarmstadt98_5702,43.0,21.0,11.0,4.0,4.0,5.0,1.0,89.0,36.0,3.0,3.0,18.0,8.0,26.0,234.0,50.85470085470085
SVDarmstadt98_5716,39.5,12.5,8.0,2.5,3.0,4.5,2.0,51.5,20.5,2.5,2.5,12.5,4.5,16.0,142.0,48.427350427350426
SVDarmstadt98_5737,34.333333333333336,11.666666666666666,7.0,2.3333333333333335,2.6666666666666665,3.3333333333333335,2.0,42.333333333333336,17.333333333333332,2.6666666666666665,2.0,20.333333333333332,3.6666666666666665,15.333333333333334,154.33333333333334,52.02419264989097
SVDarmstadt98_5740,36.5,13.75,7.5,2.75,3.0,3.75,2.25,48.75,19.75,2.75,2.0,20.0,4.75,18.0,178.75,53.00623972551347
SVDarmstadt98_5750,37.4,13.4,8.8,3.0,4.0,3.4,2.0,53.8,24.4,3.0,2.0,24.2,4.4,18.4,199.8,53.53175234379105
SVDarmstadt98_5772,36.666666666666664,13.5,8.833333333333334,3.0,4.333333333333333,3.6666666666666665,2.0,52.0,22.666666666666668,3.3333333333333335,1.6666666666666667,24.5,4.166666666666667,18.166666666666668,206.5,54.47090473093699
SVDarmstadt98_5786,37.285714285714285,13.571428571428571,9.714285714285714,3.0,5.0,3.5714285714285716,2.2857142857142856,55.285714285714285,25.714285714285715,3.142857142857143,1.8571428571428572,24.857142857142858,3.857142857142857,19.857142857142858,218.14285714285714,55.717124690009484
SVDarmstadt98_5806,37.125,13.875,9.625,2.75,5.25,3.625,2.25,54.125,25.375,3.0,1.75,24.625,4.0,19.25,228.875,55.948207787968826
SVDarmstadt98_5821,36.77777777777778,14.333333333333334,9.666666666666666,2.7777777777777777,5.222222222222222,3.6666666666666665,2.4444444444444446,54.44444444444444,25.333333333333332,2.7777777777777777,1.7777777777777777,25.0,4.0,19.77777777777778,235.66666666666666,56.62829198011022
SVDarmstadt98_5870,36.8,14.2,9.3,2.7,5.1,3.5,2.5,53.6,25.2,3.0,1.6,25.5,4.1,20.5,237.6,55.8654627820992
SVDarmstadt98_5884,37.27272727272727,14.727272727272727,9.545454545454545,3.0,5.181818181818182,3.4545454545454546,2.8181818181818183,55.27272727272727,26.454545454545453,2.909090909090909,1.4545454545454546,26.09090909090909,4.090909090909091,20.272727272727273,236.9090909090909,55.69587525645382
SVDarmstadt98_5902,37.083333333333336,14.5,9.166666666666666,2.8333333333333335,5.083333333333333,3.3333333333333335,2.5833333333333335,55.083333333333336,27.083333333333332,3.0833333333333335,1.3333333333333333,27.416666666666668,4.0,21.333333333333332,241.08333333333334,55.471218985082665
SVDarmstadt98_5912,36.84615384615385,14.461538461538462,9.307692307692308,3.076923076923077,5.0,3.3076923076923075,2.5384615384615383,55.92307692307692,27.153846153846153,3.076923076923077,1.3076923076923077,27.23076923076923,4.076923076923077,21.23076923076923,240.76923076923077,55.66574060161477
SVDarmstadt98_5933,37.214285714285715,14.428571428571429,9.714285714285714,3.2857142857142856,5.071428571428571,3.5,2.642857142857143,55.92307692307692,27.153846153846153,2.9285714285714284,1.4285714285714286,27.23076923076923,4.0769230769230775,21.23076923076923,240.76923076923077,55.665740601614765
SVDarmstadt98_5947,37.46666666666667,14.8,9.4,3.2666666666666666,4.866666666666666,3.4,2.6,56.128205128205124,26.810256410256407,2.933333333333333,1.4,26.815384615384616,3.9384615384615387,21.215384615384615,239.91794871794872,55.42135789484045
SVDarmstadt98_5961,37.4375,14.6875,9.5,3.4375,4.875,3.4375,2.5625,56.74519230769231,27.447115384615383,2.875,1.5,27.076923076923077,3.8798076923076925,21.639423076923077,239.67307692307693,55.27002302641292
SVDarmstadt98_5975,37.470588235294116,14.529411764705882,9.470588235294118,3.2941176470588234,4.882352941176471,3.411764705882353,2.588235294117647,55.70135746606335,26.773755656108595,2.764705882352941,1.6470588235294117,27.4841628959276,4.004524886877828,21.307692307692307,242.28054298642533,55.90119814250628
